cm,K,K,m/s,K,K,m/s,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,kg/kg,kg/kg
z,TC_CL,TG_CL,w_CL,TC_CL_RMS,TG_CL_RMS,w_CL_RMS,X_O2,X_CO2,X_CO,X_FUEL,X_H2O,X_H2,X_N2,Y_CO,Y_Soot
 1.0000000E+000, 6.8772515E+002, 6.8166301E+002, 2.6578695E-001, 5.7552026E+001, 6.2514052E+001, 1.5302442E-001, 1.4561456E-002, 2.6544153E-002, 8.0551445E-002, 2.3680125E-001, 9.1061833E-002, 5.7437224E-002, 4.7239591E-001, 5.3364132E-002, 5.8652721E-003
 3.8163265E+000, 7.3854534E+002, 7.3307303E+002, 4.1029365E-001, 5.3453106E+001, 5.8549442E+001, 1.8793882E-001, 1.4612259E-002, 2.7850446E-002, 8.5517376E-002, 1.9649593E-001, 9.6262607E-002, 6.0979420E-002, 4.9636871E-001, 6.0733449E-002, 6.6731936E-003
 6.6326531E+000, 7.8629248E+002, 7.8178370E+002, 6.1976324E-001, 5.6650328E+001, 6.2857630E+001, 2.0884068E-001, 1.3933666E-002, 2.9077883E-002, 8.9706715E-002, 1.6491667E-001, 1.0078625E-001, 6.3967197E-002, 5.1462747E-001, 6.7779447E-002, 7.4465791E-003
 9.4489796E+000, 8.6360412E+002, 8.6149173E+002, 1.1365809E+000, 7.1965484E+001, 8.2966853E+001, 2.6016800E-001, 1.2549413E-002, 3.2251760E-002, 9.3872003E-002, 1.2094610E-001, 1.0761454E-001, 6.6930448E-002, 5.4174914E-001, 7.7704641E-002, 8.5507053E-003
 1.2265306E+001, 8.9318134E+002, 8.9234580E+002, 1.4056743E+000, 7.8037158E+001, 9.1498944E+001, 2.9598279E-001, 1.2690580E-002, 3.4220082E-002, 9.3747659E-002, 1.0492239E-001, 1.0988896E-001, 6.6834207E-002, 5.5360266E-001, 8.0149953E-002, 8.8350929E-003
 1.5081633E+001, 9.3827443E+002, 9.3957715E+002, 1.9144002E+000, 8.7125560E+001, 1.0639457E+002, 3.7331760E-001, 1.5276916E-002, 3.8043584E-002, 9.0467639E-002, 8.0727296E-002, 1.1213090E-001, 6.4476914E-002, 5.7552954E-001, 8.0917478E-002, 8.9588026E-003
 1.7897959E+001, 9.5520707E+002, 9.5723871E+002, 2.1439202E+000, 8.7585371E+001, 1.0975223E+002, 4.1333636E-001, 1.7638594E-002, 3.9714874E-002, 8.7840590E-002, 7.1329348E-002, 1.1226265E-001, 6.2594148E-002, 5.8589713E-001, 7.9861857E-002, 8.8634763E-003
 2.0714286E+001, 9.6919796E+002, 9.7168783E+002, 2.3538861E+000, 8.6842932E+001, 1.1231504E+002, 4.5489609E-001, 2.0496638E-002, 4.1119271E-002, 8.4951297E-002, 6.3292124E-002, 1.1189215E-001, 6.0525073E-002, 5.9569604E-001, 7.8305070E-002, 8.7117472E-003
 2.3530612E+001, 9.9154405E+002, 9.9375994E+002, 2.7197631E+000, 8.9167031E+001, 1.2567536E+002, 5.4186491E-001, 2.7268073E-002, 4.3316006E-002, 7.8688738E-002, 5.0039758E-002, 1.1008355E-001, 5.6043543E-002, 6.1405625E-001, 7.4179480E-002, 8.2937307E-003
 2.6346939E+001, 1.0020012E+003, 1.0037609E+003, 2.8785669E+000, 9.4140477E+001, 1.3717886E+002, 5.9053891E-001, 3.0627856E-002, 4.4290295E-002, 7.5556644E-002, 4.4556313E-002, 1.0902920E-001, 5.3802663E-002, 6.2239721E-001, 7.1902128E-002, 8.0602889E-003
