cm,K,K,m/s,K,K,m/s,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,kg/kg,kg/kg
z,TC_CL,TG_CL,w_CL,TC_CL_RMS,TG_CL_RMS,w_CL_RMS,X_O2,X_CO2,X_CO,X_FUEL,X_H2O,X_H2,X_N2,Y_CO,Y_Soot
 2.5000000E-001, 7.4019226E+002, 7.2574618E+002, 5.7068851E-003, 2.2268695E+002, 2.7382183E+002, 9.1273058E-002, 5.4569637E-003, 5.3554363E-002, 3.4065140E-002, 2.1170741E-001, 1.2850561E-001, 3.0151751E-002, 5.2221585E-001, 3.1945347E-002, 5.2439781E-003
 7.5000000E-001, 8.7325662E+002, 8.7094891E+002, 4.3594217E-002, 1.9567311E+002, 2.5773573E+002, 1.4198735E-001, 1.2808104E-002, 5.8219490E-002, 3.3343969E-002, 1.4186696E-001, 1.3407315E-001, 2.9499537E-002, 5.7596274E-001, 3.2245552E-002, 5.3638254E-003
 1.2500000E+000, 9.4613973E+002, 9.5073854E+002, 9.7516125E-002, 1.9562783E+002, 2.6443242E+002, 1.7819946E-001, 1.5739332E-002, 6.0738697E-002, 3.2810331E-002, 1.1035281E-001, 1.3683417E-001, 2.9019153E-002, 6.0039590E-001, 3.2285616E-002, 5.4116408E-003
 1.7500000E+000, 9.8586142E+002, 9.9408969E+002, 1.5958456E-001, 1.8810177E+002, 2.6066407E+002, 2.0316137E-001, 1.8315067E-002, 6.1994074E-002, 3.2142799E-002, 9.2770226E-002, 1.3760459E-001, 2.8422785E-002, 6.1484765E-001, 3.1941842E-002, 5.3837331E-003
 2.2500000E+000, 1.0121755E+003, 1.0218803E+003, 1.5958456E-001, 1.7988386E+002, 2.5674046E+002, 2.0316137E-001, 2.0967976E-002, 6.2748852E-002, 3.1285504E-002, 8.0838704E-002, 1.3737725E-001, 2.7658939E-002, 6.2551321E-001, 3.1287521E-002, 5.3024719E-003
 2.7500000E+000, 1.0293312E+003, 1.0393049E+003, 3.0058895E-001, 1.7118068E+002, 2.5237295E+002, 2.3608336E-001, 2.3557447E-002, 6.3149637E-002, 3.0461858E-002, 7.2025595E-002, 1.3670419E-001, 2.6925855E-002, 6.3385806E-001, 3.0606139E-002, 5.2117813E-003
 3.2500000E+000, 1.0438462E+003, 1.0542951E+003, 3.7674934E-001, 1.6426142E+002, 2.4865088E+002, 2.5534634E-001, 2.5830111E-002, 6.3582329E-002, 2.9585243E-002, 6.4901337E-002, 1.3598701E-001, 2.6145607E-002, 6.4096178E-001, 2.9830781E-002, 5.1072393E-003
 3.7500000E+000, 1.0553214E+003, 1.0661630E+003, 4.5598547E-001, 1.5831172E+002, 2.4501893E+002, 2.7794087E-001, 2.8123583E-002, 6.3833973E-002, 2.8763851E-002, 5.8791049E-002, 1.3510227E-001, 2.5414882E-002, 6.4725997E-001, 2.9092927E-002, 5.0054999E-003
 4.2500000E+000, 1.0647727E+003, 1.0757886E+003, 5.3670798E-001, 1.5627171E+002, 2.4587316E+002, 3.0587994E-001, 3.0495806E-002, 6.3973134E-002, 2.7919426E-002, 5.3488710E-002, 1.3402517E-001, 2.4663954E-002, 6.5303172E-001, 2.8311459E-002, 4.8957139E-003
 4.7500000E+000, 1.0717233E+003, 1.0823205E+003, 6.1932119E-001, 1.5660202E+002, 2.4975640E+002, 3.3653615E-001, 3.3099201E-002, 6.3959493E-002, 2.7026521E-002, 4.8838191E-002, 1.3266231E-001, 2.3870300E-002, 6.5847314E-001, 2.7464248E-002, 4.7741813E-003
 5.2500000E+000, 1.0787237E+003, 1.0892334E+003, 7.0444643E-001, 1.5820705E+002, 2.5443406E+002, 3.6674681E-001, 3.5418708E-002, 6.4059938E-002, 2.6109757E-002, 4.4748559E-002, 1.3141683E-001, 2.3055163E-002, 6.6345657E-001, 2.6576824E-002, 4.6480297E-003
 5.7500000E+000, 1.0845729E+003, 1.0948350E+003, 7.8862494E-001, 1.6103054E+002, 2.6003591E+002, 3.9925975E-001, 3.7765389E-002, 6.4097094E-002, 2.5188204E-002, 4.1125230E-002, 1.3007554E-001, 2.2235920E-002, 6.6811833E-001, 2.5672736E-002, 4.5184656E-003
 6.2500000E+000, 1.0888950E+003, 1.0987761E+003, 8.7252419E-001, 1.6371812E+002, 2.6531139E+002, 4.3261814E-001, 4.0212269E-002, 6.4054125E-002, 2.4241619E-002, 3.7940778E-002, 1.2858461E-001, 2.1394620E-002, 6.7252974E-001, 2.4732704E-002, 4.3824429E-003
 6.7500000E+000, 1.0904695E+003, 1.0997334E+003, 9.5675387E-001, 1.6457072E+002, 2.6810470E+002, 4.6349003E-001, 4.2798990E-002, 6.3845366E-002, 2.3342183E-002, 3.5137093E-002, 1.2693726E-001, 2.0595629E-002, 6.7664119E-001, 2.3836222E-002, 4.2504889E-003
 7.2500000E+000, 1.0902913E+003, 1.0986356E+003, 1.0385518E+000, 1.6525274E+002, 2.7083740E+002, 4.9477548E-001, 4.5427194E-002, 6.3506657E-002, 2.2516112E-002, 3.2644655E-002, 1.2522284E-001, 1.9862165E-002, 6.8043507E-001, 2.3012547E-002, 4.1273544E-003
 7.7500000E+000, 1.0890388E+003, 1.0961318E+003, 1.1171735E+000, 1.6716169E+002, 2.7498953E+002, 5.2703213E-001, 4.8079485E-002, 6.3098949E-002, 2.1718831E-002, 3.0394953E-002, 1.2345697E-001, 1.9154456E-002, 6.8401960E-001, 2.2215712E-002, 4.0071482E-003
 8.2500000E+000, 1.0868843E+003, 1.0926697E+003, 1.1932714E+000, 1.7010202E+002, 2.7972601E+002, 5.5903526E-001, 5.0751738E-002, 6.2655385E-002, 2.0926532E-002, 2.8321503E-002, 1.2164893E-001, 1.8451263E-002, 6.8747576E-001, 2.1420290E-002, 3.8866202E-003
 8.7500000E+000, 1.0844171E+003, 1.0885679E+003, 1.2649812E+000, 1.7305907E+002, 2.8528686E+002, 5.9322210E-001, 5.3491025E-002, 6.2134995E-002, 2.0161292E-002, 2.6369075E-002, 1.1977659E-001, 1.7772307E-002, 6.9082616E-001, 2.0652128E-002, 3.7690289E-003
 9.2500000E+000, 1.0818444E+003, 1.0841222E+003, 1.2649812E+000, 1.7660302E+002, 2.9187652E+002, 5.9322210E-001, 5.6338757E-002, 6.1547351E-002, 1.9394390E-002, 2.4502560E-002, 1.1780933E-001, 1.7092036E-002, 6.9415014E-001, 1.9879917E-002, 3.6499627E-003
 9.7500000E+000, 1.0783069E+003, 1.0787187E+003, 1.3967318E+000, 1.8012389E+002, 2.9777567E+002, 6.6511291E-001, 5.9308326E-002, 6.0870188E-002, 1.8637916E-002, 2.2749352E-002, 1.1573505E-001, 1.6421250E-002, 6.9741464E-001, 1.9115626E-002, 3.5308786E-003
 1.0250000E+001, 1.0737378E+003, 1.0721785E+003, 1.4571430E+000, 1.8405019E+002, 3.0364696E+002, 7.0195421E-001, 6.2331862E-002, 6.0109477E-002, 1.7920617E-002, 2.1134493E-002, 1.1360570E-001, 1.5785486E-002, 7.0053945E-001, 1.8390262E-002, 3.4163521E-003
 1.0750000E+001, 1.0688196E+003, 1.0651899E+003, 1.5153431E+000, 1.8884383E+002, 3.1037423E+002, 7.3777130E-001, 6.5319313E-002, 5.9352662E-002, 1.7204074E-002, 1.9651391E-002, 1.1148229E-001, 1.5150385E-002, 7.0355691E-001, 1.7662226E-002, 3.3014333E-003
 1.1250000E+001, 1.0636442E+003, 1.0579157E+003, 1.5715062E+000, 1.9348747E+002, 3.1684545E+002, 7.7163041E-001, 6.8243742E-002, 5.8633118E-002, 1.6468697E-002, 1.8304328E-002, 1.0938057E-001, 1.4498454E-002, 7.0648383E-001, 1.6911548E-002, 3.1836298E-003
 1.1750000E+001, 1.0579560E+003, 1.0500261E+003, 1.6251538E+000, 1.9754211E+002, 3.2275050E+002, 8.0419243E-001, 7.1167851E-002, 5.7887130E-002, 1.5748231E-002, 1.7062614E-002, 1.0726501E-001, 1.3859840E-002, 7.0931311E-001, 1.6175368E-002, 3.0675514E-003
