cm,K,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,kg/kg
z,T_CL,X_O2,X_CO2,X_CO,X_FUEL,X_H2O,X_H2,X_N2,Y_Soot
 2.5000000E-001, 7.7434320E+002, 3.1795414E-003, 3.6507779E-002, 8.4389767E-002, 1.5433977E-001, 1.1676014E-001, 6.6188052E-002, 5.2208794E-001, 6.4679592E-003
 2.2806122E+000, 8.6816833E+002, 4.8418577E-003, 4.0255368E-002, 8.4933456E-002, 1.1073271E-001, 1.2234247E-001, 6.6614475E-002, 5.5362605E-001, 6.6760874E-003
 4.3112245E+000, 9.3102090E+002, 7.8004568E-003, 4.3247165E-002, 8.2469509E-002, 8.5822768E-002, 1.2453605E-001, 6.4681968E-002, 5.7527159E-001, 6.5562281E-003
 6.3418367E+000, 9.7602371E+002, 1.1860825E-002, 4.5694915E-002, 7.8594140E-002, 6.8963520E-002, 1.2489035E-001, 6.1642462E-002, 5.9294317E-001, 6.2828029E-003
 8.3724490E+000, 1.0095361E+003, 1.6241442E-002, 4.7697507E-002, 7.4315135E-002, 5.6881043E-002, 1.2432321E-001, 5.8286380E-002, 6.0768369E-001, 5.9568762E-003
 1.0403061E+001, 1.0351612E+003, 2.0526512E-002, 4.9370356E-002, 7.0084686E-002, 4.7804428E-002, 1.2334221E-001, 5.4968381E-002, 6.2016133E-001, 5.6255446E-003
 1.2433673E+001, 1.0551393E+003, 2.4602372E-002, 5.0807058E-002, 6.6018929E-002, 4.0759748E-002, 1.2216496E-001, 5.1779552E-002, 6.3092249E-001, 5.3025284E-003
 1.4464286E+001, 1.0711164E+003, 2.8581692E-002, 5.2061970E-002, 6.2070978E-002, 3.5025831E-002, 1.2083078E-001, 4.8683120E-002, 6.4057485E-001, 4.9860653E-003
 1.6494898E+001, 1.0835495E+003, 3.2375499E-002, 5.3111505E-002, 5.8391120E-002, 3.0313556E-002, 1.1942472E-001, 4.5796957E-002, 6.4913740E-001, 4.6899099E-003
 1.8525510E+001, 1.0937904E+003, 3.5991298E-002, 5.4038135E-002, 5.4907818E-002, 2.6312174E-002, 1.1800294E-001, 4.3064955E-002, 6.5691644E-001, 4.4088758E-003
 2.0556122E+001, 1.1019122E+003, 3.9597082E-002, 5.4815827E-002, 5.1549386E-002, 2.2881458E-002, 1.1647640E-001, 4.0430891E-002, 6.6414123E-001, 4.1372573E-003
 2.2586735E+001, 1.1084088E+003, 4.3282582E-002, 5.5493554E-002, 4.8197372E-002, 1.9893378E-002, 1.1481995E-001, 3.7801860E-002, 6.7106084E-001, 3.8656365E-003
 2.4617347E+001, 1.1131089E+003, 4.7086216E-002, 5.6051744E-002, 4.4861310E-002, 1.7275067E-002, 1.1301516E-001, 3.5185342E-002, 6.7772883E-001, 3.5951949E-003
 2.6647959E+001, 1.1156602E+003, 5.1163170E-002, 5.6425590E-002, 4.1519659E-002, 1.4975866E-002, 1.1095949E-001, 3.2564439E-002, 6.8425068E-001, 3.3245184E-003
 2.8678571E+001, 1.1158732E+003, 5.5538426E-002, 5.6560918E-002, 3.8238497E-002, 1.2940398E-002, 1.0863175E-001, 2.9990978E-002, 6.9060129E-001, 3.0590473E-003
 3.0709184E+001, 1.1139771E+003, 6.0195164E-002, 5.6469320E-002, 3.5018638E-002, 1.1144008E-002, 1.0604809E-001, 2.7465599E-002, 6.9679278E-001, 2.7987530E-003
 3.2739796E+001, 1.1104437E+003, 6.5012920E-002, 5.6202713E-002, 3.1884808E-002, 9.5632645E-003, 1.0329665E-001, 2.5007692E-002, 7.0278003E-001, 2.5457621E-003
 3.4770408E+001, 1.1049475E+003, 7.0046079E-002, 5.5713971E-002, 2.8864992E-002, 8.1740642E-003, 1.0033629E-001, 2.2639210E-002, 7.0856559E-001, 2.3022028E-003
 3.6801020E+001, 1.0975517E+003, 7.5248531E-002, 5.5026454E-002, 2.5966366E-002, 6.9513354E-003, 9.7203685E-002, 2.0365778E-002, 7.1414641E-001, 2.0687694E-003
 3.8831633E+001, 1.0887218E+003, 8.0497859E-002, 5.4198437E-002, 2.3205876E-002, 5.8735894E-003, 9.3989467E-002, 1.8200687E-002, 7.1948391E-001, 1.8469354E-003
 4.0862245E+001, 1.0781724E+003, 8.5803509E-002, 5.3209949E-002, 2.0603551E-002, 4.9457044E-003, 9.0682402E-002, 1.6159648E-002, 7.2455533E-001, 1.6380526E-003
 4.2892857E+001, 1.0655046E+003, 9.1199604E-002, 5.2014956E-002, 1.8200188E-002, 4.1527857E-003, 8.7252581E-002, 1.4274657E-002, 7.2933656E-001, 1.4454920E-003
 4.4923469E+001, 1.0507571E+003, 9.6621220E-002, 5.0636118E-002, 1.6016900E-002, 3.4805431E-003, 8.3746406E-002, 1.2562275E-002, 7.3379597E-001, 1.2708558E-003
 4.6954082E+001, 1.0341355E+003, 1.0203670E-001, 4.9105404E-002, 1.4036489E-002, 2.9093790E-003, 8.0193306E-002, 1.1009011E-002, 7.3795746E-001, 1.1126600E-003
 4.8984694E+001, 1.0158268E+003, 1.0742152E-001, 4.7446520E-002, 1.2247068E-002, 2.4244952E-003, 7.6615770E-002, 9.6055434E-003, 7.4183770E-001, 9.6990957E-004
 5.1015306E+001, 9.9614650E+002, 1.1275582E-001, 4.5686202E-002, 1.0629333E-002, 2.0078789E-003, 7.3034643E-002, 8.3367314E-003, 7.4546521E-001, 8.4094745E-004
 5.3045918E+001, 9.7513485E+002, 1.1801000E-001, 4.3859338E-002, 9.1584640E-003, 1.6514737E-003, 6.9477347E-002, 7.1831090E-003, 7.4886449E-001, 7.2376956E-004
 5.5076531E+001, 9.5291028E+002, 1.2320997E-001, 4.1945520E-002, 7.8440236E-003, 1.3492594E-003, 6.5924085E-002, 6.1521754E-003, 7.5203692E-001, 6.1917665E-004
 5.7107143E+001, 9.2988829E+002, 1.2825346E-001, 4.0007798E-002, 6.6789297E-003, 1.0889257E-003, 6.2453372E-002, 5.2383763E-003, 7.5496954E-001, 5.2658702E-004
 5.9137755E+001, 9.0631576E+002, 1.3314814E-001, 3.8056292E-002, 5.6430169E-003, 8.6971282E-004, 5.9063211E-002, 4.4258956E-003, 7.5768726E-001, 4.4434210E-004
 6.1168367E+001, 8.8279501E+002, 1.3778025E-001, 3.6154875E-002, 4.7356708E-003, 6.8761618E-004, 5.5838137E-002, 3.7142516E-003, 7.6016064E-001, 3.7236707E-004
 6.3198980E+001, 8.5949884E+002, 1.4215135E-001, 3.4313240E-002, 3.9430594E-003, 5.3607315E-004, 5.2780467E-002, 3.0925956E-003, 7.6241007E-001, 3.0957496E-004
 6.5229592E+001, 8.3644811E+002, 1.4624273E-001, 3.2547565E-002, 3.2570470E-003, 4.1449693E-004, 4.9905493E-002, 2.5545467E-003, 7.6443948E-001, 2.5530364E-004
 6.7260204E+001, 8.1335246E+002, 1.5007188E-001, 3.0853159E-002, 2.6711468E-003, 3.1949336E-004, 4.7202011E-002, 2.0950171E-003, 7.6626354E-001, 2.0901923E-004
 6.9290816E+001, 7.9010208E+002, 1.5368793E-001, 2.9217631E-002, 2.1655401E-003, 2.4417038E-004, 4.4638365E-002, 1.6984628E-003, 7.6792328E-001, 1.6912731E-004
 7.1321429E+001, 7.6700259E+002, 1.5709645E-001, 2.7639000E-002, 1.7392059E-003, 1.8532323E-004, 4.2211146E-002, 1.3640830E-003, 7.6942377E-001, 1.3558589E-004
 7.3352041E+001, 7.4404281E+002, 1.6030649E-001, 2.6113799E-002, 1.3903133E-003, 1.4079809E-004, 3.9914351E-002, 1.0904418E-003, 7.7077119E-001, 1.0823052E-004
 7.5382653E+001, 7.2244928E+002, 1.6322920E-001, 2.4691761E-002, 1.1185135E-003, 1.0805692E-004, 3.7813893E-002, 8.7726546E-004, 7.7194199E-001, 8.6956515E-005
 7.7413265E+001, 7.0273298E+002, 1.6579602E-001, 2.3420876E-002, 9.1013954E-004, 8.3971488E-005, 3.5963163E-002, 7.1383494E-004, 7.7293353E-001, 7.0665156E-005
 7.9443878E+001, 6.8481946E+002, 1.6806244E-001, 2.2285660E-002, 7.4418939E-004, 6.5337512E-005, 3.4325464E-002, 5.8367795E-004, 7.7378731E-001, 5.7701241E-005
 8.1474490E+001, 6.6780560E+002, 1.7016816E-001, 2.1220222E-002, 6.0476244E-004, 5.0356105E-005, 3.2800935E-002, 4.7432348E-004, 7.7456266E-001, 4.6812291E-005
 8.3505102E+001, 6.5077145E+002, 1.7221356E-001, 2.0174138E-002, 4.8472938E-004, 3.8109258E-005, 3.1317019E-002, 3.8017991E-004, 7.7529722E-001, 3.7458658E-005
 8.5535714E+001, 6.3459040E+002, 1.7413798E-001, 1.9179388E-002, 3.8633471E-004, 2.8723307E-005, 2.9917992E-002, 3.0300762E-004, 7.7597082E-001, 2.9790197E-005
 8.7566327E+001, 6.1866720E+002, 1.7598677E-001, 1.8216217E-002, 3.0215147E-004, 2.1444828E-005, 2.8571871E-002, 2.3698155E-004, 7.7660532E-001, 2.3234231E-005
 8.9596939E+001, 6.0365222E+002, 1.7767943E-001, 1.7330101E-002, 2.3095102E-004, 1.5861791E-005, 2.7338229E-002, 1.8113805E-004, 7.7717900E-001, 1.7701750E-005
 9.1627551E+001, 5.8937083E+002, 1.7925966E-001, 1.6496979E-002, 1.7261321E-004, 1.1614925E-005, 2.6184959E-002, 1.3538291E-004, 7.7770495E-001, 1.3178253E-005
 9.3658163E+001, 5.7571407E+002, 1.8073601E-001, 1.5713887E-002, 1.2467585E-004, 8.3795014E-006, 2.5106231E-002, 9.7784977E-005, 7.7818858E-001, 9.4703395E-006
 9.5688776E+001, 5.6278033E+002, 1.8210684E-001, 1.4981380E-002, 8.7681077E-005, 5.9799825E-006, 2.4103197E-002, 6.8769472E-005, 7.7862896E-001, 6.6270688E-006
 9.7719388E+001, 5.5052337E+002, 1.8338287E-001, 1.4294279E-002, 6.0590772E-005, 4.2142058E-006, 2.3168175E-002, 4.7522174E-005, 7.7903047E-001, 4.5616181E-006
 9.9750000E+001, 5.3928182E+002, 1.8451688E-001, 1.3678933E-002, 4.3118711E-005, 3.0199154E-006, 2.2336003E-002, 3.3818597E-005, 7.7937977E-001, 3.2397441E-006
