cm,K,K,m/s,K,K,m/s,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,kg/kg,kg/kg,cm,kW/m2,cm,kW/m2
z,TC_CL,TG_CL,w_CL,TC_CL_RMS,TG_CL_RMS,w_CL_RMS,X_O2,X_CO2,X_CO,X_FUEL,X_H2O,X_H2,X_N2,Y_CO,Y_Soot,z_rad,HF_vert,r_rad,HF_hori
 2.5000000E-001, 8.3943136E+002, 8.4673167E+002, 3.3198139E-001, 4.1506598E+002, 4.3937109E+002, 2.8125909E-001, 1.4216526E-002, 3.1909707E-002, 2.9282829E-002, 3.8953838E-001, 9.6647927E-002, 3.0801075E-002, 4.0606350E-001, 3.6501573E-002, 8.2318287E-004, 0.0000000E+000, 1.4564393E-001, 1.8275667E+001, 4.8605503E+000
 7.5000000E-001, 8.6979235E+002, 8.7148738E+002, 4.5980430E-001, 3.8580308E+002, 4.2278849E+002, 2.6583801E-001, 4.3404826E-002, 3.2198783E-002, 2.2501406E-002, 2.9480892E-001, 9.0506443E-002, 2.3662555E-002, 4.9173394E-001, 2.8194376E-002, 6.3571456E-004, 3.8888889E+000, 1.3691384E-001, 2.2506950E+001, 3.3532316E+000
 1.2500000E+000, 9.0599226E+002, 9.0886975E+002, 5.3425600E-001, 3.9513409E+002, 4.3608560E+002, 2.5703720E-001, 5.8848034E-002, 3.3413906E-002, 2.0471206E-002, 2.2252781E-001, 9.1090189E-002, 2.1524645E-002, 5.5104798E-001, 2.5300609E-002, 5.7039951E-004, 7.7777778E+000, 1.3111681E-001, 2.6739865E+001, 2.4916574E+000
 1.7500000E+000, 9.4916541E+002, 9.5366902E+002, 6.0398360E-001, 3.9965954E+002, 4.4401061E+002, 2.6430354E-001, 6.7027528E-002, 3.5372644E-002, 1.8786147E-002, 1.7465639E-001, 9.3425456E-002, 1.9749495E-002, 5.8999486E-001, 2.2903855E-002, 5.1628774E-004, 1.1666667E+001, 1.6169441E-001, 3.0973743E+001, 1.8519616E+000
 2.2500000E+000, 9.8565814E+002, 9.9096588E+002, 6.5936156E-001, 3.9618592E+002, 4.4349646E+002, 2.7372543E-001, 7.1888117E-002, 3.7199758E-002, 1.7405572E-002, 1.4187944E-001, 9.5757898E-002, 1.8294944E-002, 6.1665953E-001, 2.0979091E-002, 4.7282796E-004, 1.5555556E+001, 2.0945485E-001, 3.5208237E+001, 1.4592942E+000
 2.7500000E+000, 1.0095265E+003, 1.0156576E+003, 7.0956766E-001, 3.9379712E+002, 4.4223783E+002, 2.7983028E-001, 7.5584990E-002, 3.8424935E-002, 1.6406254E-002, 1.1832870E-001, 9.7251129E-002, 1.7242150E-002, 6.3589973E-001, 1.9572059E-002, 4.4106036E-004, 1.9444444E+001, 2.0643079E-001, 3.9443149E+001, 1.1725542E+000
 3.2500000E+000, 1.0260071E+003, 1.0327882E+003, 7.5332504E-001, 3.9150088E+002, 4.4052323E+002, 2.8911293E-001, 7.8513619E-002, 3.9270143E-002, 1.5600005E-002, 1.0109736E-001, 9.8162996E-002, 1.6392860E-002, 6.5014337E-001, 1.8443790E-002, 4.1558873E-004, 2.3333333E+001, 1.7899249E-001, 4.3678356E+001, 9.1108074E-001
 3.7500000E+000, 1.0349949E+003, 1.0419306E+003, 7.9645275E-001, 3.9130947E+002, 4.4078183E+002, 3.0628190E-001, 8.0984225E-002, 3.9720802E-002, 1.5026760E-002, 8.8577218E-002, 9.8512273E-002, 1.5789122E-002, 6.6060014E-001, 1.7621869E-002, 3.9703582E-004, 2.7222222E+001, 1.6094474E-001, 4.7913781E+001, 7.6178484E-001
 4.2500000E+000, 1.0425615E+003, 1.0493619E+003, 8.3989698E-001, 3.9031777E+002, 4.4031705E+002, 3.3076778E-001, 8.2890434E-002, 4.0048857E-002, 1.4549635E-002, 7.9369537E-002, 9.8704397E-002, 1.5286650E-002, 6.6838616E-001, 1.6949302E-002, 3.8185477E-004, 3.1111111E+001, 1.5318909E-001, 5.2149371E+001, 6.3615917E-001
