cm,K,K,cm,K,K,K,K,K,K,K,K,K,K,cm,cm,kW/m2,kW/m2,kW/m2,kW/m2,cm,kW/m2
z,T_CL,T_CL_RMS,r,T_20,T_20_RMS,T_60,T_60_RMS,T_100,T_100_RMS,T_140,T_140_RMS,T_180,T_180_RMS,r2,HF_00-y,HF_00,HF_41,HF_61,HF_81,z2,HF_207
 5.0000000E-001, 8.6822349E+002, 2.3463788E+002,-9.5000000E+000, 1.2801760E+003, 1.6661124E+002, 1.0348021E+003, 2.2889347E+002, 7.1361322E+002, 2.1746440E+002, 5.5304994E+002, 1.4926637E+002, 4.7641891E+002, 9.0465468E+001, 5.2000000E+001, 1.0000000E-001, 2.6414944E+000, 1.0085323E+001, 7.4538532E+000, 5.4463364E+000, 0.0000000E+000, 7.4428971E-001
 1.5000000E+000, 9.7493828E+002, 2.2084286E+002,-8.5000000E+000, 1.2903793E+003, 1.5736504E+002, 1.0491163E+003, 2.2910101E+002, 7.1644871E+002, 2.1698383E+002, 5.4940122E+002, 1.4377321E+002, 4.7672697E+002, 8.9592547E+001, 5.6480000E+001, 2.9900000E-001, 3.0678814E+000, 9.2361147E+000, 6.9451589E+000, 5.1344446E+000, 4.5000000E+000, 7.1147376E-001
 2.5000000E+000, 1.0431665E+003, 2.0970805E+002,-7.5000000E+000, 1.2978513E+003, 1.5050737E+002, 1.0576140E+003, 2.3206980E+002, 7.1750242E+002, 2.1545659E+002, 5.4762304E+002, 1.4109622E+002, 4.7660594E+002, 8.8876351E+001, 6.0960000E+001, 4.9800000E-001, 2.4105797E+000, 7.7740181E+000, 6.0004864E+000, 4.5967519E+000, 9.0000000E+000, 7.7010577E-001
 3.5000000E+000, 1.0967416E+003, 2.0902103E+002,-6.5000000E+000, 1.3030134E+003, 1.4245292E+002, 1.0604835E+003, 2.3482051E+002, 7.2051976E+002, 2.1630933E+002, 5.4642110E+002, 1.3915213E+002, 4.7542088E+002, 8.7767393E+001, 6.5440000E+001, 6.9700000E-001, 2.1056562E+000, 7.1711494E+000, 5.6260180E+000, 4.3561645E+000, 1.3500000E+001, 8.8486857E-001
 4.5000000E+000, 1.1298866E+003, 2.0848038E+002,-5.5000000E+000, 1.3042636E+003, 1.4484919E+002, 1.0664615E+003, 2.3809796E+002, 7.2492109E+002, 2.1689193E+002, 5.4475509E+002, 1.3644976E+002, 4.7449192E+002, 8.6938352E+001, 6.9920000E+001, 8.9600000E-001, 1.8523388E+000, 6.6213061E+000, 5.2758147E+000, 4.1283406E+000, 1.8000000E+001, 9.9052821E-001
 5.5000000E+000, 1.1559818E+003, 2.0257063E+002,-4.5000000E+000, 1.3026277E+003, 1.5195951E+002, 1.0628894E+003, 2.4496441E+002, 7.2776450E+002, 2.1619728E+002, 5.4289933E+002, 1.3321843E+002, 4.7355954E+002, 8.6036044E+001, 7.4400000E+001, 1.0950000E+000, 1.6396423E+000, 6.1209385E+000, 4.9487799E+000, 3.9126006E+000, 2.2500000E+001, 1.0416712E+000
 6.5000000E+000, 1.1779323E+003, 1.9862243E+002,-3.5000000E+000, 1.2957996E+003, 1.5643827E+002, 1.0541977E+003, 2.5502318E+002, 7.2489238E+002, 2.1573890E+002, 5.4093538E+002, 1.3142755E+002, 4.7231820E+002, 8.4375703E+001, 7.8880000E+001, 1.2940000E+000, 1.4593849E+000, 5.6660862E+000, 4.6436128E+000, 3.7083478E+000, 2.7000000E+001, 1.0340899E+000
 7.5000000E+000, 1.1949388E+003, 1.9368738E+002,-2.5000000E+000, 1.2885142E+003, 1.6302083E+002, 1.0418814E+003, 2.6105897E+002, 7.1788300E+002, 2.1607290E+002, 5.3872207E+002, 1.3035324E+002, 4.7041643E+002, 8.2234838E+001, 8.3360000E+001, 1.4930000E+000, 1.3053431E+000, 5.2526815E+000, 4.3589662E+000, 3.5150706E+000, 3.1500000E+001, 9.9169235E-001
 8.5000000E+000, 1.2068540E+003, 1.8771120E+002,-1.5000000E+000, 1.2789832E+003, 1.6883087E+002, 1.0265043E+003, 2.6746661E+002, 7.1084528E+002, 2.1564275E+002, 5.3589869E+002, 1.2842106E+002, 4.6886183E+002, 8.1277218E+001, 8.7840000E+001, 1.6920000E+000, 1.1727085E+000, 4.8767472E+000, 4.0935186E+000, 3.3323286E+000, 3.6000000E+001, 9.0577052E-001
 9.5000000E+000, 1.2181988E+003, 1.8418780E+002,-5.0000000E-001, 1.2624977E+003, 1.7895680E+002, 1.0094399E+003, 2.7367522E+002, 7.0634959E+002, 2.1508750E+002, 5.3267233E+002, 1.2608883E+002, 4.6701776E+002, 7.9559202E+001, 9.2320000E+001, 1.8910000E+000, 9.5743409E-001, 4.2225075E+000, 3.6152599E+000, 2.9968546E+000, 4.0500000E+001, 8.8710804E-001
 1.0500000E+001, 1.2266230E+003, 1.8022804E+002, 5.0000000E-001, 1.2387882E+003, 1.9024435E+002, 9.9067212E+002, 2.7822332E+002, 6.9929744E+002, 2.1376637E+002, 5.2989808E+002, 1.2422210E+002, 4.6483738E+002, 7.7415105E+001, 9.6800000E+001, 2.0900000E+000, 8.6946649E-001, 3.9375418E+000, 3.4001718E+000, 2.8433191E+000, 4.5000000E+001, 8.8445593E-001
