cm,K,K,cm,K,K,K,K,K,K,K,K,K,K
z,T_CL,T_CL_RMS,r,T_20,T_20_RMS,T_60,T_60_RMS,T_100,T_100_RMS,T_140,T_140_RMS,T_180,T_180_RMS
 5.0000000E-001,            NaN,            NaN,-9.5000000E+000, 1.1876133E+003, 2.5832713E+002, 9.5817026E+002, 3.5956503E+002, 7.9497532E+002, 3.3995517E+002, 6.5548282E+002, 2.6913557E+002, 5.4819159E+002, 1.8742642E+002
 4.4622642E+000,            NaN,            NaN,-5.2857143E+000, 1.2509229E+003, 1.6627410E+002, 1.1022608E+003, 3.1004901E+002, 8.8958893E+002, 3.3502312E+002, 7.0476658E+002, 2.8383931E+002, 5.7075476E+002, 1.9629541E+002
 8.4245283E+000, 1.0778851E+003, 1.3869721E+002,-1.0714286E+000, 1.2084003E+003, 1.3664442E+002, 1.1775959E+003, 2.5725247E+002, 9.5654662E+002, 3.3146964E+002, 7.3679438E+002, 2.9308346E+002, 5.8451497E+002, 2.0081084E+002
 1.2386792E+001, 1.1293721E+003, 1.3771447E+002, 3.1428571E+000, 1.1976237E+003, 1.3580006E+002, 1.1816286E+003, 2.5165801E+002, 9.6739360E+002, 3.2958783E+002, 7.4308446E+002, 2.9619669E+002, 5.8542904E+002, 2.0070186E+002
 1.6349057E+001, 1.1687232E+003, 1.3763190E+002, 7.3571429E+000, 1.2400238E+003, 1.6072821E+002, 1.1061064E+003, 3.0051653E+002, 9.0816141E+002, 3.3422711E+002, 7.1851871E+002, 2.8983250E+002, 5.7182397E+002, 1.9475277E+002
 2.0311321E+001, 1.1976237E+003, 1.3580006E+002, 1.1571429E+001, 1.1914394E+003, 2.4796042E+002, 9.6126347E+002, 3.4623034E+002, 8.1636591E+002, 3.3510673E+002, 6.6936426E+002, 2.7083865E+002, 5.4715002E+002, 1.8337086E+002
 2.4273585E+001, 1.2179728E+003, 1.3719228E+002, 1.5785714E+001, 1.0120565E+003, 3.2541105E+002, 8.0137650E+002, 3.5694936E+002, 7.1082052E+002, 3.1661957E+002, 6.0839178E+002, 2.4769890E+002, 5.1908716E+002, 1.6993585E+002
 2.8235849E+001, 1.2317669E+003, 1.4325491E+002, 2.0000000E+001, 6.6809232E+002, 3.0956118E+002, 5.6273248E+002, 2.8067161E+002, 5.3172700E+002, 2.3900781E+002, 5.0017250E+002, 1.9934081E+002, 4.6097266E+002, 1.4667851E+002
 3.2198113E+001, 1.2397140E+003, 1.5171237E+002, 2.4214286E+001, 5.4551354E+002, 2.4824207E+002, 4.8454453E+002, 2.2595911E+002, 4.6788190E+002, 1.9099457E+002, 4.6100084E+002, 1.7719064E+002, 4.3588421E+002, 1.3232974E+002
 3.6160377E+001, 1.2425087E+003, 1.6192384E+002, 2.8428571E+001, 4.6425327E+002, 1.9115618E+002, 4.2393615E+002, 1.7701982E+002, 4.1592609E+002, 1.4839670E+002, 4.2188833E+002, 1.5125745E+002, 4.1284905E+002, 1.2026617E+002
 4.0122642E+001, 1.2402564E+003, 1.7573274E+002, 3.2642857E+001, 4.0105488E+002, 1.3974835E+002, 3.7503661E+002, 1.2935047E+002, 3.7549129E+002, 1.1580053E+002, 3.8799636E+002, 1.2565642E+002, 3.9026151E+002, 1.0792434E+002
 4.4084906E+001, 1.2338856E+003, 1.9092503E+002, 3.6857143E+001, 3.5993016E+002, 1.0249777E+002, 3.4154411E+002, 8.5026706E+001, 3.4686792E+002, 9.0583088E+001, 3.5998181E+002, 9.9524717E+001, 3.6792529E+002, 9.2461844E+001
 4.8047170E+001, 1.2247065E+003, 2.0601334E+002, 4.1071429E+001, 3.2855993E+002, 6.0028930E+001, 3.2144049E+002, 5.6065529E+001, 3.2545162E+002, 6.1171638E+001, 3.3834568E+002, 7.5057514E+001, 3.4920283E+002, 7.6801211E+001
 5.2009434E+001, 1.2125847E+003, 2.2174272E+002, 4.5285714E+001, 3.1091817E+002, 3.2248833E+001, 3.0952092E+002, 3.3789731E+001, 3.1161624E+002, 3.4267549E+001, 3.2117749E+002, 5.1079506E+001, 3.3321752E+002, 6.3446806E+001
 5.5971698E+001, 1.2125847E+003, 2.2174272E+002, 4.9500000E+001, 3.0322900E+002, 1.1307261E+001, 3.0361939E+002, 1.7854029E+001, 3.0481171E+002, 2.2075921E+001, 3.0845490E+002, 2.7601334E+001, 3.2078097E+002, 5.3790481E+001
 5.9933962E+001, 1.1986008E+003, 2.3679858E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 6.3896226E+001, 1.1816286E+003, 2.5165801E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 6.7858491E+001, 1.1623313E+003, 2.6535477E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 7.1820755E+001, 1.1410372E+003, 2.7837392E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 7.5783019E+001, 1.1182625E+003, 2.9000140E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 7.9745283E+001, 1.0943272E+003, 3.0023497E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 8.3707547E+001, 1.0691721E+003, 3.0926636E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 8.7669811E+001, 1.0437568E+003, 3.1668745E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 9.1632075E+001, 1.0182296E+003, 3.2259088E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 9.5594340E+001, 9.9283719E+002, 3.2667561E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 9.9556604E+001, 9.6739360E+002, 3.2958783E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.0351887E+002, 9.4183817E+002, 3.3133591E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.0748113E+002, 9.1650576E+002, 3.3199193E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.1144340E+002, 8.9177466E+002, 3.3148645E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.1540566E+002, 8.6790711E+002, 3.2994481E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.1936792E+002, 8.4513648E+002, 3.2708886E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.2333019E+002, 8.2313051E+002, 3.2323244E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.2729245E+002, 8.0210708E+002, 3.1803256E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.3125472E+002, 7.8154001E+002, 3.1146317E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.3521698E+002, 7.6209996E+002, 3.0409715E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.3917925E+002, 7.4308446E+002, 2.9619669E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.4314151E+002, 7.2512779E+002, 2.8769555E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.4710377E+002, 7.0768546E+002, 2.7895542E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.5106604E+002, 6.9079184E+002, 2.6978902E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
