cm,K,K,m/s,K,K,m/s,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,kg/kg,cm,kW/m2,kW/m2,cm,kW/m2,cm,kW/m2,cm,K,K,K,K,K,K,K,K,K,K
z,TC_CL,TG_CL,w_CL,TC_CL_RMS,TG_CL_RMS,w_CL_RMS,X_O2,X_CO2,X_CO,X_FUEL,X_H2O,X_H2,X_N2,Y_Soot,r_rad1,HF,radHF,z_rad,HF_vert,r_rad2,HF_hori,r_rad3,TC_03,TC_30,TC_41,TC_51,TC_61,TC_03_RMS,TC_30_RMS,TC_41_RMS,TC_51_RMS,TC_61_RMS
 2.5000000E-001, 4.4103099E+002, 4.3505958E+002, 4.2796458E-003, 8.6131534E+001, 8.9548153E+001, 4.2554212E-002, 9.7038148E-004, 1.3326508E-002, 1.7485965E-002, 7.9436680E-001, 4.4684593E-002, 1.7485965E-002, 1.1167979E-001, 0.0000000E+000,-4.0000000E+000, 2.0151514E+001, 1.5505650E+001, 0.0000000E+000, 7.8996710E-001, 1.6155494E+001, 3.4619364E+000,-4.0000000E+000, 1.1439848E+003, 9.7092893E+002, 7.9834490E+002, 6.5460424E+002, 5.5005447E+002, 2.0901484E+002, 2.2062912E+002, 2.0818392E+002, 1.7250255E+002, 1.2049911E+002
 7.5000000E-001, 5.5876481E+002, 5.5514200E+002, 1.2411758E-002, 1.2766522E+002, 1.3474930E+002, 7.3625240E-002, 2.0360578E-003, 2.3322337E-002, 3.0229236E-002, 6.4033402E-001, 7.7831554E-002, 3.0229236E-002, 1.9601756E-001, 0.0000000E+000,-3.0000000E+000, 1.9027980E+001, 1.5259233E+001, 6.6964286E-001, 7.4937836E-001, 1.6747753E+001, 3.2210787E+000,-3.5000000E+000, 1.0864293E+003, 1.0106618E+003, 8.1674882E+002, 6.6196965E+002, 5.5388524E+002, 2.2053617E+002, 2.1450736E+002, 2.0907179E+002, 1.7187415E+002, 1.2099050E+002
 1.2500000E+000, 6.5967670E+002, 6.5837488E+002, 4.9342683E-002, 1.8603653E+002, 1.9815309E+002, 1.0745162E-001, 3.2125477E-003, 3.0803002E-002, 3.8753668E-002, 5.2819796E-001, 1.0162333E-001, 3.8753668E-002, 2.5865582E-001, 0.0000000E+000,-2.0000000E+000, 1.8634165E+001, 1.5137373E+001, 1.3392857E+000, 7.1125786E-001, 1.7340086E+001, 2.9003815E+000,-3.0000000E+000, 1.0389423E+003, 1.0438268E+003, 8.3030121E+002, 6.6809840E+002, 5.5781254E+002, 2.3180160E+002, 2.1049281E+002, 2.0965340E+002, 1.7179906E+002, 1.2073820E+002
 1.7500000E+000, 7.3874122E+002, 7.3937199E+002, 1.1483167E-001, 2.2605383E+002, 2.4212775E+002, 1.3447658E-001, 4.4408559E-003, 3.6032930E-002, 4.3728711E-002, 4.5267561E-001, 1.1727059E-001, 4.3728711E-002, 3.0212259E-001, 0.0000000E+000,-1.0000000E+000, 1.8214813E+001, 1.4963909E+001, 2.0089286E+000, 6.6207484E-001, 1.7932488E+001, 2.7307780E+000,-2.5000000E+000, 1.0389423E+003, 1.0438268E+003, 8.3030121E+002, 6.6809840E+002, 5.5781254E+002, 2.3180160E+002, 2.1049281E+002, 2.0965340E+002, 1.7179906E+002, 1.2073820E+002
 2.2500000E+000, 8.0768628E+002, 8.1067723E+002, 1.1483167E-001, 2.5845331E+002, 2.7839901E+002, 1.3447658E-001, 5.2543939E-003, 4.0326885E-002, 4.6898743E-002, 3.9607246E-001, 1.2919090E-001, 4.6898743E-002, 3.3535788E-001, 0.0000000E+000,-5.0000000E-003, 1.8276442E+001, 1.4986171E+001, 2.6785714E+000, 6.6287442E-001, 1.8524952E+001, 2.4963714E+000,-2.0000000E+000, 9.9857808E+002, 1.0657063E+003, 8.4065297E+002, 6.7349582E+002, 5.6084032E+002, 2.3994886E+002, 2.0366695E+002, 2.0929180E+002, 1.7295386E+002, 1.2012647E+002
 2.7500000E+000, 8.6621160E+002, 8.7123588E+002, 2.9830052E-001, 2.7209913E+002, 2.9433063E+002, 1.6970475E-001, 6.0885165E-003, 4.3912129E-002, 4.8961364E-002, 3.5092785E-001, 1.3855706E-001, 4.8961364E-002, 3.6259171E-001, 0.0000000E+000, 1.0000000E+000, 1.8756229E+001, 1.5177312E+001, 3.3482143E+000, 6.8882016E-001, 1.9117472E+001, 2.3649441E+000,-1.5000000E+000, 9.6007632E+002, 1.0769175E+003, 8.4695528E+002, 6.7598081E+002, 5.6290603E+002, 2.3470263E+002, 1.9732689E+002, 2.0872229E+002, 1.7231044E+002, 1.1947473E+002
 3.2500000E+000, 9.1642707E+002, 9.2328559E+002, 4.0730219E-001, 2.8190114E+002, 3.0618490E+002, 1.8451451E-001, 6.8375806E-003, 4.6939912E-002, 5.0379910E-002, 3.1417035E-001, 1.4614139E-001, 5.0379910E-002, 3.8515095E-001, 0.0000000E+000, 2.0000000E+000, 2.0017028E+001, 1.5573255E+001, 4.0178571E+000, 8.1215296E-001, 1.9710042E+001, 2.1799995E+000,-1.0000000E+000, 9.3138373E+002, 1.0786348E+003, 8.4704328E+002, 6.7415551E+002, 5.6284564E+002, 2.1971843E+002, 1.9462586E+002, 2.0631516E+002, 1.6977730E+002, 1.1844468E+002
 3.7500000E+000, 9.5706374E+002, 9.6535905E+002, 5.2301071E-001, 2.8343204E+002, 3.0908386E+002, 1.9987388E-001, 7.7798728E-003, 4.9463910E-002, 5.1132239E-002, 2.8411325E-001, 1.5203548E-001, 5.1132239E-002, 4.0434302E-001, 0.0000000E+000, 3.0000000E+000, 2.0872551E+001, 1.5692960E+001, 4.6875000E+000, 8.9111421E-001, 2.0302659E+001, 2.0158000E+000,-5.0000000E-001, 9.2520948E+002, 1.0646669E+003, 8.3249481E+002, 6.6267767E+002, 5.5485539E+002, 2.0582886E+002, 1.9934595E+002, 2.0319908E+002, 1.6291181E+002, 1.1431594E+002
 4.2500000E+000, 9.9246992E+002, 1.0019545E+003, 6.4254377E-001, 2.8333486E+002, 3.1037447E+002, 2.1743577E-001, 8.6614322E-003, 5.1666342E-002, 5.1522771E-002, 2.5890234E-001, 1.5691134E-001, 5.1522771E-002, 4.2081301E-001, 0.0000000E+000, 4.0000000E+000, 2.1471972E+001, 1.5670611E+001, 5.3571429E+000, 9.6393287E-001, 2.0895318E+001, 1.9224976E+000,-5.0000000E-003, 9.2520948E+002, 1.0646669E+003, 8.3249481E+002, 6.6267767E+002, 5.5485539E+002, 2.0582886E+002, 1.9934595E+002, 2.0319908E+002, 1.6291181E+002, 1.1431594E+002
