cm,K,K,m/s,K,K,m/s,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,kg/kg,cm,kW/m2,kW/m2,cm,kW/m2,cm,kW/m2,cm,K,K,K,K,K,K,K,K,K,K
z,TC_CL,TG_CL,w_CL,TC_CL_RMS,TG_CL_RMS,w_CL_RMS,X_O2,X_CO2,X_CO,X_FUEL,X_H2O,X_H2,X_N2,Y_Soot,r_rad1,HF,radHF,z_rad,HF_vert,r_rad2,HF_hori,r_rad3,TC_03,TC_30,TC_41,TC_51,TC_61,TC_03_RMS,TC_30_RMS,TC_41_RMS,TC_51_RMS,TC_61_RMS
 1.0000000E+000, 1.0418644E+003, 1.0529107E+003, 1.3438828E-002, 8.1608537E+001, 8.6340640E+001, 3.2519110E-004, 4.7983733E-003, 5.4697519E-002, 6.7155376E-002, 1.7465901E-001, 1.7876243E-001, 6.7155376E-002, 4.5277191E-001, 0.0000000E+000,-4.0000000E+000, 3.3800599E+001, 2.5897299E+001, 0.0000000E+000, 7.7963708E-001, 1.6155494E+001, 2.7076415E+000,-4.0000000E+000, 1.2342120E+003, 9.9430020E+002, 8.5364540E+002, 7.1523978E+002, 6.0328521E+002, 6.4659057E+001, 2.1536574E+002, 2.1166858E+002, 1.7563968E+002, 1.3141898E+002
 3.0000000E+000, 1.0950443E+003, 1.1082139E+003, 4.2945917E-001, 8.8642621E+001, 9.4423855E+001, 7.9656139E-002, 5.2974817E-003, 5.7398878E-002, 6.8277519E-002, 1.4337424E-001, 1.8538120E-001, 6.8277519E-002, 4.7199317E-001, 0.0000000E+000,-3.0000000E+000, 3.3800599E+001, 2.5897299E+001, 2.5423729E+000, 8.2568843E-001, 1.8462585E+001, 2.2425856E+000,-2.0000000E+000, 1.2342120E+003, 9.9430020E+002, 8.5364540E+002, 7.1523978E+002, 6.0328521E+002, 6.4659057E+001, 2.1536574E+002, 2.1166858E+002, 1.7563968E+002, 1.3141898E+002
 5.0000000E+000, 1.1476892E+003, 1.1636278E+003, 8.9349316E-001, 9.5347251E+001, 1.0253985E+002, 1.3008875E-001, 6.4476857E-003, 6.0607778E-002, 6.7420835E-002, 1.1425405E-001, 1.9104399E-001, 6.7420835E-002, 4.9280482E-001, 0.0000000E+000,-2.0000000E+000, 3.3800599E+001, 2.5897299E+001, 5.0847458E+000, 9.0011568E-001, 2.0770544E+001, 1.6721300E+000, 2.0000000E-002, 1.0697830E+003, 1.1125710E+003, 9.4974571E+002, 7.7791016E+002, 6.4801759E+002, 6.6377526E+001, 1.7168537E+002, 2.0223595E+002, 1.8307779E+002, 1.3793022E+002
 7.0000000E+000, 1.1869069E+003, 1.2052238E+003, 1.3347951E+000, 9.6715000E+001, 1.0492522E+002, 1.7973210E-001, 8.6017470E-003, 6.3777730E-002, 6.4480782E-002, 9.0860614E-002, 1.9454375E-001, 6.4480782E-002, 5.1325460E-001, 0.0000000E+000,-1.0000000E+000, 3.1739480E+001, 2.5066906E+001, 7.6271186E+000, 9.2805283E-001, 2.3079112E+001, 1.4404564E+000, 2.0000000E+000, 1.2272899E+003, 9.9603377E+002, 8.5766397E+002, 7.2217291E+002, 6.1644439E+002, 6.8802519E+001, 2.1504592E+002, 2.0805825E+002, 1.7410916E+002, 1.3033989E+002
 9.0000000E+000, 1.1869069E+003, 1.2052238E+003, 1.7417645E+000, 9.6715000E+001, 1.0492522E+002, 2.2538716E-001, 8.6017470E-003, 6.3777730E-002, 6.4480782E-002, 9.0860614E-002, 1.9454375E-001, 6.4480782E-002, 5.1325460E-001, 0.0000000E+000,-2.0000000E-002, 3.1739480E+001, 2.5066906E+001, 1.0169492E+001, 9.2282802E-001, 2.5388123E+001, 1.1407213E+000, 4.0000000E+000, 1.3424422E+003, 7.8908145E+002, 7.1425620E+002, 6.3472999E+002, 5.6237307E+002, 6.8452843E+001, 2.0087375E+002, 1.9073547E+002, 1.5873756E+002, 1.2129258E+002
 1.1000000E+001, 1.2268703E+003, 1.2480406E+003, 2.1040489E+000, 9.9024995E+001, 1.0886244E+002, 2.7653907E-001, 1.6790565E-002, 6.8154449E-002, 5.5331275E-002, 5.8530965E-002, 1.9433466E-001, 5.5331275E-002, 5.5152682E-001, 0.0000000E+000, 1.0000000E+000, 3.1634632E+001, 2.5039284E+001, 1.2711864E+001, 9.0411528E-001, 2.7697465E+001, 1.0046375E+000, 6.0000000E+000, 1.2835654E+003, 5.9155782E+002, 5.7200095E+002, 5.3827854E+002, 5.0077024E+002, 1.5872296E+002, 1.5305689E+002, 1.5210345E+002, 1.3013032E+002, 1.0705351E+002
 1.3000000E+001, 1.2327310E+003, 1.2543741E+003, 2.4203482E+000, 1.0472551E+002, 1.1575210E+002, 3.2754956E-001, 2.2794104E-002, 6.8927992E-002, 5.0396629E-002, 4.7266143E-002, 1.9103336E-001, 5.0396629E-002, 5.6918514E-001, 0.0000000E+000, 2.0000000E+000, 3.3726897E+001, 2.5887918E+001, 1.5254237E+001, 8.7997693E-001, 3.0007063E+001, 8.2498841E-001, 8.0000000E+000, 1.0523590E+003, 4.5757710E+002, 4.6382300E+002, 4.5452386E+002, 4.4038922E+002, 2.0580526E+002, 1.0016840E+002, 1.1055913E+002, 1.0150152E+002, 8.9374022E+001
 1.5000000E+001, 1.2321283E+003, 1.2537370E+003, 2.6923355E+000, 1.1631468E+002, 1.2912030E+002, 3.8115884E-001, 2.9543183E-002, 6.8957886E-002, 4.5617419E-002, 3.8124463E-002, 1.8639485E-001, 4.5617419E-002, 5.8574478E-001, 0.0000000E+000, 3.0000000E+000, 3.3726897E+001, 2.5887918E+001, 1.7796610E+001, 8.7594046E-001, 3.2316861E+001, 6.8756293E-001, 1.0000000E+001, 8.0696364E+002, 3.7551737E+002, 3.8897616E+002, 3.9256325E+002, 3.9084744E+002, 1.9320099E+002, 6.4869357E+001, 7.8943136E+001, 7.7773541E+001, 7.2401471E+001
 1.7000000E+001, 1.2321283E+003, 1.2537370E+003, 2.9245324E+000, 1.1631468E+002, 1.2912030E+002, 4.3712957E-001, 2.9543183E-002, 6.8957886E-002, 4.5617419E-002, 3.8124463E-002, 1.8639485E-001, 4.5617419E-002, 5.8574478E-001, 0.0000000E+000, 4.0000000E+000, 3.3613957E+001, 2.4935391E+001, 2.0338983E+001, 8.7201014E-001, 3.4644148E+001, 6.1917453E-001, 1.2000000E+001, 5.7701716E+002, 3.2964313E+002, 3.4181178E+002, 3.4864475E+002, 3.5372731E+002, 1.3143141E+002, 3.8233993E+001, 5.6605192E+001, 5.6723033E+001, 5.7196551E+001
