cm,K,K,cm,K,K,K,K,K,K,K,K,K,K,cm,cm,kW/m2,kW/m2,kW/m2,kW/m2,cm,kW/m2
z,T_CL,T_CL_RMS,r,T_20,T_20_RMS,T_60,T_60_RMS,T_100,T_100_RMS,T_140,T_140_RMS,T_180,T_180_RMS,r2,HF_00-y,HF_00,HF_41,HF_61,HF_81,z2,HF_207
 5.0000000E-001, 7.4682794E+002, 1.4840297E+002,-9.5000000E+000, 1.1565011E+003, 1.5854225E+002, 1.0399295E+003, 2.3395763E+002, 8.3632874E+002, 2.5290367E+002, 6.8095907E+002, 2.0973043E+002, 5.5778868E+002, 1.4511099E+002, 5.2000000E+001, 1.0000000E-001, 2.7444588E+000, 1.2927886E+001, 1.0977571E+001, 9.1625340E+000, 0.0000000E+000, 9.5803145E-001
 2.5000000E+000, 8.2772681E+002, 1.6379630E+002,-7.4655172E+000, 1.1626271E+003, 1.4281021E+002, 1.0984509E+003, 2.1274337E+002, 8.8064648E+002, 2.5264470E+002, 6.9773543E+002, 2.1168769E+002, 5.6597626E+002, 1.4783673E+002, 5.6480000E+001, 2.9900000E-001, 3.7681926E+000, 1.1694678E+001, 1.0050770E+001, 8.4490412E+000, 4.5000000E+000, 9.2132563E-001
 4.5000000E+000, 8.8336467E+002, 1.6297098E+002,-5.4310345E+000, 1.1494142E+003, 1.4354602E+002, 1.1491379E+003, 1.9145915E+002, 9.1679185E+002, 2.4698156E+002, 7.1373275E+002, 2.1431815E+002, 5.7278332E+002, 1.4884886E+002, 6.0960000E+001, 4.9800000E-001, 3.6270846E+000, 1.0104315E+001, 8.7212765E+000, 7.3789470E+000, 9.0000000E+000, 9.5148566E-001
 6.5000000E+000, 9.2586695E+002, 1.6309263E+002,-3.3965517E+000, 1.1212722E+003, 1.4306521E+002, 1.1765749E+003, 1.7661752E+002, 9.4441286E+002, 2.4101221E+002, 7.2578368E+002, 2.1537297E+002, 5.7733844E+002, 1.5086480E+002, 6.5440000E+001, 6.9700000E-001, 3.2247208E+000, 9.2543064E+000, 8.0755340E+000, 6.8792854E+000, 1.3500000E+001, 1.0415711E+000
 8.5000000E+000, 9.5823824E+002, 1.5900416E+002,-1.3620690E+000, 1.0974665E+003, 1.4927788E+002, 1.1835892E+003, 1.6727855E+002, 9.6025946E+002, 2.3224010E+002, 7.3048032E+002, 2.1570758E+002, 5.7935646E+002, 1.5268715E+002, 6.9920000E+001, 8.9600000E-001, 2.8785832E+000, 8.4960498E+000, 7.4904656E+000, 6.4241717E+000, 1.8000000E+001, 1.1424825E+000
 1.0500000E+001, 9.8602657E+002, 1.5463739E+002, 6.7241379E-001, 1.0887320E+003, 1.5310815E+002, 1.1775872E+003, 1.7044281E+002, 9.6207372E+002, 2.2997196E+002, 7.3146086E+002, 2.1413879E+002, 5.7801555E+002, 1.5169892E+002, 7.4400000E+001, 1.0950000E+000, 2.5800650E+000, 7.8178205E+000, 6.9589715E+000, 6.0082558E+000, 2.2500000E+001, 1.2104278E+000
 1.2500000E+001, 1.0113915E+003, 1.5334162E+002, 2.7068966E+000, 1.1083549E+003, 1.5088849E+002, 1.1628671E+003, 1.7996189E+002, 9.4932656E+002, 2.3304465E+002, 7.2683918E+002, 2.1124932E+002, 5.7599759E+002, 1.5170219E+002, 7.8880000E+001, 1.2940000E+000, 2.3215438E+000, 7.2096097E+000, 6.4750281E+000, 5.6270640E+000, 2.7000000E+001, 1.2299152E+000
 1.4500000E+001, 1.0339242E+003, 1.5239249E+002, 4.7413793E+000, 1.1399882E+003, 1.4487656E+002, 1.1340867E+003, 1.9013215E+002, 9.2308455E+002, 2.3631515E+002, 7.1432973E+002, 2.0886477E+002, 5.7221230E+002, 1.5095351E+002, 8.3360000E+001, 1.4930000E+000, 2.0965963E+000, 6.6628069E+000, 6.0334605E+000, 5.2768488E+000, 3.1500000E+001, 1.2115012E+000
 1.6500000E+001, 1.0541826E+003, 1.5197849E+002, 6.7758621E+000, 1.1673703E+003, 1.4469336E+002, 1.0891948E+003, 2.0888128E+002, 8.8491216E+002, 2.3751154E+002, 6.9872243E+002, 2.0643613E+002, 5.6813266E+002, 1.4934725E+002, 8.7840000E+001, 1.6920000E+000, 1.8999073E+000, 6.1699704E+000, 5.6297897E+000, 4.9544058E+000, 3.6000000E+001, 1.1433569E+000
 1.8500000E+001, 1.0713513E+003, 1.5278282E+002, 8.8103448E+000, 1.1744156E+003, 1.5039519E+002, 1.0296349E+003, 2.2964963E+002, 8.3941938E+002, 2.3610544E+002, 6.7863849E+002, 2.0261890E+002, 5.6205655E+002, 1.4818022E+002, 9.2320000E+001, 1.8910000E+000, 1.5746186E+000, 5.3212489E+000, 4.9210232E+000, 4.3821162E+000, 4.0500000E+001, 1.1223054E+000
 2.0500000E+001, 1.0887320E+003, 1.5310815E+002, 1.0844828E+001, 1.1487669E+003, 1.7227551E+002, 9.6368682E+002, 2.4449240E+002, 7.9505099E+002, 2.3855835E+002, 6.5773635E+002, 1.9634390E+002, 5.5664960E+002, 1.4537020E+002, 9.6800000E+001, 2.0900000E+000, 1.4394713E+000, 4.9548997E+000, 4.6095109E+000, 4.1277340E+000, 4.5000000E+001, 1.1153087E+000
 2.2500000E+001, 1.1042190E+003, 1.5159515E+002, 1.2879310E+001, 1.1194549E+003, 1.9055591E+002, 8.9909570E+002, 2.5028775E+002, 7.5091865E+002, 2.3816888E+002, 6.3727398E+002, 1.9080462E+002, 5.4738677E+002, 1.4135038E+002, 1.0128000E+002, 2.2890000E+000, 1.3192189E+000, 4.6213704E+000, 4.3229289E+000, 3.8919412E+000, 4.9500000E+001, 1.1192005E+000
 2.4500000E+001, 1.1180357E+003, 1.5007743E+002, 1.4913793E+001, 1.0850160E+003, 2.1922064E+002, 8.3458935E+002, 2.5334030E+002, 7.0738362E+002, 2.3058699E+002, 6.1649714E+002, 1.8604992E+002, 5.3528789E+002, 1.3542831E+002, 1.0576000E+002, 2.4880000E+000, 1.2118220E+000, 4.3169773E+000, 4.0589299E+000, 3.6730636E+000, 5.4000000E+001, 1.1287669E+000
 2.6500000E+001, 1.1304982E+003, 1.4821603E+002, 1.6948276E+001, 1.0365475E+003, 2.3771766E+002, 7.7405470E+002, 2.5184441E+002, 6.7310442E+002, 2.2311711E+002, 5.9320462E+002, 1.7954014E+002, 5.2316219E+002, 1.2945771E+002, 1.1024000E+002, 2.6870000E+000, 1.1155741E+000, 4.0385100E+000, 3.8154268E+000, 3.4696030E+000, 5.8500000E+001, 1.1388888E+000
 2.8500000E+001, 1.1414473E+003, 1.4620145E+002, 1.8982759E+001, 9.8022076E+002, 2.5137922E+002, 7.1851602E+002, 2.4480709E+002, 6.3959824E+002, 2.1443523E+002, 5.6955105E+002, 1.7166347E+002, 5.1207584E+002, 1.2524509E+002, 1.1472000E+002, 2.8860000E+000, 1.0290382E+000, 3.7831710E+000, 3.5905564E+000, 3.2802147E+000, 6.3000000E+001, 1.1358768E+000
 3.0500000E+001, 1.1510740E+003, 1.4458845E+002, 2.1017241E+001, 9.3096439E+002, 2.6335203E+002, 6.6671984E+002, 2.3234324E+002, 6.0590131E+002, 1.9939084E+002, 5.4577722E+002, 1.6072809E+002, 5.0212050E+002, 1.2274140E+002, 1.1920000E+002, 3.0850000E+000, 9.5099918E-001, 3.5485179E+000, 3.3826497E+000, 3.1036902E+000, 6.7500000E+001, 1.1364972E+000
 3.2500000E+001, 1.1594489E+003, 1.4325586E+002, 2.3051724E+001, 8.7397572E+002, 2.6360579E+002, 6.2573344E+002, 2.1853342E+002, 5.7123448E+002, 1.8132304E+002, 5.2272561E+002, 1.4945140E+002, 4.8971652E+002, 1.1794332E+002, 1.2368000E+002, 3.2840000E+000, 8.8042383E-001, 3.3324182E+000, 3.1902056E+000, 2.9389426E+000, 7.2000000E+001, 1.1320549E+000
