cm,K,K,m/s,K,K,m/s,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,kg/kg,kg/kg,cm,kW/m2,cm,kW/m2
z,TC_CL,TG_CL,w_CL,TC_CL_RMS,TG_CL_RMS,w_CL_RMS,X_O2,X_CO2,X_CO,X_FUEL,X_H2O,X_H2,X_N2,Y_CO,Y_Soot,z_rad,HF_vert,r_rad,HF_hori
 2.5000000E-001, 4.3464808E+002, 4.1387085E+002, 9.2045907E-002, 1.2467264E+002, 1.4377235E+002, 9.1818832E-002, 1.8756787E-003, 2.0961529E-002, 1.8558477E-002, 6.8616732E-001, 4.5510197E-002, 1.6496424E-002, 2.0424422E-001, 1.4036232E-002, 2.0062403E-003, 0.0000000E+000, 2.7990854E-001, 1.8275667E+001, 8.0712347E+000
 8.5050251E-001, 5.4286496E+002, 5.2161487E+002, 1.4807331E-001, 1.6520913E+002, 2.0153791E+002, 1.1846136E-001, 3.5501547E-003, 3.0679510E-002, 2.6206638E-002, 5.4320910E-001, 6.5757731E-002, 2.3294789E-002, 2.9856653E-001, 2.1054618E-002, 3.0093990E-003, 3.8888889E+000, 2.7624000E-001, 2.2506950E+001, 5.8040424E+000
 1.4510050E+000, 6.2946530E+002, 6.1062660E+002, 2.1751601E-001, 1.7966203E+002, 2.2654132E+002, 1.4282203E-001, 5.9092982E-003, 3.7928977E-002, 3.1445967E-002, 4.3437367E-001, 8.0460918E-002, 2.7951971E-002, 3.7144721E-001, 2.6478228E-002, 3.7846116E-003, 7.7777778E+000, 2.8287819E-001, 2.6739865E+001, 4.5064164E+000
 2.0515075E+000, 7.3599245E+002, 7.2207008E+002, 3.6040031E-001, 1.9458380E+002, 2.5415093E+002, 1.7945164E-001, 1.0886888E-002, 4.5645204E-002, 3.5998399E-002, 3.1358629E-001, 9.5229730E-002, 3.1998577E-002, 4.5465545E-001, 3.1902383E-002, 4.5599022E-003, 1.1666667E+001, 3.5146648E-001, 3.0973743E+001, 3.4982134E+000
 2.6520101E+000, 7.6889630E+002, 7.5622172E+002, 4.2061859E-001, 2.0340674E+002, 2.6811545E+002, 1.9535630E-001, 1.3477384E-002, 4.7689457E-002, 3.6493383E-002, 2.8025891E-001, 9.8522106E-002, 3.2438563E-002, 4.7895573E-001, 3.2745241E-002, 4.6803743E-003, 1.5555556E+001, 4.2997604E-001, 3.5208237E+001, 2.8663401E+000
 3.2525126E+000, 7.8642543E+002, 7.7380938E+002, 4.7379807E-001, 1.9026561E+002, 2.5714245E+002, 2.1108592E-001, 1.6399381E-002, 4.8846723E-002, 3.6585974E-002, 2.5569047E-001, 1.0024422E-001, 3.2520865E-002, 4.9751704E-001, 3.3149916E-002, 4.7382158E-003, 1.9444444E+001, 4.0427556E-001, 3.9443149E+001, 2.3701002E+000
 3.8530151E+000, 8.0854678E+002, 7.9499117E+002, 5.1916644E-001, 1.9496397E+002, 2.6813945E+002, 2.2653740E-001, 1.8512618E-002, 5.0032399E-002, 3.6643774E-002, 2.3497373E-001, 1.0195772E-001, 3.2572243E-002, 5.1309292E-001, 3.3500738E-002, 4.7883598E-003, 2.3333333E+001, 3.4421933E-001, 4.3678356E+001, 1.9013717E+000
 4.4535176E+000, 8.2919484E+002, 8.1558187E+002, 5.5911069E-001, 1.9476525E+002, 2.7234574E+002, 2.4240231E-001, 2.0386594E-002, 5.1169422E-002, 3.6510815E-002, 2.1709431E-001, 1.0342698E-001, 3.2454058E-002, 5.2678755E-001, 3.3627688E-002, 4.8065052E-003, 2.7222222E+001, 3.1606228E-001, 4.7913781E+001, 1.6263806E+000
 5.0540201E+000, 8.7023441E+002, 8.5658797E+002, 6.5717532E-001, 1.9691789E+002, 2.8301511E+002, 2.6924671E-001, 2.3663425E-002, 5.3122565E-002, 3.6094736E-002, 1.8735921E-001, 1.0578165E-001, 3.2084210E-002, 5.4986262E-001, 3.3722278E-002, 4.8200252E-003, 3.1111111E+001, 3.1485813E-001, 5.2149371E+001, 1.3843704E+000
 5.6545226E+000, 8.8828029E+002, 8.7463986E+002, 7.1783091E-001, 1.9925956E+002, 2.9015618E+002, 2.7997368E-001, 2.5424337E-002, 5.3889700E-002, 3.5638056E-002, 1.7537467E-001, 1.0644968E-001, 3.1678272E-002, 5.5966593E-001, 3.3467145E-002, 4.7835584E-003, 3.4990000E+001, 3.2575539E-001, 5.6385088E+001, 1.1858372E+000
 6.2550251E+000, 9.0302606E+002, 8.8891431E+002, 7.8456177E-001, 1.9876511E+002, 2.9461315E+002, 2.9096715E-001, 2.7635866E-002, 5.4362115E-002, 3.5058563E-002, 1.6460086E-001, 1.0661252E-001, 3.1163167E-002, 5.6888072E-001, 3.3067111E-002, 4.7263802E-003, 3.8888889E+001, 3.5147544E-001, 6.0620905E+001, 1.0343977E+000
 6.8555276E+000, 9.1488683E+002, 9.0034039E+002, 8.5696449E-001, 1.9763721E+002, 2.9771993E+002, 3.0291676E-001, 2.9996475E-002, 5.4673253E-002, 3.4426196E-002, 1.5485978E-001, 1.0650999E-001, 3.0601063E-002, 5.7745784E-001, 3.2593795E-002, 4.6587277E-003, 4.2777778E+001, 3.7647661E-001, 6.4856804E+001, 8.9579553E-001
 7.4560302E+000, 9.2541884E+002, 9.1049405E+002, 9.3438657E-001, 1.9575957E+002, 2.9955997E+002, 3.1717114E-001, 3.2281961E-002, 5.4955836E-002, 3.3765221E-002, 1.4591518E-001, 1.0634103E-001, 3.0013530E-002, 5.8547217E-001, 3.2080215E-002, 4.5853203E-003, 4.6666667E+001, 3.8643322E-001, 6.9092768E+001, 7.5540608E-001
 8.0565327E+000, 9.4531382E+002, 9.2945338E+002, 1.0973968E+000, 1.9205929E+002, 3.0315038E+002, 3.5546809E-001, 3.6532431E-002, 5.5371965E-002, 3.2571126E-002, 1.2998971E-001, 1.0590925E-001, 2.8952112E-002, 5.9981636E-001, 3.1157703E-002, 4.4534630E-003, 5.0555556E+001, 3.7617576E-001, 7.3328788E+001, 6.6055638E-001
 8.6570352E+000, 9.5478880E+002, 9.3848375E+002, 1.1808596E+000, 1.9085964E+002, 3.0519366E+002, 3.7687984E-001, 3.8402290E-002, 5.5557353E-002, 3.2039401E-002, 1.2300663E-001, 1.0571665E-001, 2.8479468E-002, 6.0611841E-001, 3.0747440E-002, 4.3948227E-003, 5.4444444E+001, 3.5465170E-001, 7.7564853E+001, 5.8715847E-001
 9.2575377E+000, 9.6419212E+002, 9.4741252E+002, 1.2637423E+000, 1.9189408E+002, 3.0930575E+002, 3.9907651E-001, 4.0077445E-002, 5.5761152E-002, 3.1530459E-002, 1.1664283E-001, 1.0556606E-001, 2.8027075E-002, 6.1188483E-001, 3.0348761E-002, 4.3378384E-003, 5.8333333E+001, 3.3630468E-001, 8.1800956E+001, 5.1734888E-001
 9.8580402E+000, 9.7303923E+002, 9.5584933E+002, 1.3450902E+000, 1.9423406E+002, 3.1455413E+002, 4.2210180E-001, 4.1743573E-002, 5.5932780E-002, 3.0995732E-002, 1.1077203E-001, 1.0534795E-001, 2.7551762E-002, 6.1732426E-001, 2.9914256E-002, 4.2757333E-003, 6.2222222E+001, 3.2869937E-001, 8.6037093E+001, 4.5780328E-001
 1.0458543E+001, 9.8033478E+002, 9.6283671E+002, 1.4240172E+000, 1.9554611E+002, 3.1820491E+002, 4.4559039E-001, 4.3559641E-002, 5.5955741E-002, 3.0480331E-002, 1.0533877E-001, 1.0494723E-001, 2.7093627E-002, 6.2246455E-001, 2.9492629E-002, 4.2154689E-003, 6.6111111E+001, 3.3078762E-001, 9.0273257E+001, 3.9987942E-001
 1.1059045E+001, 9.9212262E+002, 9.7350153E+002, 1.5727199E+000, 1.9592497E+002, 3.2358607E+002, 4.9344854E-001, 4.7281944E-002, 5.5760222E-002, 2.9517515E-002, 9.5671045E-002, 1.0387945E-001, 2.6237791E-002, 6.3181286E-001, 2.8697111E-002, 4.1017632E-003, 7.0000000E+001, 3.3583993E-001, 9.4509447E+001, 3.5637057E-001
 1.1659548E+001, 9.9774799E+002, 9.7846402E+002, 1.6423760E+000, 1.9724355E+002, 3.2757129E+002, 5.1791192E-001, 4.9009787E-002, 5.5660455E-002, 2.9047136E-002, 9.1417821E-002, 1.0335022E-001, 2.5819676E-002, 6.3601253E-001, 2.8297488E-002, 4.0446439E-003, 7.3888889E+001, 3.4150935E-001, 9.8745657E+001, 3.1896793E-001
 1.2260050E+001, 1.0034131E+003, 9.8345408E+002, 1.7090408E+000, 1.9850070E+002, 3.3147706E+002, 5.4273852E-001, 5.0594239E-002, 5.5604405E-002, 2.8572938E-002, 8.7497986E-002, 1.0287442E-001, 2.5398167E-002, 6.3993353E-001, 2.7885775E-002, 3.9857966E-003, 7.7777778E+001, 3.3930456E-001, 1.0298189E+002, 2.8819630E-001
 1.2860553E+001, 1.0092722E+003, 9.8861793E+002, 1.7728411E+000, 1.9961952E+002, 3.3531929E+002, 5.6807377E-001, 5.1998815E-002, 5.5604835E-002, 2.8110618E-002, 8.3870851E-002, 1.0248303E-001, 2.4987216E-002, 6.4357443E-001, 2.7481221E-002, 3.9279724E-003, 8.1666667E+001, 3.3043242E-001, 1.0721813E+002, 2.5947481E-001
