cm,K,K,m/s,K,K,m/s,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,kg/kg,kg/kg,cm,kW/m2,cm,kW/m2
z,TC_CL,TG_CL,w_CL,TC_CL_RMS,TG_CL_RMS,w_CL_RMS,X_O2,X_CO2,X_CO,X_FUEL,X_H2O,X_H2,X_N2,Y_CO,Y_Soot,z_rad,HF_vert,r_rad,HF_hori
 2.5000000E-001, 2.8915000E+002, 2.8915000E+002, 1.7945120E-003, 2.0659043E-013, 0.0000000E+000, 1.8934399E-004, 2.0857792E-001, 3.8830909E-004, 0.0000000E+000, 0.0000000E+000, 4.6186473E-003, 0.0000000E+000, 7.8641512E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.8395050E-002, 1.8275667E+001, 2.8239116E+000
 2.2806122E+000, 1.1269555E+003, 1.1596479E+003, 3.5282623E-001, 8.9830030E+001, 1.1450901E+002, 1.3186203E-001, 9.8782478E-003, 6.9662725E-002, 4.5756184E-002, 4.5150358E-002, 1.3715582E-001, 4.0542198E-002, 6.3648918E-001, 4.7138364E-002, 6.7875867E-003, 3.8888889E+000, 7.1031816E-002, 2.2506950E+001, 1.8599003E+000
 4.3112245E+000, 1.1585663E+003, 1.1940263E+003, 6.9260288E-001, 8.9013771E+001, 1.1612077E+002, 1.5560294E-001, 1.1749194E-002, 7.0974864E-002, 4.4223383E-002, 3.5109356E-002, 1.3759936E-001, 3.9177258E-002, 6.4631010E-001, 4.5752792E-002, 6.5906672E-003, 7.7777778E+000, 8.5198345E-002, 2.6739865E+001, 1.2078798E+000
 6.3418367E+000, 1.1820968E+003, 1.2203182E+003, 1.0822770E+000, 8.6570248E+001, 1.1762936E+002, 2.0625117E-001, 1.5175392E-002, 7.2555763E-002, 4.1038573E-002, 2.6348896E-002, 1.3694257E-001, 3.6343363E-002, 6.5779799E-001, 4.2534580E-002, 6.1318430E-003, 1.1666667E+001, 1.0649401E-001, 3.0973743E+001, 8.9193368E-001
 8.3724490E+000, 1.1959661E+003, 1.2359785E+003, 1.4603158E+000, 8.5899412E+001, 1.2196213E+002, 2.6305697E-001, 2.0274469E-002, 7.3574429E-002, 3.7035831E-002, 1.9917089E-002, 1.3480607E-001, 3.2783472E-002, 6.6914378E-001, 3.8378261E-002, 5.5383958E-003, 1.5555556E+001, 1.1823984E-001, 3.5208237E+001, 6.7219181E-001
 1.0403061E+001, 1.2001803E+003, 1.2404679E+003, 1.8084698E+000, 8.7819011E+001, 1.2969570E+002, 3.2142621E-001, 2.6654881E-002, 7.3825921E-002, 3.2836575E-002, 1.5305186E-002, 1.3146526E-001, 2.9050338E-002, 6.7979632E-001, 3.3982609E-002, 4.9101222E-003, 1.9444444E+001, 1.1631984E-001, 3.9443149E+001, 5.4397569E-001
 1.2433673E+001, 1.1969275E+003, 1.2361844E+003, 2.1186454E+000, 9.3721177E+001, 1.4231378E+002, 3.8245527E-001, 3.3763281E-002, 7.3295762E-002, 2.8943210E-002, 1.1926527E-002, 1.2734536E-001, 2.5590572E-002, 6.8936843E-001, 2.9901894E-002, 4.3262906E-003, 2.3333333E+001, 1.0655458E-001, 4.3678356E+001, 4.4610635E-001
 1.4464286E+001, 1.1870642E+003, 1.2240522E+003, 2.3892613E+000, 1.0297035E+002, 1.5835326E+002, 4.4435452E-001, 4.1612921E-002, 7.1957972E-002, 2.5440233E-002, 9.3779184E-003, 1.2248771E-001, 2.2479330E-002, 6.9804692E-001, 2.6234360E-002, 3.8009484E-003, 2.7222222E+001, 9.6560449E-002, 4.7913781E+001, 3.7018238E-001
 1.6494898E+001, 1.1736139E+003, 1.2075026E+003, 2.6223499E+000, 1.1540123E+002, 1.7794435E+002, 5.0704404E-001, 4.9771916E-002, 7.0117351E-002, 2.2278248E-002, 7.4189096E-003, 1.1725660E-001, 1.9672133E-002, 7.0594484E-001, 2.2929356E-002, 3.3270778E-003, 3.1111111E+001, 9.0537574E-002, 5.2149371E+001, 2.7544749E-001
