cm,K,K,m/s,K,K,m/s,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,kg/kg,kg/kg
z,TC_CL,TG_CL,w_CL,TC_CL_RMS,TG_CL_RMS,w_CL_RMS,X_O2,X_CO2,X_CO,X_FUEL,X_H2O,X_H2,X_N2,Y_CO,Y_Soot
 1.8500000E+001, 1.1502437E+003, 1.1701014E+003, 2.6704874E+000, 1.0273626E+002, 2.7227300E+002, 9.4520342E-001, 5.4251381E-002, 5.4687080E-002, 3.7234806E-002, 3.9904542E-002, 1.3788633E-001, 2.9360027E-002, 6.4356779E-001, 3.8296663E-002, 1.2418409E-003
 1.9500000E+001, 1.1464307E+003, 1.1621223E+003, 2.7446265E+000, 1.0735925E+002, 2.8387754E+002, 9.9074611E-001, 5.8365468E-002, 5.4339863E-002, 3.5272936E-002, 3.6299368E-002, 1.3468713E-001, 2.7811413E-002, 6.5023650E-001, 3.6319586E-002, 1.1943145E-003
 2.0500000E+001, 1.1409517E+003, 1.1522134E+003, 2.8118527E+000, 1.1328102E+002, 2.9579047E+002, 1.0330865E+000, 6.2589073E-002, 5.3854732E-002, 3.3357976E-002, 3.2991008E-002, 1.3134158E-001, 2.6299925E-002, 6.5669873E-001, 3.4382956E-002, 1.1467400E-003
 2.1500000E+001, 1.1344559E+003, 1.1410995E+003, 2.8719947E+000, 1.1954373E+002, 3.0761872E+002, 1.0732991E+000, 6.6863386E-002, 5.3297100E-002, 3.1453716E-002, 2.9965399E-002, 1.2789947E-001, 2.4796932E-002, 6.6297797E-001, 3.2448387E-002, 1.0986700E-003
 2.2500000E+001, 1.1266326E+003, 1.1282726E+003, 2.9219936E+000, 1.2548720E+002, 3.1908767E+002, 1.1183006E+000, 7.1197856E-002, 5.2628691E-002, 2.9604151E-002, 2.7196654E-002, 1.2436304E-001, 2.3337192E-002, 6.6904605E-001, 3.0566970E-002, 1.0510436E-003
 2.3500000E+001, 1.1177085E+003, 1.1139189E+003, 2.9652414E+000, 1.3152244E+002, 3.3067506E+002, 1.1636991E+000, 7.5518085E-002, 5.1862525E-002, 2.7847768E-002, 2.4674211E-002, 1.2080480E-001, 2.1951081E-002, 6.7483103E-001, 2.8778171E-002, 1.0048795E-003
 2.4500000E+001, 1.1080145E+003, 1.0988269E+003, 3.0049826E+000, 1.3762294E+002, 3.4170210E+002, 1.2041872E+000, 7.9741501E-002, 5.1042359E-002, 2.6190604E-002, 2.2391746E-002, 1.1729948E-001, 2.0643337E-002, 6.8029148E-001, 2.7086626E-002, 9.6056730E-004
 2.5500000E+001, 1.0981025E+003, 1.0839934E+003, 3.0049826E+000, 1.4321410E+002, 3.5122701E+002, 1.2041872E+000, 8.3794768E-002, 5.0230783E-002, 2.4613310E-002, 2.0314432E-002, 1.1391574E-001, 1.9398641E-002, 6.8543901E-001, 2.5472661E-002, 9.1806587E-004
 2.6500000E+001, 1.0878411E+003, 1.0694307E+003, 3.0759190E+000, 1.4829613E+002, 3.5906773E+002, 1.2701593E+000, 8.7710212E-002, 4.9437645E-002, 2.3087146E-002, 1.8399995E-002, 1.1062935E-001, 1.8194300E-002, 6.9035089E-001, 2.3907573E-002, 8.7677711E-004
 2.7500000E+001, 1.0767978E+003, 1.0542698E+003, 3.1072701E+000, 1.5264398E+002, 3.6562300E+002, 1.2959466E+000, 9.1601025E-002, 4.8602196E-002, 2.1607001E-002, 1.6642164E-002, 1.0734112E-001, 1.7026317E-002, 6.9509062E-001, 2.2386911E-002, 8.3619451E-004
 2.8500000E+001, 1.0652816E+003, 1.0386062E+003, 3.1349822E+000, 1.5629228E+002, 3.7160320E+002, 1.3202674E+000, 9.5421039E-002, 4.7739747E-002, 2.0186020E-002, 1.5047063E-002, 1.0409225E-001, 1.5905061E-002, 6.9961716E-001, 2.0924566E-002, 7.9675858E-004
 2.9500000E+001, 1.0532194E+003, 1.0223522E+003, 3.1580083E+000, 1.5924223E+002, 3.7700872E+002, 1.3427862E+000, 9.9186303E-002, 4.6841219E-002, 1.8827092E-002, 1.3593322E-002, 1.0087301E-001, 1.4832817E-002, 7.0394946E-001, 1.9524666E-002, 7.5850129E-004
 3.0500000E+001, 1.0405044E+003, 1.0054447E+003, 3.1787299E+000, 1.6163469E+002, 3.8160574E+002, 1.3615912E+000, 1.0292371E-001, 4.5886442E-002, 1.7536808E-002, 1.2274194E-002, 9.7661829E-002, 1.3814803E-002, 7.0809727E-001, 1.8194191E-002, 7.2145503E-004
 3.1500000E+001, 1.0274694E+003, 9.8836462E+002, 3.1967080E+000, 1.6371681E+002, 3.8544711E+002, 1.3762222E+000, 1.0657279E-001, 4.4913313E-002, 1.6312597E-002, 1.1083891E-002, 9.4512746E-002, 1.2848965E-002, 7.1203904E-001, 1.6928690E-002, 6.8577704E-004
 3.2500000E+001, 1.0138479E+003, 9.7088970E+002, 3.2125675E+000, 1.6565720E+002, 3.8859997E+002, 1.3879280E+000, 1.1017810E-001, 4.3908009E-002, 1.5141791E-002, 1.0008434E-002, 9.1387481E-002, 1.1925308E-002, 7.1581992E-001, 1.5716161E-002, 6.5109335E-004
 3.3500000E+001, 9.9992354E+002, 9.5332634E+002, 3.2241111E+000, 1.6756884E+002, 3.9121673E+002, 1.3993433E+000, 1.1369113E-001, 4.2883070E-002, 1.4045078E-002, 9.0373318E-003, 8.8333447E-002, 1.1060160E-002, 7.1940053E-001, 1.4580087E-002, 6.1804134E-004
 3.4500000E+001, 9.8614301E+002, 9.3620323E+002, 3.2324764E+000, 1.6948248E+002, 3.9352533E+002, 1.4127037E+000, 1.1706537E-001, 4.1869381E-002, 1.3020960E-002, 8.1485799E-003, 8.5395570E-002, 1.0252315E-002, 7.2277585E-001, 1.3518529E-002, 5.8678146E-004
 3.5500000E+001, 9.7239321E+002, 9.1959214E+002, 3.2324764E+000, 1.7120932E+002, 3.9486759E+002, 1.4127037E+000, 1.2024142E-001, 4.0899345E-002, 1.2071076E-002, 7.3480920E-003, 8.2625271E-002, 9.5030477E-003, 7.2591195E-001, 1.2534298E-002, 5.5759162E-004
