cm,K,K,m/s,K,K,m/s,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,kg/kg,kg/kg,cm,kW/m2,cm,kW/m2
z,TC_CL,TG_CL,w_CL,TC_CL_RMS,TG_CL_RMS,w_CL_RMS,X_O2,X_CO2,X_CO,X_FUEL,X_H2O,X_H2,X_N2,Y_CO,Y_Soot,z_rad,HF_vert,r_rad,HF_hori
 2.5000000E-001, 5.9806714E+002, 5.8867467E+002, 1.2097091E-001, 6.2365881E+001, 7.0555677E+001, 6.8837533E-002, 2.9536895E-003, 3.1803939E-002, 4.8155725E-002, 3.8974567E-001, 8.7198622E-002, 4.2805089E-002, 3.8128536E-001, 4.1573738E-002, 5.9422577E-003, 0.0000000E+000, 2.3974551E-001, 1.8275667E+001, 7.1447159E+000
 1.4570707E+000, 7.0585784E+002, 7.0056728E+002, 2.4022497E-001, 7.5303195E+001, 9.1090139E+001, 1.1314658E-001, 3.8349011E-003, 3.7169852E-002, 5.6159375E-002, 2.8576397E-001, 1.0180825E-001, 4.9919444E-002, 4.4662441E-001, 5.1549632E-002, 7.3681418E-003, 3.8888889E+000, 2.2066604E-001, 2.2506950E+001, 4.7186848E+000
 2.6641414E+000, 7.6917260E+002, 7.6634252E+002, 3.1532326E-001, 1.0687826E+002, 1.3108988E+002, 1.3935397E-001, 4.9011191E-003, 3.9943077E-002, 5.9340424E-002, 2.3548707E-001, 1.0850386E-001, 5.2747044E-002, 4.7929726E-001, 5.6132676E-002, 8.0232098E-003, 7.7777778E+000, 2.5830639E-001, 2.6739865E+001, 3.4417445E+000
 3.8712121E+000, 8.1794742E+002, 8.1742638E+002, 4.1206013E-001, 1.2597520E+002, 1.5720733E+002, 1.6043301E-001, 6.0081176E-003, 4.2249721E-002, 6.0676542E-002, 2.0136538E-001, 1.1288883E-001, 5.3934704E-002, 5.0265119E-001, 5.8530918E-002, 8.3659977E-003, 1.1666667E+001, 3.4284393E-001, 3.0973743E+001, 2.6447817E+000
 5.0782828E+000, 8.8128309E+002, 8.8397617E+002, 6.9469987E-001, 1.3345368E+002, 1.7214125E+002, 2.0065927E-001, 7.5834825E-003, 4.5576388E-002, 6.1760562E-002, 1.5788626E-001, 1.1844758E-001, 5.4898278E-002, 5.3326059E-001, 6.1072074E-002, 8.7292126E-003, 1.5555556E+001, 3.9366764E-001, 3.5208237E+001, 2.0349811E+000
 6.2853535E+000, 9.0292350E+002, 9.0659947E+002, 8.5972508E-001, 1.3180229E+002, 1.7326756E+002, 2.2622347E-001, 8.6505318E-003, 4.6892293E-002, 6.1580743E-002, 1.4263176E-001, 1.2010285E-001, 5.4738438E-002, 5.4487647E-001, 6.1391009E-002, 8.7747989E-003, 1.9444444E+001, 3.7366559E-001, 3.9443149E+001, 1.6528491E+000
 7.4924242E+000, 9.2124218E+002, 9.2570823E+002, 1.0279394E+000, 1.2925271E+002, 1.7357205E+002, 2.5605847E-001, 1.0057753E-002, 4.8082842E-002, 6.0976518E-002, 1.2966851E-001, 1.2120845E-001, 5.4201349E-002, 5.5547907E-001, 6.1182924E-002, 8.7450568E-003, 2.3333333E+001, 3.2390012E-001, 4.3678356E+001, 1.4024836E+000
 8.6994949E+000, 9.3771754E+002, 9.4276933E+002, 1.1954515E+000, 1.2929567E+002, 1.7751790E+002, 2.8683801E-001, 1.1828161E-002, 4.9080120E-002, 6.0099202E-002, 1.1846199E-001, 1.2180936E-001, 5.3421513E-002, 5.6526659E-001, 6.0616464E-002, 8.6640910E-003, 2.7222222E+001, 2.8939793E-001, 4.7913781E+001, 1.2010376E+000
 9.9065657E+000, 9.5207612E+002, 9.5762249E+002, 1.3601272E+000, 1.2920471E+002, 1.8116962E+002, 3.1846010E-001, 1.3697462E-002, 5.0024380E-002, 5.9000488E-002, 1.0871934E-001, 1.2213888E-001, 5.2444878E-002, 5.7430775E-001, 5.9758348E-002, 8.5414380E-003, 3.1111111E+001, 2.8317454E-001, 5.2149371E+001, 1.0059672E+000
