cm,K,K,m/s,K,K,m/s,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,kg/kg,kg/kg
z,TC_CL,TG_CL,w_CL,TC_CL_RMS,TG_CL_RMS,w_CL_RMS,X_O2,X_CO2,X_CO,X_FUEL,X_H2O,X_H2,X_N2,Y_CO,Y_Soot
 2.5000000E-001, 3.9702259E+002, 3.7958874E+002, 3.1219571E-002, 1.6643100E+000, 1.8506166E+000, 1.4059834E-002, 7.7357323E-004, 1.9656683E-003, 3.8409726E-003, 9.5750945E-001, 5.1838635E-003, 2.7361670E-003, 2.6992307E-002, 1.1122039E-003, 1.2391651E-004
 9.5175879E-001, 4.2637560E+002, 4.1054812E+002, 3.7938833E-002, 1.6056833E+001, 2.1586343E+001, 1.7431074E-002, 3.3171123E-003, 8.4923249E-003, 1.6610350E-002, 8.1645109E-001, 2.2407252E-002, 1.1832631E-002, 1.1657352E-001, 5.5601636E-003, 6.1946271E-004
 1.6535176E+000, 6.2150978E+002, 6.1576435E+002, 1.2003753E-001, 4.0485944E+001, 4.9609086E+001, 5.8786031E-002, 1.0794356E-002, 2.9173662E-002, 5.6859529E-002, 3.7352193E-001, 7.6815904E-002, 4.0504340E-002, 3.9755495E-001, 3.0403625E-002, 3.3877987E-003
 2.3552764E+000, 6.6549402E+002, 6.6252171E+002, 1.4941404E-001, 2.2689235E+001, 2.7040875E+001, 6.9739751E-002, 1.1552496E-002, 3.2462754E-002, 6.3111816E-002, 3.0602046E-001, 8.5351464E-002, 4.4957898E-002, 4.4014151E-001, 3.6735405E-002, 4.0937296E-003
 3.0570352E+000, 6.8808761E+002, 6.8575880E+002, 1.8081904E-001, 1.3458884E+001, 1.6008538E+001, 8.9219894E-002, 1.1324288E-002, 3.4401428E-002, 6.6526791E-002, 2.7105917E-001, 9.0171428E-002, 4.7389873E-002, 4.6183439E-001, 4.0787183E-002, 4.5461784E-003
 3.7587940E+000, 6.9369269E+002, 6.9118269E+002, 1.9950771E-001, 1.3118488E+001, 1.5825270E+001, 1.0340485E-001, 1.1057590E-002, 3.4923664E-002, 6.7282726E-002, 2.6359259E-001, 9.1345805E-002, 4.7927860E-002, 4.6637809E-001, 4.1753770E-002, 4.6545978E-003
 4.4605528E+000, 6.9928831E+002, 6.9642318E+002, 2.1691429E-001, 1.4065917E+001, 1.7139953E+001, 1.1148754E-001, 1.0780530E-002, 3.5352381E-002, 6.7902274E-002, 2.5774688E-001, 9.2307979E-002, 4.8368779E-002, 4.6988636E-001, 4.2554877E-002, 4.7444726E-003
 5.1623116E+000, 7.1150095E+002, 7.0770167E+002, 2.4866326E-001, 2.1005882E+001, 2.5717479E+001, 1.3039151E-001, 1.0166067E-002, 3.6193278E-002, 6.8987074E-002, 2.4739209E-001, 9.4098432E-002, 4.9140467E-002, 4.7608036E-001, 4.4022528E-002, 4.9096625E-003
 5.8640704E+000, 7.1764946E+002, 7.1352984E+002, 2.7483770E-001, 2.3309306E+001, 2.8397378E+001, 1.3752513E-001, 9.8202385E-003, 3.6622098E-002, 6.9520644E-002, 2.4238301E-001, 9.4996480E-002, 4.9519972E-002, 4.7905368E-001, 4.4756634E-002, 4.9923855E-003
 6.5658291E+000, 7.2977254E+002, 7.2542866E+002, 3.4862229E-001, 2.6027988E+001, 3.1922459E+001, 1.4775311E-001, 9.1112294E-003, 3.7477798E-002, 7.0570741E-002, 2.3256447E-001, 9.6777439E-002, 5.0266815E-002, 4.8486861E-001, 4.6246108E-002, 5.1602356E-003
 7.2675879E+000, 7.3643312E+002, 7.3208504E+002, 3.9537045E-001, 2.9160961E+001, 3.6151133E+001, 1.5339235E-001, 8.7323330E-003, 3.7942820E-002, 7.1096650E-002, 2.2746292E-001, 9.7712679E-002, 5.0640711E-002, 4.8790855E-001, 4.7031204E-002, 5.2489297E-003
 7.9693467E+000, 7.4381253E+002, 7.3946707E+002, 4.4818243E-001, 3.5628328E+001, 4.4323265E+001, 1.5919540E-001, 8.3410650E-003, 3.8437769E-002, 7.1616445E-002, 2.2221211E-001, 9.8679123E-002, 5.1010127E-002, 4.9106053E-001, 4.7844943E-002, 5.3411082E-003
 8.6711055E+000, 7.6006189E+002, 7.5571459E+002, 5.6765489E-001, 5.0722863E+001, 6.3286461E+001, 1.7524769E-001, 7.5384186E-003, 3.9505590E-002, 7.2605364E-002, 2.1146969E-001, 1.0066808E-001, 5.1712471E-002, 4.9758973E-001, 4.9499905E-002, 5.5294143E-003
