s,kg/m2/s,kW/m2,kW/m2,C,C
Time,"MLRPUA","HEAT_FLUX","MLRPUA_ideal","T_SURF_MEAN","T_SURF_MAX"
 0.0000000E+000, 0.0000000E+000, 2.0000000E+001, 1.6540000E-002, 2.5000000E+001, 2.5000000E+001
 2.0139455E+000, 6.3769214E-004, 2.0416840E+001, 1.6884727E-002, 3.7369307E+001, 3.7553600E+001
 4.0001843E+000, 4.1548258E-003, 2.5463612E+001, 2.1058407E-002, 5.4691167E+001, 5.9148334E+001
 6.0008961E+000, 1.3687607E-002, 3.2809274E+001, 2.7133269E-002, 6.2961383E+001, 6.4772001E+001
 8.0016992E+000, 2.2355046E-002, 3.7999956E+001, 3.1425963E-002, 6.4108076E+001, 6.4725340E+001
 1.0001786E+001, 2.5172843E-002, 3.9925167E+001, 3.3018113E-002, 6.4028941E+001, 6.4819636E+001
 1.2001541E+001, 2.6077934E-002, 3.9799778E+001, 3.2914416E-002, 6.3824901E+001, 6.5265246E+001
 1.4000404E+001, 2.7918015E-002, 4.0931261E+001, 3.3850153E-002, 6.3782054E+001, 6.5193618E+001
 1.6001987E+001, 2.8857529E-002, 4.0748130E+001, 3.3698703E-002, 6.3741708E+001, 6.5170332E+001
 1.8000154E+001, 3.0024702E-002, 4.0452232E+001, 3.3453996E-002, 6.3613219E+001, 6.4856081E+001
 2.0000217E+001, 3.1420351E-002, 4.1148032E+001, 3.4029423E-002, 6.3572363E+001, 6.5262427E+001
 2.2000725E+001, 3.1669261E-002, 4.1377501E+001, 3.4219194E-002, 6.3498737E+001, 6.8775348E+001
 2.4001855E+001, 3.1455175E-002, 4.1288903E+001, 3.4145922E-002, 6.3446322E+001, 6.6128034E+001
 2.6000505E+001, 1.6915611E-002, 2.1364587E+001, 1.7668513E-002, 6.1770383E+001, 6.4753202E+001
 2.8002955E+001, 8.2041404E-003, 9.8985353E+000, 8.1860887E-003, 5.9005405E+001, 6.4427783E+001
 3.0002286E+001, 6.9685526E-003, 8.4577803E+000, 6.9945843E-003, 5.7503064E+001, 6.4403728E+001
 3.2000534E+001, 6.2618228E-003, 7.7172230E+000, 6.3821434E-003, 5.6423173E+001, 6.5678629E+001
 3.4001987E+001, 5.7650128E-003, 7.2212241E+000, 5.9719523E-003, 5.5825064E+001, 6.8015521E+001
 3.6001529E+001, 5.1655616E-003, 6.5810828E+000, 5.4425555E-003, 5.5004782E+001, 6.7838342E+001
 3.8003507E+001, 5.0248491E-003, 6.4678200E+000, 5.3488871E-003, 5.4238689E+001, 6.5396864E+001
 4.0003214E+001, 4.9499278E-003, 6.3195165E+000, 5.2262402E-003, 5.3698669E+001, 6.4700781E+001
 4.2001855E+001, 4.8756539E-003, 6.1567062E+000, 5.0915960E-003, 5.3191031E+001, 6.4668651E+001
 4.4000013E+001, 4.6179995E-003, 5.8014437E+000, 4.7977939E-003, 5.2638171E+001, 6.4636901E+001
 4.6000469E+001, 4.5083078E-003, 5.6995182E+000, 4.7135015E-003, 5.2157986E+001, 6.4623863E+001
 4.8003363E+001, 4.4106336E-003, 5.6318639E+000, 4.6575514E-003, 5.1744892E+001, 6.4593352E+001
 5.0000861E+001, 4.3483151E-003, 5.4938030E+000, 4.5433751E-003, 5.1292106E+001, 6.4541938E+001
 5.2002414E+001, 4.1272441E-003, 5.2662226E+000, 4.3551661E-003, 5.0905780E+001, 6.4394476E+001
 5.4001553E+001, 4.0888327E-003, 5.2559452E+000, 4.3466667E-003, 5.0545502E+001, 6.4221825E+001
 5.6003506E+001, 3.9367996E-003, 5.0749456E+000, 4.1969800E-003, 5.0226308E+001, 6.4066959E+001
 5.8000083E+001, 3.8624733E-003, 4.9925560E+000, 4.1288438E-003, 4.9899902E+001, 6.5590075E+001
 6.0002421E+001, 3.7878935E-003, 4.8977604E+000, 4.0504479E-003, 4.9576324E+001, 6.7123746E+001
 6.2003608E+001, 3.7945905E-003, 5.0543543E+000, 4.1799510E-003, 4.9454283E+001, 6.6572695E+001
 6.4003816E+001, 3.8029494E-003, 5.0121858E+000, 4.1450777E-003, 4.9313904E+001, 6.4675334E+001
 6.6001956E+001, 3.8868741E-003, 5.0935582E+000, 4.2123726E-003, 4.9157757E+001, 6.4663842E+001
 6.8003085E+001, 3.8825150E-003, 5.1244681E+000, 4.2379351E-003, 4.9078643E+001, 6.4650891E+001
 7.0002355E+001, 3.8356602E-003, 5.0614776E+000, 4.1858420E-003, 4.8960338E+001, 6.4938081E+001
 7.2000496E+001, 3.7483350E-003, 4.9287172E+000, 4.0760491E-003, 4.8805185E+001, 6.4525505E+001
 7.4002769E+001, 3.7798984E-003, 4.9299527E+000, 4.0770709E-003, 4.8610757E+001, 6.4440015E+001
 7.6004261E+001, 3.6093853E-003, 4.7036218E+000, 3.8898952E-003, 4.8445366E+001, 6.4209258E+001
 7.8001129E+001, 3.6336965E-003, 4.7754927E+000, 3.9493325E-003, 4.8265597E+001, 6.3981860E+001
 8.0002333E+001, 3.5506467E-003, 4.6287254E+000, 3.8279559E-003, 4.8093194E+001, 6.5665496E+001
 8.2003960E+001, 3.4909598E-003, 4.5335929E+000, 3.7492814E-003, 4.7885608E+001, 6.6063664E+001
 8.4003908E+001, 3.4453286E-003, 4.4949275E+000, 3.7173050E-003, 4.7771004E+001, 6.6177364E+001
 8.6002227E+001, 3.4119293E-003, 4.4402878E+000, 3.6721180E-003, 4.7643638E+001, 6.4671718E+001
 8.8001897E+001, 3.5272241E-003, 4.5987518E+000, 3.8031678E-003, 4.7552821E+001, 6.4647542E+001
 9.0003860E+001, 3.4931030E-003, 4.6211929E+000, 3.8217265E-003, 4.7495491E+001, 6.4626600E+001
 9.2002211E+001, 3.4641385E-003, 4.5333421E+000, 3.7490739E-003, 4.7444629E+001, 6.4669817E+001
 9.4001806E+001, 3.5045082E-003, 4.6073092E+000, 3.8102447E-003, 4.7389167E+001, 6.4574781E+001
 9.6000965E+001, 3.4744664E-003, 4.5881718E+000, 3.7944181E-003, 4.7312525E+001, 6.4817193E+001
 9.8000461E+001, 3.4803018E-003, 4.5667798E+000, 3.7767269E-003, 4.7231262E+001, 6.4310337E+001
 1.0000058E+002, 3.4534178E-003, 4.5666702E+000, 3.7766362E-003, 4.7133353E+001, 6.5760593E+001
 1.0200352E+002, 3.4043926E-003, 4.5363968E+000, 3.7516001E-003, 4.7078235E+001, 6.5740869E+001
 1.0400087E+002, 3.4833770E-003, 4.6279479E+000, 3.8273129E-003, 4.7036963E+001, 6.5593385E+001
 1.0600192E+002, 3.5347586E-003, 4.6921659E+000, 3.8804212E-003, 4.6988336E+001, 6.5796389E+001
 1.0800191E+002, 3.3861979E-003, 4.4529414E+000, 3.6825825E-003, 4.6980437E+001, 6.4973727E+001
 1.1000227E+002, 3.3824752E-003, 4.4277700E+000, 3.6617658E-003, 4.6884939E+001, 6.4635986E+001
 1.1200249E+002, 3.2918931E-003, 4.2844513E+000, 3.5432412E-003, 4.6776578E+001, 6.4962744E+001
 1.1400372E+002, 3.2597529E-003, 4.2663386E+000, 3.5282620E-003, 4.6668913E+001, 6.4595124E+001
 1.1600337E+002, 3.2291991E-003, 4.1832439E+000, 3.4595427E-003, 4.6530148E+001, 6.4526243E+001
 1.1800219E+002, 3.2340567E-003, 4.2227101E+000, 3.4921813E-003, 4.6435062E+001, 6.4407052E+001
 1.2000000E+002, 3.2287420E-003, 4.2125138E+000, 3.4837489E-003, 4.6325967E+001, 6.4741395E+001
