s,m/s
Time,w
 0.0000000E+000, 0.0000000E+000
 7.2876759E-003, 2.4918270E-006
 1.4575352E-002, 3.5951930E-005
 2.1863028E-002, 2.7699029E-004
 2.9150703E-002, 1.0824027E-003
 3.6438379E-002, 2.5466904E-003
 4.3726055E-002, 4.3812031E-003
 5.1013731E-002, 6.3835468E-003
 5.8301407E-002, 8.3928774E-003
 6.5589083E-002, 1.0357099E-002
 7.2876759E-002, 1.2242510E-002
 8.0164434E-002, 1.4033727E-002
 8.7452110E-002, 1.5725289E-002
 9.4739786E-002, 1.7239025E-002
 1.0202746E-001, 1.8607407E-002
 1.0931514E-001, 1.9799970E-002
 1.1660281E-001, 2.1025255E-002
 1.2389049E-001, 2.2748321E-002
 1.3117817E-001, 2.5099988E-002
 1.3846584E-001, 2.7188311E-002
 1.4575352E-001, 2.7792123E-002
 1.5304119E-001, 2.6229962E-002
 1.6032887E-001, 2.2652990E-002
 1.6761654E-001, 1.7703101E-002
 1.7490422E-001, 1.2328071E-002
 1.8219190E-001, 7.3203864E-003
 1.8947957E-001, 3.7264213E-003
 1.9676725E-001, 2.3677333E-003
 2.0405492E-001, 2.8560072E-003
 2.1134260E-001, 4.1471988E-003
 2.1863028E-001, 5.0878534E-003
 2.2591795E-001, 2.9249146E-003
 2.3320563E-001,-2.2676139E-003
 2.4049330E-001,-6.3197894E-003
 2.4778098E-001,-6.5026696E-003
 2.5506866E-001,-3.4479667E-003
 2.6235633E-001, 8.3798006E-004
 2.6964401E-001, 4.7928299E-003
 2.7693168E-001, 7.8218582E-003
 2.8421936E-001, 1.0099502E-002
 2.9150703E-001, 1.1782342E-002
 2.9879471E-001, 1.3142608E-002
 3.0608239E-001, 1.4415162E-002
 3.1337006E-001, 1.5740066E-002
 3.2065774E-001, 1.7173760E-002
 3.2794541E-001, 1.8680197E-002
 3.3523309E-001, 2.0094138E-002
 3.4252077E-001, 2.1112951E-002
 3.4980844E-001, 2.1457145E-002
 3.5709612E-001, 2.1258787E-002
 3.6438379E-001, 2.1101316E-002
 3.7167147E-001, 2.1489310E-002
 3.7895914E-001, 2.2741890E-002
 3.8526017E-001, 2.4779121E-002
 3.9156119E-001, 2.7479725E-002
 3.9712226E-001, 3.0034074E-002
 4.0268334E-001, 3.2382324E-002
 4.0824442E-001, 3.4062604E-002
 4.1307470E-001, 3.4759302E-002
 4.1790499E-001, 3.5806122E-002
 4.2273527E-001, 3.7276150E-002
 4.2702736E-001, 3.8422697E-002
 4.3131945E-001, 3.9640598E-002
 4.3561154E-001, 4.1084868E-002
 4.3990363E-001, 4.2510689E-002
 4.4419572E-001, 4.3818752E-002
 4.4791630E-001, 4.5028629E-002
 4.5163689E-001, 4.6754165E-002
 4.5535747E-001, 4.8742425E-002
 4.5907805E-001, 5.0329580E-002
 4.6279864E-001, 5.1345695E-002
 4.6651922E-001, 5.2206684E-002
 4.7023981E-001, 5.3242072E-002
 4.7396039E-001, 5.4471607E-002
 4.7768097E-001, 5.5804141E-002
 4.8097415E-001, 5.7170738E-002
 4.8426733E-001, 5.9094431E-002
 4.8756050E-001, 6.1274107E-002
 4.9085368E-001, 6.2989397E-002
 4.9414686E-001, 6.4154802E-002
 4.9744004E-001, 6.5093958E-002
 5.0073321E-001, 6.6132861E-002
 5.0402639E-001, 6.7465284E-002
 5.0731957E-001, 6.9083399E-002
 5.1061274E-001, 7.0812278E-002
 5.1390592E-001, 7.2573322E-002
 5.1719910E-001, 7.4400289E-002
 5.2049228E-001, 7.6340751E-002
 5.2341309E-001, 7.8226278E-002
 5.2633391E-001, 8.0597942E-002
 5.2925472E-001, 8.3138766E-002
 5.3217554E-001, 8.5112071E-002
 5.3509635E-001, 8.6419191E-002
 5.3801717E-001, 8.7594408E-002
 5.4093798E-001, 8.9100509E-002
 5.4385880E-001, 9.0917876E-002
 5.4677961E-001, 9.2869078E-002
 5.4970043E-001, 9.4865038E-002
 5.5262124E-001, 9.6871336E-002
 5.5554206E-001, 9.8847514E-002
 5.5846287E-001, 1.0075214E-001
 5.6138369E-001, 1.0257590E-001
 5.6430450E-001, 1.0434430E-001
 5.6671458E-001, 1.0586058E-001
 5.6912465E-001, 1.0820543E-001
 5.7153473E-001, 1.1085045E-001
 5.7394480E-001, 1.1249955E-001
 5.7635488E-001, 1.1299788E-001
 5.7843141E-001, 1.1312019E-001
 5.8050794E-001, 1.1414444E-001
 5.8258447E-001, 1.1573058E-001
 5.8466100E-001, 1.1683160E-001
 5.8673753E-001, 1.1714739E-001
 5.8881406E-001, 1.1708645E-001
 5.9089058E-001, 1.1707128E-001
 5.9296711E-001, 1.1725694E-001
 5.9504364E-001, 1.1761818E-001
 5.9712017E-001, 1.1804043E-001
 5.9919670E-001, 1.1838238E-001
 6.0127323E-001, 1.1851959E-001
 6.0334976E-001, 1.1845183E-001
 6.0542629E-001, 1.1819624E-001
 6.0750282E-001, 1.1774491E-001
 6.0957935E-001, 1.1717080E-001
 6.1165588E-001, 1.1647983E-001
 6.1373241E-001, 1.1561790E-001
 6.1580894E-001, 1.1459676E-001
 6.1788546E-001, 1.1346331E-001
 6.1996199E-001, 1.1211900E-001
 6.2203852E-001, 1.1042050E-001
 6.2376383E-001, 1.0888896E-001
 6.2548915E-001, 1.0794364E-001
 6.2738699E-001, 1.0682917E-001
 6.2928483E-001, 1.0417558E-001
 6.3118267E-001, 1.0021785E-001
 6.3308052E-001, 9.6286294E-002
 6.3497836E-001, 9.2956081E-002
 6.3687620E-001, 8.9928913E-002
 6.3877404E-001, 8.6819590E-002
 6.4067189E-001, 8.3540297E-002
 6.4256973E-001, 8.0193015E-002
 6.4446757E-001, 7.6876433E-002
 6.4636542E-001, 7.3781528E-002
 6.4826326E-001, 7.0978438E-002
 6.5016110E-001, 6.8581053E-002
 6.5205894E-001, 6.6726180E-002
 6.5395679E-001, 6.5304197E-002
 6.5562998E-001, 6.4298139E-002
 6.5730318E-001, 6.3810056E-002
 6.5897638E-001, 6.3309709E-002
 6.6064958E-001, 6.2200737E-002
 6.6232278E-001, 6.0748560E-002
 6.6399597E-001, 5.9639009E-002
 6.6566917E-001, 5.9134659E-002
 6.6734237E-001, 5.9202290E-002
 6.6901557E-001, 5.9563327E-002
 6.7068876E-001, 6.0175994E-002
 6.7236196E-001, 6.0952897E-002
 6.7403516E-001, 6.1882360E-002
 6.7570836E-001, 6.2927436E-002
 6.7738156E-001, 6.4256138E-002
 6.7905475E-001, 6.5898166E-002
 6.8072795E-001, 6.7669754E-002
 6.8240115E-001, 6.9422344E-002
 6.8407435E-001, 7.1041838E-002
 6.8574755E-001, 7.2703608E-002
 6.8742074E-001, 7.4674746E-002
 6.8909394E-001, 7.6713507E-002
 6.9076714E-001, 7.9160809E-002
 6.9244034E-001, 8.2118065E-002
 6.9411353E-001, 8.6019536E-002
 6.9578673E-001, 9.1112177E-002
 6.9745993E-001, 9.7725165E-002
 6.9913313E-001, 1.0605924E-001
 7.0080633E-001, 1.1624413E-001
 7.0247952E-001, 1.2741820E-001
 7.0415272E-001, 1.4021495E-001
 7.0582592E-001, 1.5495943E-001
 7.0749912E-001, 1.7144548E-001
 7.0917232E-001, 1.9081690E-001
 7.1084551E-001, 2.1382628E-001
 7.1251871E-001, 2.4143375E-001
 7.1419191E-001, 2.7334895E-001
 7.1586511E-001, 3.0877516E-001
 7.1753830E-001, 3.4592809E-001
 7.1921150E-001, 3.8306782E-001
 7.2088470E-001, 4.1755349E-001
 7.2255790E-001, 4.4718624E-001
 7.2423110E-001, 4.7068141E-001
 7.2590429E-001, 4.8757202E-001
 7.2757749E-001, 4.9835486E-001
 7.2925069E-001, 5.0408486E-001
 7.3092389E-001, 5.0636818E-001
 7.3259708E-001, 5.0653922E-001
 7.3427028E-001, 5.0533305E-001
 7.3594348E-001, 5.0308246E-001
 7.3743104E-001, 5.0010966E-001
 7.3891861E-001, 4.9722787E-001
 7.4040617E-001, 4.9361459E-001
 7.4189373E-001, 4.8812571E-001
 7.4338130E-001, 4.8015478E-001
 7.4486886E-001, 4.6969506E-001
 7.4635642E-001, 4.5718385E-001
 7.4784399E-001, 4.4333226E-001
 7.4933155E-001, 4.2886078E-001
 7.5081911E-001, 4.1424136E-001
 7.5230667E-001, 3.9981404E-001
 7.5379424E-001, 3.8578942E-001
 7.5528180E-001, 3.7219854E-001
 7.5676936E-001, 3.5905036E-001
 7.5825693E-001, 3.4609223E-001
 7.5974449E-001, 3.3306129E-001
 7.6123205E-001, 3.1965504E-001
 7.6271962E-001, 3.0596381E-001
 7.6420718E-001, 2.9174948E-001
 7.6569474E-001, 2.7685615E-001
 7.6718230E-001, 2.6168676E-001
 7.6866987E-001, 2.4608062E-001
 7.7015743E-001, 2.2990308E-001
 7.7164499E-001, 2.1314260E-001
 7.7313256E-001, 1.9585867E-001
 7.7462012E-001, 1.7855562E-001
 7.7610768E-001, 1.6172326E-001
 7.7759525E-001, 1.4551031E-001
 7.7908281E-001, 1.2987177E-001
 7.8057037E-001, 1.1499718E-001
 7.8205794E-001, 1.0161861E-001
 7.8354550E-001, 8.9990680E-002
 7.8503306E-001, 8.0081838E-002
 7.8652062E-001, 7.1883029E-002
 7.8800819E-001, 6.5786083E-002
 7.8949575E-001, 6.1754333E-002
 7.9098331E-001, 6.0040680E-002
 7.9231692E-001, 6.0537595E-002
 7.9365053E-001, 6.2806659E-002
 7.9498415E-001, 6.6185755E-002
 7.9631776E-001, 7.0486039E-002
 7.9765137E-001, 7.6223639E-002
 7.9898498E-001, 8.3578782E-002
 8.0031859E-001, 9.2692346E-002
 8.0165220E-001, 1.0325552E-001
 8.0298581E-001, 1.1486229E-001
 8.0431942E-001, 1.2674064E-001
 8.0565303E-001, 1.3860952E-001
 8.0698664E-001, 1.5080853E-001
 8.0832025E-001, 1.6369990E-001
 8.0965386E-001, 1.7644039E-001
 8.1079670E-001, 1.8683364E-001
 8.1193953E-001, 1.9732689E-001
 8.1308237E-001, 2.0678648E-001
 8.1422520E-001, 2.1493440E-001
 8.1536804E-001, 2.2206841E-001
 8.1651087E-001, 2.2841657E-001
 8.1765371E-001, 2.3361877E-001
 8.1879654E-001, 2.3737708E-001
 8.1993938E-001, 2.3996437E-001
 8.2108221E-001, 2.4142351E-001
 8.2222505E-001, 2.4151089E-001
 8.2336788E-001, 2.4027899E-001
 8.2451072E-001, 2.3795368E-001
 8.2565355E-001, 2.3426608E-001
 8.2679639E-001, 2.2953862E-001
 8.2793922E-001, 2.2437403E-001
 8.2908206E-001, 2.1938224E-001
 8.3022489E-001, 2.1365966E-001
 8.3136773E-001, 2.0745316E-001
 8.3251056E-001, 2.0163254E-001
 8.3365340E-001, 1.9692497E-001
 8.3479623E-001, 1.9425055E-001
 8.3593907E-001, 1.9190718E-001
 8.3708190E-001, 1.9010495E-001
 8.3822474E-001, 1.9103231E-001
 8.3936757E-001, 1.9438512E-001
 8.4051041E-001, 1.9850091E-001
 8.4165324E-001, 2.0317597E-001
 8.4279608E-001, 2.1008536E-001
 8.4393891E-001, 2.1862993E-001
 8.4496346E-001, 2.2754569E-001
 8.4598801E-001, 2.3739149E-001
 8.4701256E-001, 2.4677129E-001
 8.4803711E-001, 2.5606680E-001
 8.4906167E-001, 2.6542805E-001
 8.5008622E-001, 2.7347672E-001
 8.5111077E-001, 2.8020637E-001
 8.5213532E-001, 2.8603672E-001
 8.5315987E-001, 2.8924536E-001
 8.5418442E-001, 2.8958197E-001
 8.5520897E-001, 2.8752034E-001
 8.5623352E-001, 2.8295848E-001
 8.5725807E-001, 2.7644877E-001
 8.5828263E-001, 2.6816620E-001
 8.5930718E-001, 2.5809152E-001
 8.6033173E-001, 2.4725901E-001
 8.6135628E-001, 2.3516459E-001
 8.6238083E-001, 2.2277640E-001
 8.6340538E-001, 2.1120580E-001
 8.6442993E-001, 2.0085796E-001
 8.6545448E-001, 1.9172636E-001
 8.6647904E-001, 1.8462206E-001
 8.6750359E-001, 1.7943396E-001
 8.6852814E-001, 1.7713130E-001
 8.6955269E-001, 1.7720763E-001
 8.7057724E-001, 1.7912757E-001
 8.7160179E-001, 1.8410132E-001
 8.7262634E-001, 1.9117378E-001
 8.7365089E-001, 2.0058824E-001
 8.7467544E-001, 2.1286071E-001
 8.7570000E-001, 2.2871229E-001
 8.7672455E-001, 2.4889094E-001
 8.7774910E-001, 2.7315798E-001
 8.7877365E-001, 3.0334349E-001
 8.7979820E-001, 3.4000636E-001
 8.8082275E-001, 3.8340665E-001
 8.8184730E-001, 4.3412442E-001
 8.8287185E-001, 4.8516589E-001
 8.8389640E-001, 5.2352534E-001
 8.8492096E-001, 5.4530155E-001
 8.8594551E-001, 5.5554486E-001
 8.8697006E-001, 5.5343303E-001
 8.8799461E-001, 5.4875245E-001
 8.8901916E-001, 5.6379739E-001
 8.9004371E-001, 6.1068736E-001
