cm,K,K,m/s,K,K,m/s,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,kg/kg,kg/kg
z,TC_CL,TG_CL,w_CL,TC_CL_RMS,TG_CL_RMS,w_CL_RMS,X_O2,X_CO2,X_CO,X_FUEL,X_H2O,X_H2,X_N2,Y_CO,Y_Soot
 1.0000000E+000, 8.3614195E+002, 8.3481237E+002, 1.3738516E-002, 3.8302237E+001, 4.4551820E+001, 5.4897124E-004, 4.6901132E-003, 4.2258789E-002, 8.1478268E-002, 1.7776990E-001, 1.3375798E-001, 5.0868099E-002, 4.8549884E-001, 7.3696273E-002, 8.3422814E-003
 3.0000000E+000, 8.8489325E+002, 8.8463055E+002, 2.9978024E-001, 4.2018964E+001, 4.9902085E+001, 7.4130763E-002, 5.2550951E-003, 4.3782739E-002, 8.4023262E-002, 1.4863555E-001, 1.3815828E-001, 5.2456708E-002, 5.0326572E-001, 7.8388014E-002, 8.8752882E-003
 5.0000000E+000, 9.2710538E+002, 9.2871358E+002, 6.6433997E-001, 4.8042511E+001, 5.8595422E+001, 1.1084630E-001, 6.2443776E-003, 4.5660237E-002, 8.5404202E-002, 1.2208994E-001, 1.4166129E-001, 5.3317313E-002, 5.2076991E-001, 8.1923144E-002, 9.2865026E-003
 7.0000000E+000, 9.5792576E+002, 9.6144160E+002, 1.0204842E+000, 5.3373402E+001, 6.6825408E+001, 1.5746000E-001, 7.6747970E-003, 4.7563294E-002, 8.5306215E-002, 1.0231482E-001, 1.4357814E-001, 5.3253553E-002, 5.3543651E-001, 8.3451403E-002, 9.4784641E-003
 9.0000000E+000, 9.8265343E+002, 9.8801385E+002, 1.3641866E+000, 5.9123383E+001, 7.5907166E+001, 2.0400657E-001, 9.4774630E-003, 4.9534104E-002, 8.4097428E-002, 8.7083886E-002, 1.4435539E-001, 5.2495451E-002, 5.4837052E-001, 8.3416534E-002, 9.5000586E-003
 1.1000000E+001, 1.0042054E+003, 1.0114080E+003, 1.6842927E+000, 6.3964759E+001, 8.3915548E+001, 2.5206904E-001, 1.1715527E-002, 5.1549381E-002, 8.2042751E-002, 7.4637752E-002, 1.4426041E-001, 5.1208609E-002, 5.6052058E-001, 8.2211172E-002, 9.3940615E-003
 1.3000000E+001, 1.0232715E+003, 1.0323099E+003, 1.9846750E+000, 6.7716844E+001, 9.0074307E+001, 2.9850863E-001, 1.4451702E-002, 5.3492517E-002, 7.9359812E-002, 6.4172595E-002, 1.4341086E-001, 4.9529198E-002, 5.7221540E-001, 8.0130084E-002, 9.1915007E-003
 1.5000000E+001, 1.0399530E+003, 1.0507168E+003, 2.2568048E+000, 6.9708776E+001, 9.4122921E+001, 3.4448040E-001, 1.7656871E-002, 5.5319445E-002, 7.6188580E-002, 5.5283488E-002, 1.4191344E-001, 4.7544759E-002, 5.8356109E-001, 7.7365181E-002, 8.9128430E-003
 1.7000000E+001, 1.0549566E+003, 1.0673009E+003, 2.5064969E+000, 7.1341408E+001, 9.7875415E+001, 3.8734513E-001, 2.1247751E-002, 5.7079972E-002, 7.2598683E-002, 4.7587719E-002, 1.3989506E-001, 4.5298742E-002, 5.9471329E-001, 7.4035700E-002, 8.5716150E-003
