cm,K,K,m/s,K,K,m/s,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,kg/kg,kg/kg,cm,kW/m2,cm,kW/m2
z,TC_CL,TG_CL,w_CL,TC_CL_RMS,TG_CL_RMS,w_CL_RMS,X_O2,X_CO2,X_CO,X_FUEL,X_H2O,X_H2,X_N2,Y_CO,Y_Soot,z_rad,HF_vert,r_rad,HF_hori
 2.5000000E-001, 4.7055537E+002, 4.3973552E+002, 7.8038618E-002, 8.9463564E+001, 1.1459084E+002, 7.9832923E-002, 2.0776403E-003, 1.3448721E-002, 1.8640491E-002, 7.8666148E-001, 3.5548186E-002, 1.4713570E-002, 1.2792900E-001, 1.3080291E-002, 2.9514846E-004, 0.0000000E+000, 1.4829172E-001, 1.8275667E+001, 5.3884311E+000
 7.5000000E-001, 5.7142885E+002, 5.3921239E+002, 1.2868015E-001, 1.0407483E+002, 1.5686266E+002, 1.1122684E-001, 4.2870016E-003, 2.3211350E-002, 3.1312820E-002, 6.3275607E-001, 6.0677986E-002, 2.4716147E-002, 2.2139088E-001, 2.3381911E-002, 5.2759468E-004, 3.8888889E+000, 1.3445504E-001, 2.2506950E+001, 3.6178211E+000
 1.2500000E+000, 6.9373863E+002, 6.5519250E+002, 2.1179638E-001, 1.5751630E+002, 2.4769914E+002, 1.5849938E-001, 6.4222837E-003, 3.1969757E-002, 4.0952055E-002, 5.0262959E-001, 8.1839264E-002, 3.2324370E-002, 3.0170773E-001, 3.2739415E-002, 7.3873128E-004, 7.7777778E+000, 1.2330169E-001, 2.6739865E+001, 2.6172377E+000
 1.7500000E+000, 8.0924074E+002, 7.7317513E+002, 3.0309402E-001, 1.9265454E+002, 3.1889545E+002, 1.9738206E-001, 9.8944907E-003, 3.9120823E-002, 4.6121629E-002, 4.0167480E-001, 9.6985367E-002, 3.6404226E-002, 3.6737172E-001, 3.8750631E-002, 8.7435184E-004, 1.1666667E+001, 1.4872869E-001, 3.0973743E+001, 1.8990012E+000
 2.2500000E+000, 9.0677886E+002, 8.7702799E+002, 3.8730948E-001, 2.1578674E+002, 3.7151888E+002, 2.1867181E-001, 1.4555260E-002, 4.4838736E-002, 4.7778019E-002, 3.2437782E-001, 1.0714656E-001, 3.7710794E-002, 4.2107877E-001, 4.1559273E-002, 9.3770188E-004, 1.5555556E+001, 2.1015928E-001, 3.5208237E+001, 1.4726770E+000
 2.7500000E+000, 9.7850114E+002, 9.5952944E+002, 4.6598275E-001, 2.1393182E+002, 3.8855761E+002, 2.2742289E-001, 1.9201035E-002, 4.9494829E-002, 4.7855106E-002, 2.6375216E-001, 1.1441774E-001, 3.7770749E-002, 4.6499033E-001, 4.2680165E-002, 9.6296849E-004, 1.9444444E+001, 2.2419761E-001, 3.9443149E+001, 1.1669723E+000
 3.2500000E+000, 1.0433950E+003, 1.0346853E+003, 5.4283134E-001, 2.0519118E+002, 3.9748328E+002, 2.3215716E-001, 2.3223449E-002, 5.3529968E-002, 4.7225155E-002, 2.1472648E-001, 1.2016057E-001, 3.7272637E-002, 5.0137690E-001, 4.3086871E-002, 9.7212053E-004, 2.3333333E+001, 1.9409685E-001, 4.3678356E+001, 8.9340803E-001
 3.7500000E+000, 1.0898870E+003, 1.0916595E+003, 6.1834464E-001, 1.9503426E+002, 3.9462312E+002, 2.3829225E-001, 2.7468223E-002, 5.6694286E-002, 4.5778191E-002, 1.7585200E-001, 1.2392113E-001, 3.6129683E-002, 5.3174784E-001, 4.2530143E-002, 9.5953476E-004, 2.7222222E+001, 1.6506381E-001, 4.7913781E+001, 7.4086726E-001
 4.2500000E+000, 1.1242076E+003, 1.1331315E+003, 6.9197983E-001, 1.8905437E+002, 3.9383342E+002, 2.5005749E-001, 3.1530472E-002, 5.8976171E-002, 4.4079154E-002, 1.4632347E-001, 1.2612675E-001, 3.4787896E-002, 5.5585689E-001, 4.1557206E-002, 9.3756133E-004, 3.1111111E+001, 1.4936767E-001, 5.2149371E+001, 6.1185913E-001
