cm,K,K,cm,K,K,K,K,K,K,K,K,K,K
z,T_CL,T_CL_RMS,r,T_20,T_20_RMS,T_60,T_60_RMS,T_100,T_100_RMS,T_140,T_140_RMS,T_180,T_180_RMS
 5.0000000E-001, 4.5463482E+002, 5.3461933E+001,-9.5000000E+000, 9.9381659E+002, 2.7198286E+002, 8.8740499E+002, 3.3552044E+002, 7.4628732E+002, 3.1411871E+002, 6.0462118E+002, 2.3443825E+002, 4.9905259E+002, 1.5230330E+002
 4.4622642E+000, 5.7515257E+002, 1.1507897E+002,-5.2857143E+000, 1.0281409E+003, 2.1627521E+002, 1.0364468E+003, 3.0419742E+002, 8.5225696E+002, 3.3220655E+002, 6.5221735E+002, 2.5542098E+002, 5.1748496E+002, 1.6031584E+002
 8.4245283E+000, 6.9049826E+002, 1.6317605E+002,-1.0714286E+000, 9.6153918E+002, 2.0785254E+002, 1.1057974E+003, 2.7096880E+002, 9.0631904E+002, 3.3186468E+002, 6.7876735E+002, 2.7029049E+002, 5.2776170E+002, 1.6410161E+002
 1.2386792E+001, 7.9578411E+002, 1.9737095E+002, 3.1428571E+000, 9.3907061E+002, 2.0237763E+002, 1.0899760E+003, 2.6410061E+002, 9.0372667E+002, 3.3379315E+002, 6.7794810E+002, 2.7377241E+002, 5.2894168E+002, 1.6731030E+002
 1.6349057E+001, 8.7648412E+002, 2.0620874E+002, 7.3571429E+000, 1.0248327E+003, 2.2856807E+002, 1.0223630E+003, 3.1684197E+002, 8.4527984E+002, 3.3998604E+002, 6.4990428E+002, 2.6358510E+002, 5.2128016E+002, 1.6365067E+002
 2.0311321E+001, 9.3907061E+002, 2.0237763E+002, 1.1571429E+001, 1.0176637E+003, 2.6207941E+002, 8.8827836E+002, 3.4359661E+002, 7.4507055E+002, 3.2394133E+002, 6.0298808E+002, 2.4658398E+002, 5.0477744E+002, 1.5858874E+002
 2.4273585E+001, 9.8915433E+002, 1.9772362E+002, 1.5785714E+001, 8.3121202E+002, 3.1008530E+002, 7.1513314E+002, 3.2081821E+002, 6.3642731E+002, 2.9355495E+002, 5.5138642E+002, 2.1825228E+002, 4.8372223E+002, 1.4947205E+002
 2.8235849E+001, 1.0299582E+003, 1.9579418E+002, 2.0000000E+001, 4.7458194E+002, 1.6800566E+002, 4.6252186E+002, 1.7922364E+002, 4.6897106E+002, 1.9002751E+002, 4.5549728E+002, 1.5730593E+002, 4.3160501E+002, 1.1855963E+002
 3.2198113E+001, 1.0622284E+003, 1.9489798E+002, 2.4214286E+001, 4.0351151E+002, 1.1915802E+002, 4.0168200E+002, 1.2773805E+002, 4.1556892E+002, 1.4390785E+002, 4.1600346E+002, 1.2965746E+002, 4.0716964E+002, 1.0352719E+002
 3.6160377E+001, 1.0859859E+003, 1.9639761E+002, 2.8428571E+001, 3.6688228E+002, 8.9371543E+001, 3.5976677E+002, 8.6789782E+001, 3.7544337E+002, 1.0865249E+002, 3.8416633E+002, 1.0658335E+002, 3.8549420E+002, 9.0767734E+001
 4.0122642E+001, 1.1022522E+003, 2.0112870E+002, 3.2642857E+001, 3.4062269E+002, 6.7181331E+001, 3.3106740E+002, 5.1893672E+001, 3.4732469E+002, 8.3220711E+001, 3.5943815E+002, 8.6335651E+001, 3.6360552E+002, 7.5939235E+001
 4.4084906E+001, 1.1107497E+003, 2.0832253E+002, 3.6857143E+001, 3.2375274E+002, 4.4818112E+001, 3.1236092E+002, 2.6223811E+001, 3.2649322E+002, 6.2524186E+001, 3.3842201E+002, 6.4395912E+001, 3.4583708E+002, 6.3017567E+001
 4.8047170E+001, 1.1128584E+003, 2.1871510E+002, 4.1071429E+001, 3.0995133E+002, 2.4671878E+001, 3.0466360E+002, 1.5567233E+001, 3.1343347E+002, 4.6589270E+001, 3.2235087E+002, 4.6023797E+001, 3.3349079E+002, 5.5141985E+001
 5.2009434E+001, 1.1095331E+003, 2.3268691E+002, 4.5285714E+001, 3.0332212E+002, 1.0691553E+001, 3.0205389E+002, 9.2222757E+000, 3.0667684E+002, 3.3953344E+001, 3.1133476E+002, 3.2758083E+001, 3.2314944E+002, 4.7526088E+001
 5.5971698E+001, 1.1095331E+003, 2.3268691E+002, 4.9500000E+001, 3.0073025E+002, 1.2167021E+000, 3.0066511E+002, 1.8713499E+000, 3.0229429E+002, 1.8658354E+001, 3.0494167E+002, 2.2677846E+001, 3.1424525E+002, 3.5737581E+001
 5.9933962E+001, 1.1014441E+003, 2.4842376E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 6.3896226E+001, 1.0899760E+003, 2.6410061E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 6.7858491E+001, 1.0760778E+003, 2.7903672E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 7.1820755E+001, 1.0607147E+003, 2.9296941E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 7.5783019E+001, 1.0426198E+003, 3.0542981E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 7.9745283E+001, 1.0217893E+003, 3.1528813E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 8.3707547E+001, 9.9919250E+002, 3.2328532E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 8.7669811E+001, 9.7616553E+002, 3.3015472E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 9.1632075E+001, 9.5274096E+002, 3.3397504E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 9.5594340E+001, 9.2858580E+002, 3.3475064E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 9.9556604E+001, 9.0372667E+002, 3.3379315E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.0351887E+002, 8.7891305E+002, 3.3104518E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.0748113E+002, 8.5330897E+002, 3.2692770E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.1144340E+002, 8.2748308E+002, 3.2184349E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.1540566E+002, 8.0250828E+002, 3.1687399E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.1936792E+002, 7.7785509E+002, 3.1117038E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.2333019E+002, 7.5469673E+002, 3.0474257E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.2729245E+002, 7.3341534E+002, 2.9837069E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.3125472E+002, 7.1364817E+002, 2.9107315E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.3521698E+002, 6.9509233E+002, 2.8278320E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.3917925E+002, 6.7794810E+002, 2.7377241E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
