s,m/s
Time,w
 0.0000000E+000,-5.1472956E-003
 2.5245250E-002,-5.1269970E-003
 5.0490499E-002,-5.0483541E-003
 7.5735749E-002,-4.5018865E-003
 1.0098100E-001,-5.4968588E-004
 1.2622625E-001, 4.0315090E-003
 1.5147150E-001, 8.9265073E-003
 1.7671675E-001, 1.4350542E-002
 2.0196200E-001, 2.0102229E-002
 2.2720725E-001, 2.6562743E-002
 2.5245250E-001, 3.3518832E-002
 2.7769775E-001, 3.8482558E-002
 3.0294300E-001, 3.7990392E-002
 3.2818825E-001, 3.5755285E-002
 3.5343350E-001, 3.3919073E-002
 3.7867875E-001, 3.3378325E-002
 4.0392400E-001, 3.5386016E-002
 4.2916925E-001, 3.8862133E-002
 4.5441449E-001, 4.4256566E-002
 4.7965974E-001, 5.1804922E-002
 5.0236373E-001, 6.0209142E-002
 5.2506772E-001, 6.9268822E-002
 5.4531546E-001, 7.8129355E-002
 5.6556321E-001, 9.0320212E-002
 5.8201395E-001, 1.0007955E-001
 5.9846470E-001, 1.1057119E-001
 6.1162040E-001, 1.1754513E-001
 6.2477611E-001, 1.2259580E-001
 6.3793181E-001, 1.1856717E-001
 6.4967960E-001, 1.1331680E-001
 6.6142738E-001, 1.0416233E-001
 6.7104331E-001, 9.0820625E-002
 6.8065924E-001, 7.1281675E-002
 6.9027516E-001, 4.6290929E-002
 6.9879190E-001, 2.3831499E-002
 7.0730863E-001, 2.3749592E-003
 7.1582537E-001,-1.8399872E-002
 7.2434210E-001,-3.7392566E-002
 7.3285884E-001,-5.3394600E-002
 7.4040728E-001,-6.6494140E-002
 7.4795572E-001,-7.7236389E-002
 7.5550416E-001,-8.7097433E-002
 7.6305260E-001,-9.6670331E-002
 7.7060105E-001,-1.0700195E-001
 7.7814949E-001,-1.1397441E-001
 7.8569793E-001,-1.1925557E-001
 7.9324637E-001,-1.2126445E-001
 8.0079481E-001,-1.2066540E-001
 8.0834326E-001,-1.1964501E-001
 8.1589170E-001,-1.1894130E-001
 8.2344014E-001,-1.1651964E-001
 8.3005372E-001,-1.0870905E-001
 8.3666731E-001,-9.0177074E-002
 8.4328089E-001,-6.0647392E-002
 8.4989448E-001,-2.0958116E-002
 8.5650806E-001, 2.3949415E-002
 8.6226874E-001, 6.1417599E-002
 8.6802943E-001, 9.5352921E-002
 8.7379011E-001, 1.2496420E-001
 8.7955079E-001, 1.5365493E-001
 8.8531147E-001, 1.8585204E-001
 8.9107215E-001, 2.2254828E-001
 8.9683284E-001, 2.6907849E-001
 9.0259352E-001, 3.3448687E-001
 9.0835420E-001, 4.2865259E-001
 9.1411488E-001, 5.5555579E-001
 9.1987556E-001, 7.0838491E-001
 9.2563625E-001, 8.7241604E-001
 9.3139693E-001, 1.0348046E+000
 9.3715761E-001, 1.1780323E+000
 9.4291829E-001, 1.2849445E+000
 9.4797741E-001, 1.3439678E+000
 9.5303653E-001, 1.3801234E+000
 9.5809565E-001, 1.4001993E+000
 9.6315477E-001, 1.4209640E+000
 9.6821389E-001, 1.4552307E+000
 9.7266297E-001, 1.5090495E+000
 9.7711205E-001, 1.5893309E+000
 9.8156113E-001, 1.7011820E+000
 9.8601021E-001, 1.8471797E+000
 9.9045929E-001, 2.0200470E+000
 9.9490837E-001, 2.1974285E+000
 9.9935745E-001, 2.3599043E+000
 1.0033410E+000, 2.4612482E+000
 1.0073245E+000, 2.5170313E+000
 1.0113080E+000, 2.5167035E+000
 1.0152915E+000, 2.4929179E+000
 1.0192750E+000, 2.4720800E+000
 1.0232585E+000, 2.4862333E+000
 1.0272420E+000, 2.5564904E+000
 1.0312255E+000, 2.6751449E+000
 1.0352090E+000, 2.8316572E+000
 1.0387502E+000, 2.9713595E+000
 1.0422915E+000, 3.0886571E+000
 1.0458327E+000, 3.1662360E+000
 1.0493740E+000, 3.1979301E+000
 1.0529153E+000, 3.1557009E+000
 1.0564565E+000, 3.0512021E+000
 1.0599978E+000, 2.9125171E+000
 1.0635390E+000, 2.7704435E+000
 1.0667088E+000, 2.6730614E+000
 1.0698785E+000, 2.6045883E+000
 1.0730482E+000, 2.5384168E+000
 1.0762179E+000, 2.4699547E+000
 1.0793876E+000, 2.3970477E+000
 1.0825574E+000, 2.3238363E+000
 1.0857271E+000, 2.2541239E+000
 1.0888968E+000, 2.1844498E+000
 1.0920665E+000, 2.1130466E+000
 1.0952362E+000, 2.0429830E+000
 1.0984060E+000, 1.9741759E+000
 1.1015757E+000, 1.9084786E+000
 1.1047454E+000, 1.8598961E+000
 1.1079151E+000, 1.8351129E+000
 1.1110849E+000, 1.8349776E+000
 1.1142546E+000, 1.8580710E+000
