s,m/s
Time,w
 0.0000000E+000, 0.0000000E+000
 6.3113124E-003,-1.7867898E-005
 1.2622625E-002,-5.3472513E-006
 1.8933937E-002, 2.4317891E-004
 2.5245250E-002, 1.1303997E-003
 3.1556562E-002, 2.7765637E-003
 3.7867875E-002, 4.9242428E-003
 4.4179187E-002, 7.2518388E-003
 5.0490499E-002, 9.6012887E-003
 5.6801812E-002, 1.1897014E-002
 6.3113124E-002, 1.4122309E-002
 6.9424437E-002, 1.6248416E-002
 7.5735749E-002, 1.8271875E-002
 8.2047062E-002, 2.0116186E-002
 8.8358374E-002, 2.1817308E-002
 9.4669686E-002, 2.3450368E-002
 1.0098100E-001, 2.5534302E-002
 1.0729231E-001, 2.8665001E-002
 1.1360362E-001, 3.2388510E-002
 1.1991494E-001, 3.5322102E-002
 1.2622625E-001, 3.6149236E-002
 1.3253756E-001, 3.4034297E-002
 1.3884887E-001, 2.8844188E-002
 1.4516019E-001, 2.1354001E-002
 1.5147150E-001, 1.3234472E-002
 1.5778281E-001, 6.3757433E-003
 1.6409412E-001, 2.0418069E-003
 1.7040544E-001, 1.6773467E-004
 1.7671675E-001,-1.1023573E-003
 1.8302806E-001,-6.5610746E-003
 1.8933937E-001,-1.4844079E-002
 1.9565069E-001,-1.8015673E-002
 2.0196200E-001,-1.3309555E-002
 2.0827331E-001,-4.9563581E-003
 2.1458462E-001, 2.3542250E-003
 2.2089593E-001, 6.8502595E-003
 2.2720725E-001, 8.9619227E-003
 2.3351856E-001, 9.7675619E-003
 2.3982987E-001, 1.0134035E-002
 2.4614118E-001, 1.0529863E-002
 2.5245250E-001, 1.1123285E-002
 2.5876381E-001, 1.1939885E-002
 2.6507512E-001, 1.2946269E-002
 2.7138643E-001, 1.4080952E-002
 2.7769775E-001, 1.5291895E-002
 2.8400906E-001, 1.6483942E-002
 2.9032037E-001, 1.7393933E-002
 2.9663168E-001, 1.7570590E-002
 3.0294300E-001, 1.6663308E-002
 3.0925431E-001, 1.4767498E-002
 3.1556562E-001, 1.2511315E-002
 3.2187693E-001, 1.0727670E-002
 3.2818825E-001, 9.9958065E-003
 3.3449956E-001, 1.0473550E-002
 3.4081087E-001, 1.1921164E-002
 3.4712218E-001, 1.3894889E-002
 3.5343350E-001, 1.6013056E-002
 3.5974481E-001, 1.8064826E-002
 3.6605612E-001, 1.9994369E-002
 3.7236743E-001, 2.1796565E-002
 3.7867875E-001, 2.3495551E-002
 3.8418718E-001, 2.4984969E-002
 3.8969562E-001, 2.6834514E-002
 3.9520405E-001, 2.8899751E-002
 4.0071249E-001, 3.0587853E-002
 4.0541315E-001, 3.1655181E-002
 4.1011382E-001, 3.3079782E-002
 4.1481448E-001, 3.4714697E-002
 4.1951515E-001, 3.5938235E-002
 4.2421582E-001, 3.6723292E-002
 4.2837314E-001, 3.7425466E-002
 4.3253045E-001, 3.8842627E-002
 4.3668777E-001, 4.0799062E-002
 4.4028804E-001, 4.2398194E-002
 4.4388832E-001, 4.4010652E-002
 4.4748859E-001, 4.5571890E-002
 4.5108886E-001, 4.6715775E-002
 4.5468914E-001, 4.7517310E-002
 4.5828941E-001, 4.8417735E-002
 4.6188968E-001, 4.9704487E-002
 4.6548995E-001, 5.1390000E-002
 4.6909023E-001, 5.3303343E-002
 4.7269050E-001, 5.5276076E-002
 4.7589332E-001, 5.7048841E-002
 4.7909615E-001, 5.9209229E-002
 4.8229897E-001, 6.1491456E-002
 4.8550179E-001, 6.3290829E-002
 4.8870462E-001, 6.4612182E-002
 4.9190744E-001, 6.5870086E-002
 4.9511027E-001, 6.7319418E-002
 4.9831309E-001, 6.9001090E-002
 5.0151591E-001, 7.0914196E-002
 5.0471874E-001, 7.2912871E-002
 5.0792156E-001, 7.4962863E-002
 5.1112438E-001, 7.7028877E-002
 5.1432721E-001, 7.9038349E-002
 5.1753003E-001, 8.0972727E-002
 5.2073286E-001, 8.2914599E-002
 5.2393568E-001, 8.5059579E-002
 5.2673239E-001, 8.7239638E-002
 5.2952910E-001, 9.0015526E-002
 5.3232582E-001, 9.2994834E-002
 5.3512253E-001, 9.5236824E-002
 5.3791924E-001, 9.6529524E-002
 5.4071595E-001, 9.7457481E-002
 5.4351267E-001, 9.8698481E-002
 5.4630938E-001, 1.0040797E-001
 5.4910609E-001, 1.0237764E-001
 5.5190280E-001, 1.0457011E-001
 5.5469952E-001, 1.0694197E-001
 5.5749623E-001, 1.0943753E-001
 5.6029294E-001, 1.1202412E-001
 5.6308965E-001, 1.1457886E-001
 5.6553193E-001, 1.1677156E-001
 5.6797421E-001, 1.1952598E-001
 5.7041649E-001, 1.2256225E-001
 5.7285876E-001, 1.2504881E-001
 5.7530104E-001, 1.2687707E-001
 5.7774332E-001, 1.2848393E-001
 5.7989030E-001, 1.3013226E-001
 5.8203727E-001, 1.3268154E-001
 5.8418425E-001, 1.3578586E-001
 5.8633122E-001, 1.3859524E-001
 5.8847820E-001, 1.4068985E-001
 5.9062517E-001, 1.4239178E-001
 5.9277215E-001, 1.4412243E-001
 5.9491913E-001, 1.4606165E-001
 5.9678303E-001, 1.4797041E-001
 5.9864694E-001, 1.5052512E-001
 6.0051085E-001, 1.5329802E-001
 6.0237476E-001, 1.5547123E-001
 6.0423867E-001, 1.5682494E-001
 6.0610257E-001, 1.5775373E-001
 6.0796648E-001, 1.5854215E-001
 6.0983039E-001, 1.5926545E-001
 6.1169430E-001, 1.5988825E-001
 6.1355820E-001, 1.6039288E-001
 6.1542211E-001, 1.6072792E-001
 6.1728602E-001, 1.6086071E-001
 6.1914993E-001, 1.6069038E-001
 6.2101384E-001, 1.6008517E-001
 6.2287774E-001, 1.5903436E-001
 6.2474165E-001, 1.5757635E-001
 6.2660556E-001, 1.5569680E-001
 6.2846947E-001, 1.5330664E-001
 6.3033338E-001, 1.5040557E-001
 6.3219728E-001, 1.4712331E-001
 6.3406119E-001, 1.4352243E-001
 6.3592510E-001, 1.3960995E-001
 6.3778901E-001, 1.3544975E-001
 6.3938986E-001, 1.3201178E-001
 6.4099072E-001, 1.2931416E-001
 6.4259157E-001, 1.2658666E-001
 6.4419243E-001, 1.2297795E-001
 6.4579328E-001, 1.1858119E-001
 6.4739414E-001, 1.1400960E-001
 6.4899499E-001, 1.0971788E-001
 6.5059585E-001, 1.0593904E-001
 6.5219670E-001, 1.0272950E-001
 6.5379756E-001, 9.9923166E-002
 6.5539841E-001, 9.7347631E-002
 6.5699927E-001, 9.4996199E-002
 6.5860012E-001, 9.2817540E-002
 6.6020098E-001, 9.0680227E-002
 6.6180183E-001, 8.8441755E-002
 6.6340269E-001, 8.6111629E-002
 6.6500354E-001, 8.3753507E-002
 6.6660440E-001, 8.1371323E-002
 6.6820525E-001, 7.8975853E-002
 6.6980611E-001, 7.6623263E-002
 6.7140696E-001, 7.4359045E-002
 6.7300782E-001, 7.2182064E-002
 6.7460867E-001, 6.9895991E-002
 6.7620953E-001, 6.7361979E-002
 6.7781038E-001, 6.4587515E-002
 6.7941124E-001, 6.1671282E-002
 6.8101209E-001, 5.8699719E-002
 6.8261295E-001, 5.5698603E-002
 6.8421380E-001, 5.2635183E-002
 6.8581466E-001, 4.9421416E-002
 6.8741551E-001, 4.6093273E-002
 6.8901637E-001, 4.2826387E-002
 6.9061722E-001, 3.9549650E-002
 6.9221808E-001, 3.6232805E-002
 6.9381893E-001, 3.2922165E-002
 6.9541979E-001, 2.9591470E-002
 6.9702064E-001, 2.6204812E-002
 6.9862150E-001, 2.2678074E-002
 7.0022235E-001, 1.9071139E-002
 7.0182321E-001, 1.5608889E-002
 7.0342406E-001, 1.2606425E-002
 7.0502492E-001, 1.0102676E-002
 7.0662577E-001, 7.9413517E-003
 7.0822663E-001, 6.2461949E-003
 7.0982748E-001, 5.0805827E-003
 7.1142834E-001, 4.3184741E-003
 7.1302919E-001, 3.9086282E-003
 7.1463005E-001, 4.0746159E-003
 7.1623090E-001, 4.8182410E-003
 7.1783176E-001, 5.9946397E-003
 7.1943261E-001, 7.7269786E-003
 7.2103347E-001, 1.0252407E-002
 7.2263432E-001, 1.3222223E-002
 7.2423518E-001, 1.6464666E-002
 7.2583603E-001, 1.9713569E-002
 7.2743689E-001, 2.3009790E-002
 7.2903774E-001, 2.6437310E-002
 7.3063860E-001, 2.9634894E-002
 7.3223945E-001, 3.2362332E-002
 7.3384031E-001, 3.4944705E-002
 7.3544116E-001, 3.7589151E-002
 7.3687325E-001, 3.9694225E-002
 7.3830534E-001, 4.2141951E-002
 7.3973743E-001, 4.4015154E-002
 7.4116953E-001, 4.5241497E-002
 7.4260162E-001, 4.6645695E-002
 7.4403371E-001, 4.9067209E-002
 7.4546580E-001, 5.2580766E-002
 7.4689789E-001, 5.7568423E-002
 7.4832998E-001, 6.4397599E-002
 7.4976207E-001, 7.3714420E-002
 7.5119416E-001, 8.6806949E-002
 7.5262625E-001, 1.0374531E-001
 7.5405834E-001, 1.2483453E-001
 7.5532015E-001, 1.4712133E-001
 7.5658196E-001, 1.7522159E-001
 7.5784376E-001, 2.0842941E-001
 7.5910557E-001, 2.4723840E-001
 7.6036738E-001, 2.9126154E-001
 7.6162918E-001, 3.4169807E-001
 7.6289099E-001, 3.9809166E-001
 7.6415280E-001, 4.5988134E-001
 7.6541460E-001, 5.2397491E-001
 7.6667641E-001, 5.8762811E-001
 7.6793822E-001, 6.4883348E-001
 7.6920002E-001, 7.0501658E-001
 7.7046183E-001, 7.5321161E-001
 7.7172364E-001, 7.9062825E-001
 7.7298544E-001, 8.1549429E-001
 7.7424725E-001, 8.2702804E-001
 7.7550906E-001, 8.2514129E-001
 7.7677086E-001, 8.1068986E-001
 7.7803267E-001, 7.8522149E-001
 7.7929448E-001, 7.5161340E-001
 7.8055628E-001, 7.1250317E-001
 7.8181809E-001, 6.7052416E-001
 7.8307990E-001, 6.2932464E-001
 7.8434171E-001, 5.9171666E-001
 7.8560351E-001, 5.5894158E-001
 7.8686532E-001, 5.3343985E-001
 7.8812713E-001, 5.1734903E-001
 7.8938893E-001, 5.0943138E-001
 7.9065074E-001, 5.0936970E-001
 7.9191255E-001, 5.1809469E-001
 7.9317435E-001, 5.3367352E-001
 7.9443616E-001, 5.5312605E-001
 7.9569797E-001, 5.7550795E-001
 7.9695977E-001, 5.9982403E-001
 7.9822158E-001, 6.2541221E-001
 7.9948339E-001, 6.5063430E-001
 8.0074519E-001, 6.7108482E-001
 8.0185053E-001, 6.8545555E-001
 8.0295588E-001, 7.0151693E-001
 8.0406122E-001, 7.1851186E-001
 8.0516656E-001, 7.3816692E-001
 8.0627190E-001, 7.5858863E-001
 8.0737724E-001, 7.8341375E-001
 8.0848259E-001, 8.1809110E-001
 8.0941105E-001, 8.5622042E-001
 8.1043237E-001, 9.0519520E-001
 8.1145368E-001, 9.6422891E-001
 8.1257713E-001, 1.0407035E+000
 8.1370057E-001, 1.1338243E+000
 8.1482402E-001, 1.2392637E+000
 8.1594746E-001, 1.3573061E+000
 8.1707091E-001, 1.4682824E+000
 8.1819435E-001, 1.5951035E+000
 8.1931780E-001, 1.7226396E+000
 8.2044125E-001, 1.8361619E+000
 8.2156469E-001, 1.9399479E+000
 8.2268814E-001, 2.0030030E+000
 8.2381158E-001, 2.0264494E+000
 8.2493503E-001, 2.0139286E+000
 8.2605847E-001, 1.9814560E+000
 8.2718192E-001, 1.9321227E+000
 8.2830536E-001, 1.8791686E+000
 8.2942881E-001, 1.8356323E+000
 8.3055225E-001, 1.8159884E+000
 8.3167570E-001, 1.8230218E+000
 8.3279915E-001, 1.8585889E+000
 8.3392259E-001, 1.9147291E+000
 8.3515838E-001, 1.9971283E+000
 8.3639417E-001, 2.0812966E+000
 8.3762996E-001, 2.1495850E+000
 8.3886575E-001, 2.1873303E+000
 8.4010154E-001, 2.1895327E+000
 8.4133733E-001, 2.1549914E+000
 8.4257312E-001, 2.0963356E+000
 8.4380891E-001, 2.0320699E+000
 8.4504470E-001, 1.9827598E+000
 8.4628049E-001, 1.9625235E+000
 8.4751628E-001, 1.9784492E+000
 8.4875207E-001, 2.0288557E+000
 8.4998786E-001, 2.1045953E+000
 8.5122365E-001, 2.1911217E+000
 8.5245944E-001, 2.2771793E+000
 8.5369523E-001, 2.3544976E+000
 8.5493102E-001, 2.4167924E+000
 8.5616681E-001, 2.4668836E+000
 8.5740260E-001, 2.5131444E+000
 8.5863839E-001, 2.5703150E+000
 8.5987418E-001, 2.6470987E+000
 8.6110997E-001, 2.7470015E+000
 8.6221591E-001, 2.8413494E+000
 8.6332185E-001, 2.9360007E+000
 8.6442779E-001, 3.0247994E+000
 8.6553374E-001, 3.1011183E+000
 8.6663968E-001, 3.1683733E+000
 8.6774562E-001, 3.2261110E+000
 8.6873956E-001, 3.2676219E+000
 8.6973351E-001, 3.3000789E+000
 8.7072745E-001, 3.3197872E+000
