cm,K,K,m/s,K,K,m/s,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,kg/kg,kg/kg,cm,kW/m2,cm,kW/m2
z,TC_CL,TG_CL,w_CL,TC_CL_RMS,TG_CL_RMS,w_CL_RMS,X_O2,X_CO2,X_CO,X_FUEL,X_H2O,X_H2,X_N2,Y_CO,Y_Soot,z_rad,HF_vert,r_rad,HF_hori
 2.5000000E-001, 3.8175566E+002, 3.6436411E+002, 4.7663793E-002, 1.4631317E+001, 1.8477712E+001, 2.2885452E-002, 2.6059533E-004, 3.4683925E-003, 4.1363158E-003, 9.5452320E-001, 6.2089476E-003, 2.5837018E-003, 2.7780343E-002, 2.0924046E-003, 2.2526503E-004, 0.0000000E+000, 2.3754674E-001, 1.8275667E+001, 6.7274721E+000
 7.5000000E-001, 4.2994366E+002, 4.1186719E+002, 6.8183042E-002, 4.8179330E+001, 6.1386441E+001, 3.3910737E-002, 6.9629391E-004, 9.5178262E-003, 1.1313771E-002, 8.7547111E-001, 1.7014427E-002, 7.0670028E-003, 7.6078987E-002, 6.2633978E-003, 6.7431846E-004, 3.8888889E+000, 2.2661144E-001, 2.2506950E+001, 4.7213414E+000
 1.2500000E+000, 5.0615370E+002, 4.8683303E+002, 9.3887759E-002, 7.5383606E+001, 9.8819372E+001, 4.8988575E-002, 1.3881562E-003, 1.9370999E-002, 2.2948400E-002, 7.4706518E-001, 3.4578193E-002, 1.4334397E-002, 1.5455286E-001, 1.3962661E-002, 1.5032471E-003, 7.7777778E+000, 2.1990496E-001, 2.6739865E+001, 3.6075334E+000
 1.7500000E+000, 5.7938820E+002, 5.6372745E+002, 1.2736549E-001, 8.4357788E+001, 1.1180718E+002, 7.1612394E-002, 2.0468940E-003, 2.9004842E-002, 3.4253510E-002, 6.2193976E-001, 5.1705688E-002, 2.1395937E-002, 2.3105299E-001, 2.2281971E-002, 2.3989584E-003, 1.1666667E+001, 2.4982150E-001, 3.0973743E+001, 2.7818976E+000
 2.2500000E+000, 6.3422805E+002, 6.2469705E+002, 1.7218876E-001, 8.3025752E+001, 1.0770820E+002, 9.2057701E-002, 2.5615788E-003, 3.6363870E-002, 4.2755106E-002, 5.2694638E-001, 6.4703713E-002, 2.6706261E-002, 2.8922792E-001, 2.9046830E-002, 3.1273630E-003, 1.5555556E+001, 3.2348168E-001, 3.5208237E+001, 2.2736373E+000
 2.7500000E+000, 6.6849654E+002, 6.6331953E+002, 2.0937885E-001, 6.8932034E+001, 8.7369879E+001, 1.0742778E-001, 2.9319032E-003, 4.1033694E-002, 4.8113790E-002, 4.6663043E-001, 7.2929709E-002, 3.0053425E-002, 3.2622626E-001, 3.3614771E-002, 3.6192164E-003, 1.9444444E+001, 3.4578811E-001, 3.9443149E+001, 1.8818481E+000
 3.2500000E+000, 6.9082808E+002, 6.8793775E+002, 2.4294463E-001, 6.6045231E+001, 8.0396267E+001, 1.1676841E-001, 3.0889931E-003, 4.3858701E-002, 5.1291284E-002, 4.3076973E-001, 7.7863731E-002, 3.2038140E-002, 3.4821065E-001, 3.6534930E-002, 3.9336721E-003, 2.3333333E+001, 3.0891833E-001, 4.3678356E+001, 1.5100094E+000
 3.7500000E+000, 7.0647304E+002, 7.0457117E+002, 2.6835626E-001, 7.1241396E+001, 8.4683741E+001, 1.2592565E-001, 3.1242385E-003, 4.5642525E-002, 5.3158456E-002, 4.0909771E-001, 8.0889262E-002, 3.3204353E-002, 3.6153562E-001, 3.8381927E-002, 4.1326270E-003, 2.7222222E+001, 2.7338595E-001, 4.7913781E+001, 1.2961495E+000
 4.2500000E+000, 7.1906893E+002, 7.1759074E+002, 2.8993592E-001, 7.4505242E+001, 8.7348765E+001, 1.3987529E-001, 3.1545062E-003, 4.6920962E-002, 5.4454318E-002, 3.9374422E-001, 8.3030750E-002, 3.4013716E-002, 3.7100810E-001, 3.9775784E-002, 4.2827781E-003, 3.1111111E+001, 2.5696238E-001, 5.2149371E+001, 1.1011933E+000
 4.7500000E+000, 7.3300622E+002, 7.3149419E+002, 3.0978640E-001, 8.8023469E+001, 1.0319648E+002, 1.5208600E-001, 3.0778284E-003, 4.8135836E-002, 5.5514395E-002, 3.8047808E-001, 8.4954440E-002, 3.4675740E-002, 3.7922368E-001, 4.1012450E-002, 4.4160758E-003, 3.4990000E+001, 2.5656042E-001, 5.6385088E+001, 9.4073232E-001
 5.2500000E+000, 7.4731048E+002, 7.4573233E+002, 3.3549003E-001, 1.0465761E+002, 1.2310297E+002, 1.6308995E-001, 2.9690914E-003, 4.9306576E-002, 5.6380210E-002, 3.6860566E-001, 8.6708295E-002, 3.5216369E-002, 3.8665584E-001, 4.2077037E-002, 4.5309180E-003, 3.8888889E+001, 2.7106689E-001, 6.0620905E+001, 8.2343234E-001
 5.7500000E+000, 7.6086959E+002, 7.5925617E+002, 3.6964649E-001, 1.1428406E+002, 1.3492458E+002, 1.7536117E-001, 2.9186703E-003, 5.0417711E-002, 5.7171992E-002, 3.5722866E-001, 8.8354837E-002, 3.5710753E-002, 3.9384006E-001, 4.3075916E-002, 4.6386872E-003, 4.2777778E+001, 2.9458219E-001, 6.4856804E+001, 7.1068769E-001
 6.2500000E+000, 7.7439978E+002, 7.7283730E+002, 4.1845078E-001, 1.1999543E+002, 1.4231855E+002, 1.8584022E-001, 2.8315562E-003, 5.1545455E-002, 5.8028246E-002, 3.4560159E-001, 9.0058807E-002, 3.6245425E-002, 4.0111610E-001, 4.4163573E-002, 4.7559910E-003, 4.6666667E+001, 3.1258123E-001, 6.9092768E+001, 5.9821362E-001
