cm,K,K,m/s,K,K,m/s,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,kg/kg,kg/kg
z,TC_CL,TG_CL,w_CL,TC_CL_RMS,TG_CL_RMS,w_CL_RMS,X_O2,X_CO2,X_CO,X_FUEL,X_H2O,X_H2,X_N2,Y_CO,Y_Soot
 5.0000000E-001, 4.5890611E+002, 4.4723256E+002,-1.0675543E-002, 1.3876359E+001, 1.6236329E+001, 3.3968519E-002, 2.1653216E-002, 1.1878331E-002, 3.0234057E-002, 6.2052684E-001, 3.6800186E-002, 2.1551291E-002, 2.4957021E-001, 1.1876233E-002, 1.3114018E-003
 1.9040404E+000, 5.5892585E+002, 5.5149789E+002,-2.5226817E-002, 3.2493086E+001, 3.7396561E+001, 6.9640045E-002, 3.3697783E-002, 1.9138185E-002, 4.9489118E-002, 3.8968865E-001, 5.9836085E-002, 3.5277726E-002, 4.0013384E-001, 2.5654266E-002, 2.8314343E-003
 3.3080808E+000, 6.3579888E+002, 6.3002012E+002,-1.8115954E-002, 2.5438407E+001, 3.0008552E+001, 9.4308766E-002, 3.6214020E-002, 2.3138427E-002, 6.1045436E-002, 2.7658507E-001, 7.3139336E-002, 4.3517239E-002, 4.7065609E-001, 3.7062460E-002, 4.0883245E-003
 4.7121212E+000, 6.5745875E+002, 6.5137309E+002, 8.9076734E-002, 2.9829714E+001, 3.5941341E+001, 1.2627531E-001, 3.4823643E-002, 2.4064287E-002, 6.4305177E-002, 2.5637321E-001, 7.6606966E-002, 4.5842144E-002, 4.8144745E-001, 4.0420541E-002, 4.4571760E-003
 6.1161616E+000, 7.0680918E+002, 7.0014004E+002, 1.8496158E-001, 5.9810498E+001, 7.1487301E+001, 1.3879065E-001, 3.0776069E-002, 2.5928225E-002, 7.0727051E-002, 2.2248163E-001, 8.3460283E-002, 5.0422177E-002, 4.9802609E-001, 4.7561069E-002, 5.2417233E-003
 7.5202020E+000, 7.3775923E+002, 7.3118643E+002, 4.5461739E-001, 8.0368286E+001, 9.6421057E+001, 1.7882432E-001, 2.8331052E-002, 2.7140459E-002, 7.3909038E-002, 2.0542999E-001, 8.7193781E-002, 5.2690455E-002, 5.0630788E-001, 5.1515123E-002, 5.6782632E-003
 8.9242424E+000, 7.7176387E+002, 7.6566262E+002, 6.1484242E-001, 9.9056002E+001, 1.1980773E+002, 2.1139159E-001, 2.5874939E-002, 2.8544101E-002, 7.6843468E-002, 1.8833221E-001, 9.0975753E-002, 5.4781183E-002, 5.1489033E-001, 5.5516323E-002, 6.1220816E-003
 1.0328283E+001, 8.3864919E+002, 8.3409427E+002, 7.8248270E-001, 1.2760800E+002, 1.5765175E+002, 2.4484093E-001, 2.1953076E-002, 3.1603084E-002, 8.0993548E-002, 1.5751819E-001, 9.7604492E-002, 5.7733986E-002, 5.3173909E-001, 6.2286617E-002, 6.8806793E-003
 1.1732323E+001, 8.6744261E+002, 8.6365244E+002, 1.1172288E+000, 1.3343854E+002, 1.6708559E+002, 3.1154300E-001, 2.0477143E-002, 3.3120007E-002, 8.2313240E-002, 1.4436603E-001, 1.0036101E-001, 5.8670900E-002, 5.3947795E-001, 6.4920696E-002, 7.1792920E-003
