cm,K,K,cm,K,K,K,K,K,K,K,K,K,K,cm,cm,kW/m2,kW/m2,kW/m2,kW/m2,cm,kW/m2
z,T_CL,T_CL_RMS,r,T_20,T_20_RMS,T_60,T_60_RMS,T_100,T_100_RMS,T_140,T_140_RMS,T_180,T_180_RMS,r2,HF_00-y,HF_00,HF_41,HF_61,HF_81,z2,HF_207
 5.0000000E-001, 5.1191302E+002, 1.1192837E+002,-9.5000000E+000, 1.2087172E+003, 2.0271304E+002, 1.0384868E+003, 2.6988020E+002, 7.6292698E+002, 2.6783619E+002, 5.9958787E+002, 2.0948310E+002, 5.1099345E+002, 1.3653674E+002, 5.2000000E+001, 1.0000000E-001, 4.5561643E+000, 1.4901073E+001, 1.1830119E+001, 9.1548229E+000, 0.0000000E+000, 1.0673122E+000
 1.5000000E+000, 6.5381831E+002, 1.6944235E+002,-8.5000000E+000, 1.2123689E+003, 1.9819078E+002, 1.0560126E+003, 2.6105663E+002, 7.7449747E+002, 2.6348582E+002, 6.0178911E+002, 2.0701885E+002, 5.1056560E+002, 1.3429769E+002, 5.6480000E+001, 2.9900000E-001, 5.0644333E+000, 1.3329310E+001, 1.0831622E+001, 8.4808594E+000, 4.5000000E+000, 1.0296294E+000
 2.5000000E+000, 7.7478619E+002, 2.0107243E+002,-7.5000000E+000, 1.2171702E+003, 1.9139574E+002, 1.0737035E+003, 2.5175185E+002, 7.8385522E+002, 2.6017711E+002, 6.0458681E+002, 2.0471737E+002, 5.1107008E+002, 1.3273918E+002, 6.0960000E+001, 4.9800000E-001, 4.0191664E+000, 1.1031722E+001, 9.1378406E+000, 7.3855645E+000, 9.0000000E+000, 1.0731845E+000
 3.5000000E+000, 8.6006213E+002, 2.1416946E+002,-6.5000000E+000, 1.2234977E+003, 1.8780545E+002, 1.0878696E+003, 2.4628790E+002, 7.9319470E+002, 2.5680991E+002, 6.0709977E+002, 2.0244885E+002, 5.1181875E+002, 1.3102630E+002, 6.5440000E+001, 6.9700000E-001, 3.5271307E+000, 1.0081577E+001, 8.4617999E+000, 6.9039529E+000, 1.3500000E+001, 1.1737675E+000
 4.5000000E+000, 9.3437393E+002, 2.2575615E+002,-5.5000000E+000, 1.2276412E+003, 1.8134085E+002, 1.1025770E+003, 2.3915253E+002, 8.0001555E+002, 2.5324885E+002, 6.0966445E+002, 2.0068175E+002, 5.1208578E+002, 1.2906679E+002, 6.9920000E+001, 8.9600000E-001, 3.1158170E+000, 9.2387617E+000, 7.8495599E+000, 6.4630477E+000, 1.8000000E+001, 1.2755521E+000
 5.5000000E+000, 9.9285356E+002, 2.3188597E+002,-4.5000000E+000, 1.2320439E+003, 1.7707094E+002, 1.1177549E+003, 2.3029830E+002, 8.0862865E+002, 2.4931488E+002, 6.1245474E+002, 1.9766892E+002, 5.1212109E+002, 1.2703629E+002, 7.4400000E+001, 1.0950000E+000, 2.7685555E+000, 8.4885328E+000, 7.2936062E+000, 6.0580457E+000, 2.2500000E+001, 1.3349835E+000
 6.5000000E+000, 1.0308510E+003, 2.2669494E+002,-3.5000000E+000, 1.2377607E+003, 1.7615068E+002, 1.1286794E+003, 2.2353948E+002, 8.1800503E+002, 2.4633925E+002, 6.1394971E+002, 1.9341570E+002, 5.1166555E+002, 1.2465532E+002, 7.8880000E+001, 1.2940000E+000, 2.4727600E+000, 7.8185365E+000, 6.7874471E+000, 5.6850812E+000, 2.7000000E+001, 1.3427043E+000
 7.5000000E+000, 1.0596199E+003, 2.2336483E+002,-2.5000000E+000, 1.2329997E+003, 1.7438896E+002, 1.1399119E+003, 2.1776476E+002, 8.2798423E+002, 2.4677127E+002, 6.1546644E+002, 1.9032658E+002, 5.1128595E+002, 1.2316208E+002, 8.3360000E+001, 1.4930000E+000, 2.2187789E+000, 7.2183034E+000, 6.3254976E+000, 5.3409026E+000, 3.1500000E+001, 1.3154588E+000
 8.5000000E+000, 1.0827709E+003, 2.1550267E+002,-1.5000000E+000, 1.2271247E+003, 1.7164573E+002, 1.1501651E+003, 2.1336610E+002, 8.3870123E+002, 2.4980550E+002, 6.1745577E+002, 1.8868400E+002, 5.1099486E+002, 1.2155902E+002, 8.7840000E+001, 1.6920000E+000, 1.9991209E+000, 6.6788981E+000, 5.9029536E+000, 5.0227456E+000, 3.6000000E+001, 1.2439907E+000
