s,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,C,C,C,C,
Time,O2Rear_FDS_RI=20,CO2Rear_FDS_RI=20,CORear_FDS_RI=20,UHRear_FDS_RI=20,H2ORear_FDS_RI=20,O2Front_FDS_RI=20,CO2Front_FDS_RI=20,COFront_FDS_RI=20,UHFront_FDS_RI=20,H2OFront_FDS_RI=20,TRSampA_FDS_RI=20,TRSampBB_FDS_RI=20,TFSampA_FDS_RI=20,TFSampBB_FDS_RI=20,ITER_RI=20
 0.0000000E+000, 2.0755882E-001, 3.8641183E-004, 0.0000000E+000, 0.0000000E+000, 9.4820369E-003, 2.0755882E-001, 3.8641183E-004, 0.0000000E+000, 0.0000000E+000, 9.4820369E-003, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 0.0000000E+000
 1.0002751E+001, 1.9903275E-001, 4.2471122E-003, 2.1002756E-008, 1.6957362E-008, 1.7169863E-002, 1.9570417E-001, 5.7543398E-003, 2.1161231E-008, 1.0773934E-008, 2.0171187E-002, 9.8319398E+001, 5.6569588E+001, 1.1816819E+002, 6.8508155E+001, 5.0036338E-001
 2.0002611E+001, 1.6057029E-001, 2.1663460E-002, 1.7113183E-008, 9.5518640E-009, 5.1850805E-002, 1.6074009E-001, 2.1586571E-002, 1.5004482E-008, 6.4607863E-009, 5.1697691E-002, 3.5253473E+002, 2.6393243E+002, 3.3954382E+002, 2.6219821E+002, 1.0000000E+000
 3.0005322E+001, 1.4220323E-001, 2.9980339E-002, 2.6618960E-009, 5.2173176E-010, 6.8412059E-002, 1.4116253E-001, 3.0446238E-002, 4.5377186E-006, 1.7369613E-006, 6.9353291E-002, 3.7738181E+002, 3.5434219E+002, 4.3118366E+002, 3.8817301E+002, 1.0000000E+000
 4.0002915E+001, 1.3535326E-001, 3.3082102E-002, 3.0096157E-011, 1.3502989E-011, 7.4588554E-002, 1.4451328E-001, 2.8934299E-002, 1.4175500E-008, 6.8255899E-009, 6.6329128E-002, 4.5007823E+002, 4.0842937E+002, 4.0650088E+002, 4.0012314E+002, 1.0000000E+000
 5.0004565E+001, 1.2780857E-001, 3.6498428E-002, 1.4634283E-008, 3.1384192E-009, 8.1391485E-002, 1.4557476E-001, 2.8453600E-002, 5.4204617E-008, 2.6063689E-008, 6.5372038E-002, 4.3683262E+002, 4.1281845E+002, 4.3167540E+002, 4.0111401E+002, 1.0000000E+000
 6.0000462E+001, 1.1683163E-001, 4.1468956E-002, 1.4141318E-010, 7.1177699E-011, 9.1289191E-002, 1.3864603E-001, 3.1591010E-002, 6.9238230E-008, 2.3319484E-008, 7.1619567E-002, 4.8451283E+002, 4.4276403E+002, 4.5072842E+002, 4.2975926E+002, 1.0000000E+000
 7.0002074E+001, 1.1646400E-001, 4.1635365E-002, 5.3160260E-008, 1.0921442E-008, 9.1620716E-002, 1.3444516E-001, 3.3493252E-002, 4.2180858E-008, 1.7760283E-008, 7.5407397E-002, 4.6281043E+002, 4.4574404E+002, 4.3189442E+002, 4.1997185E+002, 1.0000000E+000
 8.0000440E+001, 1.1837927E-001, 4.0768162E-002, 1.6213468E-010, 4.9544768E-011, 8.9893709E-002, 1.3374043E-001, 3.3811612E-002, 6.8817323E-007, 1.7729359E-007, 7.6043266E-002, 4.6705652E+002, 4.4805279E+002, 4.8900502E+002, 4.5458938E+002, 1.0000000E+000
 9.0004304E+001, 1.1906348E-001, 4.0454277E-002, 3.4445068E-006, 1.4057167E-006, 8.9278919E-002, 1.3920112E-001, 3.1335080E-002, 3.9814938E-006, 1.1827958E-006, 7.1121578E-002, 4.8298716E+002, 4.4983672E+002, 4.7354978E+002, 4.6032755E+002, 1.0000000E+000
 1.0000538E+002, 1.2162123E-001, 3.9300156E-002, 9.0662566E-010, 3.1782824E-010, 8.6970489E-002, 1.4446429E-001, 2.8956305E-002, 1.6663640E-007, 4.1916188E-008, 6.6373402E-002, 4.7773066E+002, 4.6074083E+002, 4.4592110E+002, 4.3999041E+002, 1.0000000E+000
 1.1000632E+002, 1.2541612E-001, 3.7581766E-002, 1.2685585E-008, 3.3332761E-009, 8.3548715E-002, 1.3897571E-001, 3.1441674E-002, 1.1193830E-007, 4.3401649E-008, 7.1322324E-002, 4.9082484E+002, 4.6723875E+002, 4.6112329E+002, 4.4707468E+002, 1.0000000E+000
 1.2000000E+002, 1.2323294E-001, 3.8570352E-002, 9.8658210E-010, 4.3750144E-010, 8.5517240E-002, 1.4454921E-001, 2.8913492E-002, 3.8100017E-006, 2.1839147E-006, 6.6298982E-002, 4.9814348E+002, 4.7063864E+002, 4.5548802E+002, 4.4365321E+002, 1.0000000E+000
