s,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,C,C,C,C,
Time,O2Rear_FDS_RI=5,CO2Rear_FDS_RI=5,CORear_FDS_RI=5,UHRear_FDS_RI=5,H2ORear_FDS_RI=5,O2Front_FDS_RI=5,CO2Front_FDS_RI=5,COFront_FDS_RI=5,UHFront_FDS_RI=5,H2OFront_FDS_RI=5,TRSampA_FDS_RI=5,TRSampBB_FDS_RI=5,TFSampA_FDS_RI=5,TFSampBB_FDS_RI=5,ITER_RI=5
 0.0000000E+000, 2.0755882E-001, 3.8641183E-004, 0.0000000E+000, 0.0000000E+000, 9.4820369E-003, 2.0755882E-001, 3.8641183E-004, 0.0000000E+000, 0.0000000E+000, 9.4820369E-003, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 0.0000000E+000
 1.0020256E+001, 1.6257675E-001, 2.0471067E-002, 2.3786623E-004, 1.3055339E-004, 5.0183638E-002, 1.3542857E-001, 2.9856445E-002, 2.6282452E-003, 2.0266931E-003, 7.5975174E-002, 3.2092967E+002, 1.7831536E+002, 5.2689424E+002, 3.5618481E+002, 7.1455105E-001
 2.0005985E+001, 5.3851267E-002, 6.8052115E-002, 1.6109732E-003, 1.0195188E-003, 1.4901285E-001, 3.1008547E-002, 6.6209060E-002, 1.1476289E-002, 1.0818287E-002, 1.7463849E-001, 7.5796155E+002, 6.6053636E+002, 9.2624481E+002, 8.3372448E+002, 1.0000000E+000
 3.0009599E+001, 1.5357470E-003, 8.6956206E-002, 5.6787320E-003, 2.5191993E-003, 1.9875793E-001, 3.3760924E-002, 6.9794614E-002, 7.6274096E-003, 6.1754844E-003, 1.7035601E-001, 7.7320948E+002, 7.4126196E+002, 8.4029187E+002, 8.2591550E+002, 1.0000000E+000
 4.0000095E+001, 2.8944896E-005, 7.9598027E-002, 1.1709114E-002, 1.4773359E-002, 2.0195872E-001, 3.3090394E-002, 6.6083041E-002, 1.0568139E-002, 1.3149863E-002, 1.7166257E-001, 7.0234297E+002, 6.9794870E+002, 8.8606068E+002, 8.5575773E+002, 1.0000000E+000
 5.0014019E+001, 1.2695080E-004, 7.7202418E-002, 1.3679816E-002, 1.5849528E-002, 2.0304818E-001, 4.1468588E-002, 6.4449030E-002, 8.7119929E-003, 1.2716951E-002, 1.6288454E-001, 7.1875445E+002, 7.1001512E+002, 9.1550097E+002, 8.8314448E+002, 1.0000000E+000
 6.0006856E+001, 1.0879764E-004, 7.9277931E-002, 1.2241258E-002, 1.1345058E-002, 2.0293602E-001, 2.0149031E-002, 6.4869305E-002, 1.5594146E-002, 2.7309672E-002, 1.8409085E-001, 7.4415847E+002, 7.3766717E+002, 1.0316834E+003, 9.6535638E+002, 1.0000000E+000
 7.0016874E+001, 5.0840693E-004, 7.8523623E-002, 1.2261727E-002, 1.7172982E-002, 2.0144417E-001, 1.6346075E-002, 6.0688808E-002, 2.0689418E-002, 2.8220752E-002, 1.9093317E-001, 7.9016006E+002, 7.7996745E+002, 1.0487997E+003, 9.8451891E+002, 1.0000000E+000
 8.0008646E+001, 3.8644457E-005, 7.8172618E-002, 1.2641895E-002, 1.8547719E-002, 2.0186546E-001, 2.4715958E-002, 6.1987525E-002, 1.6335818E-002, 2.6961577E-002, 1.8056429E-001, 7.8105494E+002, 7.8032748E+002, 9.9050659E+002, 9.5903484E+002, 1.0000000E+000
 9.0011181E+001, 3.6639692E-005, 7.5823496E-002, 1.4317859E-002, 2.3176423E-002, 2.0213874E-001, 1.4336321E-002, 6.0394075E-002, 2.0818058E-002, 3.9430947E-002, 1.9063172E-001, 8.0125517E+002, 7.9682097E+002, 1.0663047E+003, 1.0055494E+003, 1.0000000E+000
 1.0001184E+002, 3.8940359E-004, 8.1572000E-002, 1.0245659E-002, 9.8293697E-003, 2.0157405E-001, 4.2867117E-003, 6.1426159E-002, 2.3931202E-002, 3.9056735E-002, 2.0196178E-001, 8.4103828E+002, 8.2886409E+002, 1.0915767E+003, 1.0213594E+003, 1.0000000E+000
 1.1001651E+002, 8.3949776E-006, 7.6674799E-002, 1.3949568E-002, 1.8746210E-002, 2.0277568E-001, 4.1250873E-003, 5.8962637E-002, 2.5928012E-002, 4.1782480E-002, 2.0297939E-001, 8.5813224E+002, 8.5269894E+002, 1.1123680E+003, 1.0480102E+003, 1.0000000E+000
 1.2000000E+002, 1.4211362E-005, 7.2568774E-002, 1.6750436E-002, 2.8346926E-002, 2.0285735E-001, 1.0075215E-002, 6.2265393E-002, 2.1690715E-002, 2.9491357E-002, 1.9704362E-001, 8.8145049E+002, 8.7448577E+002, 1.1006701E+003, 1.0353657E+003, 1.0000000E+000
