s,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,C,C,C,C,
Time,O2Rear_FDS_RI=10,CO2Rear_FDS_RI=10,CORear_FDS_RI=10,UHRear_FDS_RI=10,H2ORear_FDS_RI=10,O2Front_FDS_RI=10,CO2Front_FDS_RI=10,COFront_FDS_RI=10,UHFront_FDS_RI=10,H2OFront_FDS_RI=10,TRSampA_FDS_RI=10,TRSampBB_FDS_RI=10,TFSampA_FDS_RI=10,TFSampBB_FDS_RI=10,ITER_RI=10
 0.0000000E+000, 2.0755882E-001, 3.8641183E-004, 0.0000000E+000, 0.0000000E+000, 9.4820369E-003, 2.0755882E-001, 3.8641183E-004, 0.0000000E+000, 0.0000000E+000, 9.4820369E-003, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 0.0000000E+000
 1.0006006E+001, 2.0185113E-001, 2.9709267E-003, 8.2864556E-009, 8.4739858E-009, 1.4628574E-002, 2.0032981E-001, 3.6597868E-003, 1.8689891E-008, 1.3406987E-008, 1.6000323E-002, 6.3038993E+001, 3.5318006E+001, 4.4058817E+001, 3.2230672E+001, 4.9448597E-001
 2.0006716E+001, 1.8593024E-001, 1.0180132E-002, 4.2729718E-009, 2.6493704E-009, 2.8984161E-002, 1.8183461E-001, 1.2034685E-002, 1.0590633E-008, 7.3183169E-009, 3.2677128E-002, 2.3449798E+002, 1.7056084E+002, 2.1517126E+002, 1.4707058E+002, 1.0000000E+000
 3.0013887E+001, 1.7055288E-001, 1.7143212E-002, 7.5181354E-009, 3.8482415E-009, 4.2849664E-002, 1.6496567E-001, 1.9673178E-002, 7.2394615E-009, 5.5749990E-009, 4.7887554E-002, 3.1892768E+002, 2.7886544E+002, 2.8647193E+002, 2.4874244E+002, 1.0000000E+000
 4.0012663E+001, 1.6460370E-001, 1.9837084E-002, 6.8417706E-009, 3.0071057E-009, 4.8213936E-002, 1.6834163E-001, 1.8144500E-002, 5.7853132E-009, 3.7697711E-009, 4.4843512E-002, 3.4501939E+002, 3.1496148E+002, 3.1005638E+002, 2.8931525E+002, 1.0000000E+000
 5.0010002E+001, 1.6198150E-001, 2.1024422E-002, 3.4801868E-008, 2.2681879E-008, 5.0578351E-002, 1.6706003E-001, 1.8724812E-002, 1.6182873E-008, 7.8587084E-009, 4.5999111E-002, 3.4125081E+002, 3.2408591E+002, 3.0630362E+002, 2.9154657E+002, 1.0000000E+000
 6.0011190E+001, 1.6226665E-001, 2.0895340E-002, 1.3984687E-009, 7.2676642E-010, 5.0321212E-002, 1.6458343E-001, 1.9846260E-002, 1.1103817E-008, 5.6159059E-009, 4.8232221E-002, 3.4850599E+002, 3.2283994E+002, 3.0446299E+002, 2.9407070E+002, 1.0000000E+000
 7.0000743E+001, 1.5707226E-001, 2.3247427E-002, 6.0531890E-009, 2.8899096E-009, 5.5004906E-002, 1.6666286E-001, 1.8904659E-002, 1.4176619E-008, 8.6143568E-009, 4.6357231E-002, 3.6538902E+002, 3.3812015E+002, 3.4482190E+002, 3.1465633E+002, 1.0000000E+000
 8.0011584E+001, 1.5765095E-001, 2.2985394E-002, 5.8646397E-010, 4.0960499E-010, 5.4483108E-002, 1.6040275E-001, 2.1739059E-002, 2.3651442E-007, 1.2848079E-007, 5.2001998E-002, 3.6033366E+002, 3.4192415E+002, 3.3950235E+002, 3.2421158E+002, 1.0000000E+000
 9.0003979E+001, 1.5702673E-001, 2.3267997E-002, 4.7593755E-008, 2.0767836E-008, 5.5045991E-002, 1.6212614E-001, 2.0958958E-002, 9.0904052E-009, 7.1265073E-009, 5.0447916E-002, 3.6698875E+002, 3.4427601E+002, 3.4368506E+002, 3.2667931E+002, 1.0000000E+000
 1.0000201E+002, 1.5351987E-001, 2.4856005E-002, 2.3396216E-009, 1.3432019E-009, 5.8208036E-002, 1.5930770E-001, 2.2235171E-002, 2.1127103E-008, 1.3765144E-008, 5.2989260E-002, 3.8684311E+002, 3.5766007E+002, 3.5272677E+002, 3.3238344E+002, 1.0000000E+000
 1.1000606E+002, 1.5164921E-001, 2.5703028E-002, 3.4469700E-008, 2.4279246E-008, 5.9894798E-002, 1.6210009E-001, 2.0970653E-002, 8.9470023E-008, 6.7715659E-008, 5.0471443E-002, 3.9899325E+002, 3.7532214E+002, 3.5510582E+002, 3.3864996E+002, 1.0000000E+000
 1.2000000E+002, 1.5327205E-001, 2.4968216E-002, 4.5389868E-009, 2.9332194E-009, 5.8431488E-002, 1.6477178E-001, 1.9760953E-002, 2.5472635E-008, 1.7439190E-008, 4.8062394E-002, 3.9612787E+002, 3.7375999E+002, 3.2729230E+002, 3.2410357E+002, 1.0000000E+000
