s,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,C,C,C,C,
Time,O2Rear_FDS_RI=20,CO2Rear_FDS_RI=20,CORear_FDS_RI=20,UHRear_FDS_RI=20,H2ORear_FDS_RI=20,O2Front_FDS_RI=20,CO2Front_FDS_RI=20,COFront_FDS_RI=20,UHFront_FDS_RI=20,H2OFront_FDS_RI=20,TRSampA_FDS_RI=20,TRSampBB_FDS_RI=20,TFSampA_FDS_RI=20,TFSampBB_FDS_RI=20,ITER_RI=20
 0.0000000E+000, 2.0755882E-001, 3.8641183E-004, 0.0000000E+000, 0.0000000E+000, 9.4820369E-003, 2.0755882E-001, 3.8641183E-004, 0.0000000E+000, 0.0000000E+000, 9.4820369E-003, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 0.0000000E+000
 1.0004083E+001, 1.3403799E-001, 3.3424505E-002, 2.1729489E-004, 5.4221345E-005, 7.5917056E-002, 1.4676074E-001, 2.6491681E-002, 1.1509262E-003, 1.1773140E-003, 6.4882583E-002, 3.9795718E+002, 2.3698525E+002, 4.5416727E+002, 3.2198879E+002, 6.9479878E-001
 2.0003229E+001, 1.9442167E-002, 8.0627739E-002, 3.9112979E-003, 5.0391944E-003, 1.8087038E-001, 2.3100722E-002, 7.2837377E-002, 7.9636906E-003, 2.1015082E-002, 1.7728725E-001, 7.4780553E+002, 6.8697570E+002, 9.4821021E+002, 8.4127588E+002, 1.0000000E+000
 3.0000756E+001, 2.1837820E-003, 8.6246266E-002, 5.3719806E-003, 1.0643171E-002, 1.9635989E-001, 2.0343463E-002, 7.1999635E-002, 9.1773832E-003, 2.8440673E-002, 1.7916901E-001, 7.4155858E+002, 7.2162463E+002, 9.1403607E+002, 8.7043617E+002, 1.0000000E+000
 4.0000376E+001, 1.3810816E-006, 7.9639774E-002, 9.6368406E-003, 3.9530235E-002, 1.9565447E-001, 1.6270148E-002, 7.0975620E-002, 1.0451880E-002, 4.3419246E-002, 1.8079513E-001, 6.9461537E+002, 6.8577698E+002, 9.1521560E+002, 8.6635146E+002, 1.0000000E+000
 5.0001584E+001, 2.1247930E-007, 7.7381239E-002, 1.1430822E-002, 4.1767449E-002, 1.9648045E-001, 1.2396416E-002, 7.3741685E-002, 1.0417412E-002, 3.3112830E-002, 1.8629030E-001, 7.5409646E+002, 7.3152178E+002, 9.8468362E+002, 9.2947052E+002, 1.0000000E+000
 6.0002668E+001, 7.2674437E-008, 7.4709870E-002, 1.3172415E-002, 4.9007983E-002, 1.9628475E-001, 1.8050171E-002, 7.1906378E-002, 9.7270017E-003, 3.3784113E-002, 1.8057364E-001, 7.4899216E+002, 7.4514244E+002, 1.0242708E+003, 9.5663376E+002, 1.0000000E+000
 7.0000108E+001, 5.4954664E-009, 7.3781406E-002, 1.3150592E-002, 5.9110625E-002, 1.9428290E-001, 7.5389874E-003, 7.2771778E-002, 1.2993244E-002, 3.5538940E-002, 1.9200919E-001, 7.6250588E+002, 7.5516339E+002, 1.0775279E+003, 1.0020336E+003, 1.0000000E+000
 8.0000338E+001, 9.0535484E-008, 7.3145542E-002, 1.3585287E-002, 6.0589839E-002, 1.9429844E-001, 1.5467745E-002, 7.1872439E-002, 1.0407788E-002, 3.8299660E-002, 1.8249424E-001, 7.7215014E+002, 7.6796390E+002, 1.0418800E+003, 9.8500444E+002, 1.0000000E+000
 9.0003198E+001, 2.9037246E-005, 7.4341512E-002, 1.3621875E-002, 4.7335429E-002, 1.9690440E-001, 1.3374242E-002, 7.0615532E-002, 1.1749190E-002, 4.5437221E-002, 1.8392418E-001, 7.9368313E+002, 7.9077125E+002, 1.0666713E+003, 1.0056055E+003, 1.0000000E+000
 1.0000294E+002, 3.2056582E-007, 7.4341899E-002, 1.3265819E-002, 5.1776099E-002, 1.9580607E-001, 1.3887118E-002, 7.1961724E-002, 1.0937830E-002, 3.8526101E-002, 1.8424864E-001, 8.0909421E+002, 8.0592523E+002, 1.0679558E+003, 1.0136388E+003, 1.0000000E+000
 1.1000113E+002, 1.5669538E-007, 7.3960679E-002, 1.3838336E-002, 4.8891058E-002, 1.9677717E-001, 9.7138520E-003, 6.9700235E-002, 1.4196050E-002, 4.3101147E-002, 1.8940920E-001, 8.4262507E+002, 8.3612948E+002, 1.1362798E+003, 1.0545392E+003, 1.0000000E+000
 1.2000000E+002, 3.5228521E-005, 7.8597429E-002, 1.1280161E-002, 3.0534693E-002, 1.9855140E-001, 1.6557851E-002, 7.3763112E-002, 9.0797060E-003, 2.9099822E-002, 1.8238395E-001, 8.3714054E+002, 8.3466893E+002, 1.0751501E+003, 1.0228956E+003, 1.0000000E+000
