s,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,C,C,C,C,
Time,O2Rear_FDS_RI=10,CO2Rear_FDS_RI=10,CORear_FDS_RI=10,UHRear_FDS_RI=10,H2ORear_FDS_RI=10,O2Front_FDS_RI=10,CO2Front_FDS_RI=10,COFront_FDS_RI=10,UHFront_FDS_RI=10,H2OFront_FDS_RI=10,TRSampA_FDS_RI=10,TRSampBB_FDS_RI=10,TFSampA_FDS_RI=10,TFSampBB_FDS_RI=10,ITER_RI=10
 0.0000000E+000, 2.0755882E-001, 3.8641183E-004, 0.0000000E+000, 0.0000000E+000, 9.4820369E-003, 2.0755882E-001, 3.8641183E-004, 0.0000000E+000, 0.0000000E+000, 9.4820369E-003, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 0.0000000E+000
 1.0003810E+001, 1.9546381E-001, 5.8623748E-003, 7.0426738E-007, 2.7330389E-007, 2.0388348E-002, 1.9463688E-001, 6.2364363E-003, 1.0313558E-006, 3.5484189E-007, 2.1134186E-002, 9.6437365E+001, 5.0322014E+001, 1.3188921E+002, 8.2943645E+001, 6.0498348E-001
 2.0003651E+001, 1.7036076E-001, 1.7227715E-002, 2.1211588E-006, 8.6400849E-007, 4.3024221E-002, 1.6448091E-001, 1.9892279E-002, 3.4997525E-007, 1.6326094E-007, 4.8324867E-002, 3.4561779E+002, 2.6164114E+002, 3.2465537E+002, 2.5925488E+002, 1.0000000E+000
 3.0001343E+001, 1.4303566E-001, 2.9603287E-002, 9.9189716E-008, 3.7113386E-008, 6.7661529E-002, 1.3877865E-001, 3.1530874E-002, 1.3917188E-007, 6.9289831E-008, 7.1500027E-002, 4.4626611E+002, 3.9389696E+002, 4.3143497E+002, 3.8254721E+002, 1.0000000E+000
 4.0013738E+001, 1.3557165E-001, 3.2983074E-002, 1.1840997E-007, 4.7512908E-008, 7.4391713E-002, 1.4386082E-001, 2.9229579E-002, 1.5478763E-007, 6.8658022E-008, 6.6917534E-002, 4.5355315E+002, 4.2050339E+002, 4.0589438E+002, 3.9719015E+002, 1.0000000E+000
 5.0009690E+001, 1.2854889E-001, 3.6163156E-002, 5.0349458E-008, 2.0883100E-008, 8.0723968E-002, 1.3728769E-001, 3.2203443E-002, 2.3006070E-006, 1.0247394E-006, 7.2845733E-002, 4.6117835E+002, 4.2869592E+002, 4.1085610E+002, 3.8662603E+002, 1.0000000E+000
 6.0007145E+001, 1.1531575E-001, 4.2087757E-002, 5.7878191E-005, 1.6295523E-005, 9.2693634E-002, 1.3223498E-001, 3.4492911E-002, 9.9102483E-007, 6.3454819E-007, 7.7400825E-002, 4.6482026E+002, 4.4252209E+002, 4.5300811E+002, 4.1712135E+002, 1.0000000E+000
 7.0010762E+001, 1.1920419E-001, 4.0394299E-002, 2.7897217E-007, 1.0845611E-007, 8.9150069E-002, 1.3206336E-001, 3.4547680E-002, 2.0792175E-005, 4.2605667E-006, 7.7568828E-002, 4.8785060E+002, 4.5203342E+002, 4.3100239E+002, 4.2834799E+002, 1.0000000E+000
 8.0000420E+001, 1.1634024E-001, 4.1691458E-002, 5.1869781E-009, 2.8568834E-009, 9.1732272E-002, 1.3706279E-001, 3.2306574E-002, 1.2078474E-006, 5.4533601E-007, 7.3047847E-002, 4.6221920E+002, 4.4338071E+002, 4.3791423E+002, 4.2018167E+002, 1.0000000E+000
 9.0010575E+001, 1.2185919E-001, 3.9192140E-002, 2.3141840E-007, 4.8069433E-008, 8.6756084E-002, 1.3933340E-001, 3.1279316E-002, 4.4688793E-007, 1.5811303E-007, 7.1000018E-002, 4.5493977E+002, 4.3547512E+002, 4.0765856E+002, 4.0378452E+002, 1.0000000E+000
 1.0000495E+002, 1.2218381E-001, 3.9045396E-002, 1.6299213E-008, 5.2330330E-009, 8.6463233E-002, 1.4068889E-001, 3.0663498E-002, 2.1579387E-006, 1.0034020E-006, 6.9778836E-002, 4.7600070E+002, 4.4643027E+002, 4.5784091E+002, 4.2252866E+002, 1.0000000E+000
 1.1000109E+002, 1.2296894E-001, 3.8687446E-002, 2.0921078E-006, 6.6204057E-007, 8.5756629E-002, 1.3781196E-001, 3.1966617E-002, 1.8346481E-006, 6.1608579E-007, 7.2372760E-002, 4.8283095E+002, 4.5545826E+002, 4.8425580E+002, 4.5427720E+002, 1.0000000E+000
 1.2000000E+002, 1.1891948E-001, 4.0523482E-002, 5.7272124E-008, 2.7282774E-008, 8.9406650E-002, 1.4054163E-001, 3.0730203E-002, 2.1592152E-006, 7.4158986E-007, 6.9911670E-002, 4.9831848E+002, 4.6573911E+002, 4.5664201E+002, 4.5028483E+002, 1.0000000E+000
