s,,,,,,,
Time,"O2 EXHAUST","CO2 EXHAUST","H2O EXHAUST","CO EXHAUST","FUEL EXHAUST","SOOT EXHAUST","TEMP EXHAUST"
 3.8002242E+001, 1.5579239E-001, 6.2225629E-002, 4.4225215E-002, 3.2840049E-005, 5.7277281E-008, 2.6240216E-004, 4.7359017E+002
 3.9002936E+001, 1.5578799E-001, 6.2229256E-002, 4.4227449E-002, 3.2828888E-005, 3.4903757E-008, 2.6241479E-004, 4.7765360E+002
 4.0005142E+001, 1.5345089E-001, 6.4144622E-002, 4.5417183E-002, 3.3853376E-005, 3.0679633E-008, 2.7057015E-004, 4.8066002E+002
 4.1004003E+001, 1.5429933E-001, 6.3449287E-002, 4.4985276E-002, 3.3482624E-005, 3.0295497E-008, 2.6760976E-004, 4.7735253E+002
 4.2004986E+001, 1.5458422E-001, 6.3215771E-002, 4.4840253E-002, 3.3376450E-005, 4.9676249E-008, 2.6661950E-004, 4.7647093E+002
 4.3001788E+001, 1.5560310E-001, 6.2380723E-002, 4.4321590E-002, 3.2949595E-005, 8.5028918E-008, 2.6306823E-004, 4.7077226E+002
 4.4002715E+001, 1.5321977E-001, 6.4334054E-002, 4.5534832E-002, 3.3943290E-005, 1.9634935E-008, 2.7137427E-004, 4.8049353E+002
 4.5002392E+001, 1.5350630E-001, 6.4099223E-002, 4.5388971E-002, 3.3821085E-005, 2.9385835E-008, 2.7037512E-004, 4.7397200E+002
 4.6004784E+001, 1.5464667E-001, 6.3164626E-002, 4.4808451E-002, 3.3325652E-005, 2.4828888E-008, 2.6639670E-004, 4.7691108E+002
 4.7004502E+001, 1.5245738E-001, 6.4958777E-002, 4.5922966E-002, 3.4336875E-005, 6.8849920E-008, 2.7404699E-004, 4.7893011E+002
 4.8002129E+001, 1.5323241E-001, 6.4323642E-002, 4.5528416E-002, 3.3973119E-005, 4.4129866E-008, 2.7133753E-004, 4.8287902E+002
 4.9001476E+001, 1.5460210E-001, 6.3201146E-002, 4.4831147E-002, 3.3353312E-005, 2.9386511E-008, 2.6655394E-004, 4.7499501E+002
 5.0004562E+001, 1.5459845E-001, 6.3204130E-002, 4.4833007E-002, 3.3359318E-005, 4.7354486E-008, 2.6656759E-004, 4.6421137E+002
 5.1005605E+001, 1.5419586E-001, 6.3534034E-002, 4.5037955E-002, 3.3554677E-005, 7.4629436E-008, 2.6797633E-004, 4.7532015E+002
 5.2003453E+001, 1.5394162E-001, 6.3742419E-002, 4.5167380E-002, 3.3657001E-005, 4.3733142E-008, 2.6886164E-004, 4.7844658E+002
 5.3001740E+001, 1.5523817E-001, 6.2679821E-002, 4.4507354E-002, 3.3094352E-005, 4.6793173E-008, 2.6433848E-004, 4.7612432E+002
 5.4002445E+001, 1.5363927E-001, 6.3990137E-002, 4.5321320E-002, 3.3837438E-005, 6.5396890E-008, 2.6992667E-004, 4.8036475E+002
 5.5005886E+001, 1.5368555E-001, 6.3952303E-002, 4.5297725E-002, 3.3752050E-005, 3.2837655E-008, 2.6975161E-004, 4.7449589E+002
 5.6000002E+001, 1.5252256E-001, 6.4905437E-002, 4.5889755E-002, 3.4253446E-005, 2.8390021E-008, 2.7380811E-004, 4.8596810E+002
 5.7001366E+001, 1.5527892E-001, 6.2646399E-002, 4.4486620E-002, 3.3095107E-005, 5.8590770E-008, 2.6420017E-004, 4.7864855E+002
 5.8001968E+001, 1.5191698E-001, 6.5401709E-002, 4.6198044E-002, 3.4539331E-005, 3.5762738E-008, 2.7592555E-004, 4.8505392E+002
 5.9004031E+001, 1.5203272E-001, 6.5306873E-002, 4.6139118E-002, 3.4475667E-005, 3.1923118E-008, 2.7551897E-004, 4.7619018E+002
