s,,,,,,,
Time,"O2 EXHAUST","CO2 EXHAUST","H2O EXHAUST","CO EXHAUST","FUEL EXHAUST","SOOT EXHAUST","TEMP EXHAUST"
 3.8009590E+001, 1.0288401E-001, 1.0148463E-001, 8.9233731E-002, 7.5174988E-005, 7.7655239E-009, 6.0131721E-004, 4.3566531E+002
 3.9004303E+001, 9.8425921E-002, 1.0499042E-001, 9.2155522E-002, 7.7814763E-005, 2.1189836E-008, 6.2221756E-004, 4.4529715E+002
 4.0005561E+001, 9.8090058E-002, 1.0525458E-001, 9.2375626E-002, 7.7985734E-005, 8.0913402E-009, 6.2378635E-004, 4.3533579E+002
 4.1004429E+001, 9.6195498E-002, 1.0674447E-001, 9.3617291E-002, 7.9089009E-005, 5.4686629E-009, 6.3266454E-004, 4.3460822E+002
 4.2009290E+001, 9.3248066E-002, 1.0906229E-001, 9.5549012E-002, 8.0835123E-005, 1.4825707E-008, 6.4648283E-004, 4.4204500E+002
 4.3000812E+001, 9.0869909E-002, 1.1093249E-001, 9.7107615E-002, 8.2212393E-005, 7.1439366E-009, 6.5762565E-004, 4.4109570E+002
 4.4007724E+001, 8.7627024E-002, 1.1348266E-001, 9.9232970E-002, 8.4129851E-005, 1.6795285E-008, 6.7282832E-004, 4.4370357E+002
 4.5001727E+001, 8.7160901E-002, 1.1384923E-001, 9.9538457E-002, 8.4395789E-005, 1.2705840E-008, 6.7501150E-004, 4.3875123E+002
 4.6010341E+001, 8.3528910E-002, 1.1670534E-001, 1.0191884E-001, 8.6568707E-005, 4.3774928E-008, 6.9204357E-004, 4.4581094E+002
 4.7008756E+001, 8.1392234E-002, 1.1838553E-001, 1.0331923E-001, 8.7880248E-005, 7.4883823E-008, 7.0207032E-004, 4.4256107E+002
 4.8009384E+001, 8.0603185E-002, 1.1900622E-001, 1.0383629E-001, 8.8220129E-005, 1.6285476E-009, 7.0574311E-004, 4.3479890E+002
 4.9007780E+001, 7.8440247E-002, 1.2070713E-001, 1.0525386E-001, 8.9504018E-005, 1.0159891E-008, 7.1588402E-004, 4.4353944E+002
 5.0001133E+001, 7.6451862E-002, 1.2227071E-001, 1.0655705E-001, 9.0716959E-005, 3.9076310E-008, 7.2521331E-004, 4.4456997E+002
 5.1008059E+001, 7.5655958E-002, 1.2289663E-001, 1.0707867E-001, 9.1170517E-005, 3.4882784E-008, 7.2894097E-004, 4.4491833E+002
 5.2000515E+001, 7.2613337E-002, 1.2528931E-001, 1.0907277E-001, 9.2969225E-005, 4.7144607E-008, 7.4320473E-004, 4.4485724E+002
 5.3008957E+001, 7.2353270E-002, 1.2549389E-001, 1.0924319E-001, 9.3082360E-005, 1.9797084E-008, 7.4441550E-004, 4.4166814E+002
 5.4004744E+001, 7.2096920E-002, 1.2569552E-001, 1.0941118E-001, 9.3205943E-005, 2.4001337E-009, 7.4561147E-004, 4.3689100E+002
 5.5006129E+001, 6.7869089E-002, 1.2902025E-001, 1.1218206E-001, 9.5696147E-005, 1.0322566E-008, 7.6542957E-004, 4.4256054E+002
 5.6007977E+001, 6.6897445E-002, 1.2978436E-001, 1.1281886E-001, 9.6257818E-005, 5.3970759E-009, 7.6998198E-004, 4.4140450E+002
 5.7000851E+001, 6.3736760E-002, 1.3226858E-001, 1.1489094E-001, 9.9016655E-005, 2.7043883E-007, 7.8498424E-004, 4.4582322E+002
 5.8006867E+001, 6.3398164E-002, 1.3253620E-001, 1.1511224E-001, 9.8303172E-005, 3.2144537E-009, 7.8638172E-004, 4.3861980E+002
 5.9001399E+001, 6.2216565E-002, 1.3346527E-001, 1.1588669E-001, 9.9078232E-005, 5.3721474E-008, 7.9193692E-004, 4.4883188E+002
 6.0009289E+001, 5.8051416E-002, 1.3674039E-001, 1.1861664E-001, 1.0175679E-004, 1.0870776E-007, 8.1150803E-004, 4.4902948E+002
 6.1008249E+001, 5.7182859E-002, 1.3742386E-001, 1.1918568E-001, 1.0197021E-004, 1.3391983E-008, 8.1551748E-004, 4.4306982E+002
 6.2005305E+001, 5.6971866E-002, 1.3758981E-001, 1.1932395E-001, 1.0207375E-004, 5.2463195E-009, 8.1650221E-004, 4.3719829E+002
 6.3010281E+001, 5.3717239E-002, 1.4014922E-001, 1.2145700E-001, 1.0399212E-004, 9.2433751E-009, 8.3175868E-004, 4.4467784E+002
 6.4006870E+001, 5.1963428E-002, 1.4152817E-001, 1.2260653E-001, 1.0518121E-004, 8.4024016E-008, 8.4001214E-004, 4.4910687E+002
 6.5000705E+001, 4.9833469E-002, 1.4320306E-001, 1.2400252E-001, 1.0649767E-004, 1.0926805E-007, 8.5000926E-004, 4.5450851E+002
 6.6009338E+001, 4.9518762E-002, 1.4345090E-001, 1.2420862E-001, 1.0644827E-004, 1.0350203E-008, 8.5143570E-004, 4.4533757E+002
 6.7009472E+001, 4.8797961E-002, 1.4401761E-001, 1.2468108E-001, 1.0695223E-004, 5.8208010E-008, 8.5483096E-004, 4.4476596E+002
 6.8002413E+001, 4.7024489E-002, 1.4541020E-001, 1.2584437E-001, 1.0941124E-004, 2.8556925E-007, 8.6343829E-004, 4.4375780E+002
 6.9009351E+001, 4.4235288E-002, 1.4760575E-001, 1.2767137E-001, 1.0957871E-004, 2.4283758E-008, 8.7620601E-004, 4.4508130E+002
 7.0009502E+001, 4.3949635E-002, 1.4783038E-001, 1.2785858E-001, 1.0975178E-004, 2.9603754E-008, 8.7754602E-004, 4.5077537E+002
 7.1001295E+001, 4.3544413E-002, 1.4814906E-001, 1.2812416E-001, 1.0998289E-004, 2.2046990E-008, 8.7944395E-004, 4.4707269E+002
 7.2008834E+001, 4.3435933E-002, 1.4823442E-001, 1.2819523E-001, 1.1000926E-004, 8.7671925E-009, 8.7994465E-004, 4.4337408E+002
 7.3000201E+001, 4.0729946E-002, 1.5036150E-001, 1.2996907E-001, 1.1218626E-004, 3.2807577E-007, 8.9275009E-004, 4.4434881E+002
 7.4001635E+001, 3.7632778E-002, 1.5279777E-001, 1.3199865E-001, 1.1356861E-004, 6.2523137E-008, 9.0717650E-004, 4.5100111E+002
 7.5000180E+001, 3.7740675E-002, 1.5271306E-001, 1.3192787E-001, 1.1340850E-004, 2.5079604E-008, 9.0665068E-004, 4.4965696E+002
 7.6006551E+001, 3.4743772E-002, 1.5506195E-001, 1.3389565E-001, 1.2051949E-004, 1.2956361E-006, 9.2180994E-004, 4.5369900E+002
 7.7010618E+001, 3.4009139E-002, 1.5564751E-001, 1.3437348E-001, 1.1561156E-004, 2.9418353E-008, 9.2414346E-004, 4.5019229E+002
 7.8002405E+001, 3.4201541E-002, 1.5549529E-001, 1.3424782E-001, 1.1612391E-004, 1.4199233E-007, 9.2337166E-004, 4.4643514E+002
 7.9003560E+001, 3.2242604E-002, 1.5703674E-001, 1.3553123E-001, 1.1662100E-004, 2.8380246E-008, 9.3241770E-004, 4.4483388E+002
 8.0002462E+001, 2.9145781E-002, 1.5947184E-001, 1.3756095E-001, 1.1859323E-004, 6.8176623E-008, 9.4696497E-004, 4.5456281E+002
 8.1000494E+001, 2.8649228E-002, 1.5985771E-001, 1.3788858E-001, 1.2205606E-004, 5.9864978E-007, 9.4995180E-004, 4.5315307E+002
 8.2005952E+001, 2.8097850E-002, 1.6029615E-001, 1.3824765E-001, 1.1905588E-004, 3.7151148E-008, 9.5184505E-004, 4.4814238E+002
 8.3004502E+001, 2.5759067E-002, 1.6213391E-001, 1.3978115E-001, 1.2142704E-004, 2.0357275E-007, 9.6301479E-004, 4.5813641E+002
 8.4003041E+001, 2.5500201E-002, 1.6233806E-001, 1.3995053E-001, 1.2118060E-004, 1.3438186E-007, 9.6414529E-004, 4.4897038E+002
 8.5003060E+001, 2.5602138E-002, 1.6225848E-001, 1.3988345E-001, 1.2071796E-004, 5.7216060E-008, 9.6358375E-004, 4.4115193E+002
 8.6009754E+001, 2.3662233E-002, 1.6378428E-001, 1.4115471E-001, 1.2167449E-004, 3.9388183E-008, 9.7263842E-004, 4.5236713E+002
 8.7008958E+001, 2.4228405E-002, 1.6333897E-001, 1.4078368E-001, 1.2139436E-004, 4.7414719E-008, 9.6999556E-004, 4.4363491E+002
 8.8008274E+001, 2.3036507E-002, 1.6427641E-001, 1.4156478E-001, 1.2200206E-004, 1.6931889E-008, 9.7556303E-004, 4.4338997E+002
 8.9006426E+001, 2.2020123E-002, 1.6507489E-001, 1.4223129E-001, 1.2315386E-004, 7.4765422E-008, 9.8044242E-004, 4.5168188E+002
 9.0009710E+001, 2.1382003E-002, 1.6557749E-001, 1.4264912E-001, 1.2298044E-004, 1.8869274E-008, 9.8331938E-004, 4.4242787E+002
 9.1009132E+001, 2.1387380E-002, 1.6557268E-001, 1.4264588E-001, 1.2337624E-004, 8.2292774E-008, 9.8337714E-004, 4.4324894E+002
 9.2006424E+001, 1.8596449E-002, 1.6776748E-001, 1.4447500E-001, 1.2499671E-004, 9.5644703E-008, 9.9645485E-004, 4.4976078E+002
