s,,,,,,,
Time,"O2 EXHAUST","CO2 EXHAUST","H2O EXHAUST","CO EXHAUST","FUEL EXHAUST","SOOT EXHAUST","TEMP EXHAUST"
 3.8001374E+001, 1.4626750E-001, 7.7292345E-002, 3.0743577E-002, 4.4097319E-005, 4.0568340E-009, 6.6831454E-003, 3.9511943E+002
 3.9006511E+001, 1.4565721E-001, 7.7841588E-002, 3.0874271E-002, 4.3622212E-005, 2.4174757E-009, 6.7194638E-003, 3.9471299E+002
 4.0002316E+001, 1.4424358E-001, 7.9097363E-002, 3.1299514E-002, 3.3918859E-005, 2.6233231E-009, 6.8368885E-003, 3.9383977E+002
 4.1002068E+001, 1.4405808E-001, 7.9358096E-002, 3.1338460E-002, 3.8914090E-005, 2.8462023E-009, 6.8521625E-003, 3.9553757E+002
 4.2010259E+001, 1.4296842E-001, 8.0281796E-002, 3.1633406E-002, 3.6272701E-005, 2.4551878E-009, 6.9375798E-003, 3.9580666E+002
 4.3006050E+001, 1.4200998E-001, 8.1174018E-002, 3.1912074E-002, 3.4493954E-005, 2.5959727E-009, 7.0132736E-003, 3.9527366E+002
 4.4006396E+001, 1.4101784E-001, 8.2169402E-002, 3.2184750E-002, 3.9232082E-005, 3.0956684E-009, 7.0969565E-003, 3.9731759E+002
 4.5009085E+001, 1.4097246E-001, 8.1972391E-002, 3.2187229E-002, 3.5044462E-005, 3.1115215E-009, 7.0922995E-003, 3.9517805E+002
 4.6002057E+001, 1.3898392E-001, 8.4104555E-002, 3.2770920E-002, 4.6464119E-005, 4.8883182E-009, 7.2610138E-003, 3.9853916E+002
 4.7004639E+001, 1.3951183E-001, 8.3427139E-002, 3.2605506E-002, 3.7674221E-005, 4.2205614E-009, 7.2081434E-003, 3.9591810E+002
 4.8002260E+001, 1.3919722E-001, 8.3707871E-002, 3.2668133E-002, 4.1224077E-005, 2.9457381E-009, 7.2320072E-003, 3.9725391E+002
 4.9010182E+001, 1.3785025E-001, 8.5078792E-002, 3.3068986E-002, 3.3905609E-005, 2.5203922E-009, 7.3478529E-003, 3.9724377E+002
 5.0010150E+001, 1.3821524E-001, 8.4636025E-002, 3.2972564E-002, 3.2233373E-005, 2.2289367E-009, 7.3190746E-003, 3.9645517E+002
 5.1008340E+001, 1.3812374E-001, 8.4730275E-002, 3.2992367E-002, 4.0382759E-005, 5.0816656E-009, 7.3208177E-003, 3.9664934E+002
 5.2008742E+001, 1.3740964E-001, 8.5409256E-002, 3.3177363E-002, 4.1357808E-005, 4.8468802E-009, 7.3787940E-003, 3.9670077E+002
 5.3003912E+001, 1.3579001E-001, 8.6869707E-002, 3.3646926E-002, 3.5738936E-005, 2.4715365E-009, 7.5129337E-003, 3.9882245E+002
 5.4004939E+001, 1.3607803E-001, 8.6545986E-002, 3.3558610E-002, 3.6703100E-005, 3.3546419E-009, 7.4841310E-003, 3.9722213E+002
 5.5007161E+001, 1.3530704E-001, 8.7349093E-002, 3.3771621E-002, 4.2214728E-005, 6.1496324E-009, 7.5484911E-003, 3.9911101E+002
 5.6004672E+001, 1.3514498E-001, 8.7388398E-002, 3.3814854E-002, 3.4358138E-005, 2.5188599E-009, 7.5553147E-003, 3.9778702E+002
 5.7009561E+001, 1.3396570E-001, 8.8489360E-002, 3.4126425E-002, 3.1899027E-005, 1.6145947E-009, 7.6463435E-003, 3.9878089E+002
 5.8001841E+001, 1.3385420E-001, 8.8624570E-002, 3.4187318E-002, 3.3424809E-005, 2.7083591E-009, 7.6618679E-003, 3.9877221E+002
 5.9010581E+001, 1.3360045E-001, 8.8833045E-002, 3.4238713E-002, 3.6578000E-005, 4.4258714E-009, 7.6758406E-003, 4.0004318E+002
 6.0002689E+001, 1.3272589E-001, 8.9597053E-002, 3.4486063E-002, 3.3681445E-005, 2.9343658E-009, 7.7509540E-003, 3.9898048E+002
 6.1007552E+001, 1.3189011E-001, 9.0402295E-002, 3.4723174E-002, 3.3982684E-005, 3.5791334E-009, 7.8153778E-003, 4.0102718E+002
 6.2008938E+001, 1.3194947E-001, 9.0353685E-002, 3.4683952E-002, 2.9995478E-005, 2.0156743E-009, 7.8046336E-003, 3.9960392E+002
 6.3001283E+001, 1.3198742E-001, 9.0310522E-002, 3.4687006E-002, 3.6277267E-005, 2.3950811E-009, 7.8064123E-003, 4.0116283E+002
 6.4003459E+001, 1.3126971E-001, 9.1035227E-002, 3.4901111E-002, 3.6334629E-005, 3.6726683E-009, 7.8689291E-003, 4.0093228E+002
 6.5002862E+001, 1.3039448E-001, 9.1835884E-002, 3.5137943E-002, 3.6473807E-005, 2.9942425E-009, 7.9358622E-003, 4.0090618E+002
 6.6001610E+001, 1.3082677E-001, 9.1304247E-002, 3.5013766E-002, 3.3439884E-005, 1.5698628E-009, 7.9003667E-003, 4.0117720E+002
 6.7003871E+001, 1.3103742E-001, 9.1135488E-002, 3.4929074E-002, 3.3022119E-005, 2.4994680E-009, 7.8754960E-003, 3.9864096E+002
 6.8007062E+001, 1.3071615E-001, 9.1534892E-002, 3.5056214E-002, 3.5028175E-005, 3.8789507E-009, 7.9145626E-003, 4.0089968E+002
 6.9004392E+001, 1.2947916E-001, 9.2712356E-002, 3.5380679E-002, 3.2164002E-005, 3.3113840E-009, 8.0073518E-003, 4.0119478E+002
 7.0000573E+001, 1.2988384E-001, 9.2254476E-002, 3.5282594E-002, 3.1224404E-005, 2.0450049E-009, 7.9786119E-003, 4.0018757E+002
 7.1001315E+001, 1.2908882E-001, 9.2928215E-002, 3.5490379E-002, 2.8192553E-005, 2.1490079E-009, 8.0338463E-003, 4.0038200E+002
 7.2003259E+001, 1.2880203E-001, 9.3262453E-002, 3.5574267E-002, 3.1853965E-005, 3.0452932E-009, 8.0619161E-003, 4.0082557E+002
 7.3006624E+001, 1.2883169E-001, 9.3191957E-002, 3.5553356E-002, 3.0970870E-005, 2.1684622E-009, 8.0546596E-003, 4.0045285E+002
 7.4006360E+001, 1.2915657E-001, 9.2839257E-002, 3.5463552E-002, 3.6179291E-005, 3.6936732E-009, 8.0283025E-003, 4.0059294E+002
 7.5004993E+001, 1.2778326E-001, 9.4180547E-002, 3.5859586E-002, 3.5036153E-005, 3.1198904E-009, 8.1472217E-003, 4.0165751E+002
 7.6003677E+001, 1.2842415E-001, 9.3535427E-002, 3.5687445E-002, 3.3784405E-005, 1.7811470E-009, 8.0880806E-003, 4.0057317E+002
 7.7009503E+001, 1.2778930E-001, 9.4260531E-002, 3.5867058E-002, 3.7597886E-005, 2.7624850E-009, 8.1448059E-003, 4.0238243E+002
 7.8002779E+001, 1.2853606E-001, 9.3436111E-002, 3.5655536E-002, 3.7662925E-005, 1.6226489E-009, 8.0828667E-003, 4.0021432E+002
 7.9001789E+001, 1.2776461E-001, 9.4163803E-002, 3.5860222E-002, 3.2862575E-005, 1.7864536E-009, 8.1446575E-003, 4.0020543E+002
 8.0007936E+001, 1.2787584E-001, 9.4105193E-002, 3.5847612E-002, 3.6061530E-005, 2.7493960E-009, 8.1389403E-003, 4.0186852E+002
 8.1003971E+001, 1.2634914E-001, 9.5646677E-002, 3.6269440E-002, 3.5104023E-005, 4.5909711E-009, 8.2646785E-003, 4.0293941E+002
 8.2010005E+001, 1.2672025E-001, 9.5100112E-002, 3.6141564E-002, 3.5631401E-005, 3.0724935E-009, 8.2246246E-003, 4.0210413E+002
 8.3003170E+001, 1.2721064E-001, 9.4710814E-002, 3.6025809E-002, 3.9015890E-005, 3.9756322E-009, 8.1908198E-003, 4.0202246E+002
