s,m/s,m/s,kg/m/s,kg/m3
Time,"null","null","null","null"
 0.000E+00,-1.355E-19,-4.730E-03, 1.796E-05, 1.196E+00
 5.139E+00, 2.227E-02, 1.648E-02, 7.936E-05, 1.196E+00
 1.008E+01, 6.413E-02, 5.551E-02, 9.569E-05, 1.196E+00
 1.502E+01, 1.046E-01, 1.018E-01, 5.775E-05, 1.196E+00
 2.016E+01, 1.452E-01, 1.493E-01, 4.870E-05, 1.196E+00
 2.510E+01, 1.849E-01, 1.902E-01, 4.410E-05, 1.196E+00
 3.004E+01, 2.228E-01, 2.337E-01, 6.402E-05, 1.196E+00
 3.518E+01, 2.604E-01, 2.725E-01, 4.715E-05, 1.196E+00
 4.012E+01, 2.968E-01, 3.172E-01, 5.921E-05, 1.196E+00
 4.506E+01, 3.314E-01, 3.559E-01, 4.814E-05, 1.196E+00
 5.000E+01, 3.647E-01, 3.973E-01, 5.842E-05, 1.196E+00
 5.514E+01, 3.976E-01, 4.405E-01, 8.245E-05, 1.196E+00
 6.008E+01, 4.291E-01, 4.805E-01, 1.577E-04, 1.196E+00
 6.502E+01, 4.589E-01, 5.168E-01, 3.124E-04, 1.196E+00
 7.007E+01, 4.877E-01, 5.387E-01, 5.870E-04, 1.196E+00
 7.506E+01, 5.154E-01, 5.813E-01, 7.888E-04, 1.196E+00
 8.008E+01, 5.418E-01, 6.524E-01, 7.757E-04, 1.196E+00
 8.510E+01, 5.669E-01, 6.542E-01, 9.296E-04, 1.196E+00
 9.009E+01, 5.906E-01, 6.684E-01, 7.873E-04, 1.196E+00
 9.513E+01, 6.129E-01, 6.854E-01, 5.230E-04, 1.196E+00
 1.000E+02, 6.338E-01, 7.277E-01, 9.702E-04, 1.196E+00
 1.050E+02, 6.534E-01, 7.329E-01, 7.643E-04, 1.196E+00
 1.101E+02, 6.721E-01, 7.553E-01, 5.649E-04, 1.196E+00
 1.151E+02, 6.895E-01, 7.991E-01, 6.732E-04, 1.196E+00
