s,m/s,m/s,kg/m/s,kg/m3
Time,"null","null","null","null"
 0.000E+00,-1.355E-19,-4.730E-03, 1.796E-05, 1.196E+00
 5.139E+00, 2.227E-02, 1.648E-02, 7.936E-05, 1.196E+00
 1.008E+01, 6.413E-02, 5.551E-02, 9.569E-05, 1.196E+00
 1.502E+01, 1.046E-01, 1.018E-01, 5.775E-05, 1.196E+00
 2.016E+01, 1.452E-01, 1.493E-01, 4.870E-05, 1.196E+00
 2.510E+01, 1.849E-01, 1.902E-01, 4.410E-05, 1.196E+00
 3.004E+01, 2.228E-01, 2.337E-01, 6.402E-05, 1.196E+00
 3.518E+01, 2.604E-01, 2.725E-01, 4.715E-05, 1.196E+00
 4.012E+01, 2.968E-01, 3.172E-01, 5.920E-05, 1.196E+00
 4.506E+01, 3.314E-01, 3.559E-01, 4.810E-05, 1.196E+00
 5.000E+01, 3.647E-01, 3.973E-01, 5.834E-05, 1.196E+00
 5.514E+01, 3.975E-01, 4.405E-01, 8.230E-05, 1.196E+00
 6.008E+01, 4.290E-01, 4.805E-01, 1.570E-04, 1.196E+00
 6.502E+01, 4.587E-01, 5.168E-01, 3.109E-04, 1.196E+00
 7.007E+01, 4.874E-01, 5.396E-01, 5.883E-04, 1.196E+00
 7.506E+01, 5.150E-01, 5.822E-01, 7.814E-04, 1.196E+00
 8.008E+01, 5.412E-01, 6.501E-01, 7.942E-04, 1.196E+00
 8.509E+01, 5.662E-01, 6.501E-01, 9.403E-04, 1.196E+00
 9.006E+01, 5.897E-01, 6.622E-01, 7.670E-04, 1.196E+00
 9.509E+01, 6.118E-01, 6.757E-01, 4.816E-04, 1.196E+00
 1.001E+02, 6.328E-01, 7.087E-01, 6.745E-04, 1.196E+00
 1.050E+02, 6.522E-01, 7.474E-01, 1.084E-03, 1.196E+00
 1.101E+02, 6.703E-01, 7.644E-01, 6.802E-04, 1.196E+00
 1.151E+02, 6.876E-01, 7.820E-01, 7.119E-04, 1.196E+00
