s,m/s,kg/m3,kg/m/s,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa
Time,"UBAR","RHO","MU","P10","P20","P30","P40","P50","P60","P70","P80","P90","P100","P200","P300","P400","P500","P600","P700","P800","P900","P1000","P1100","P1200","P1300","P1400","P1500","P1600"
 0.0000000E+000, 0.0000000E+000, 1.1951288E+000, 1.7964058E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 8.0007409E+002, 1.9989692E+000, 1.1951286E+000, 1.7964058E-005, 1.8198138E+001, 1.8046228E+001, 1.7897727E+001, 1.7753660E+001, 1.7614155E+001, 1.7479033E+001, 1.7349096E+001, 1.7223743E+001, 1.7101643E+001, 1.6983446E+001, 1.5938640E+001, 1.4879111E+001, 1.3755694E+001, 1.2611089E+001, 1.1465232E+001, 1.0323676E+001, 9.1779592E+000, 8.0302902E+000, 6.8847879E+000, 5.7352335E+000, 4.5824676E+000, 3.4359609E+000, 2.2855593E+000, 1.1379253E+000, 8.3582431E-003
 1.6000000E+003, 1.9999989E+000, 1.1951288E+000, 1.7964058E-005, 1.4050359E+001, 1.3928152E+001, 1.3809476E+001, 1.3695585E+001, 1.3585444E+001, 1.3479814E+001, 1.3378207E+001, 1.3281601E+001, 1.3189476E+001, 1.3101254E+001, 1.2355511E+001, 1.1565491E+001, 1.0701339E+001, 9.8088618E+000, 8.9186475E+000, 8.0246715E+000, 7.1338403E+000, 6.2402051E+000, 5.3460820E+000, 4.4490252E+000, 3.5600764E+000, 2.6661114E+000, 1.7741718E+000, 8.8474366E-001, 7.8833135E-003
