s,m/s,m/s,kg/m/s,kg/m3
Time,"null","null","null","null"
 0.000E+00,-5.082E-21,-4.227E-04, 1.796E-05, 1.196E+00
 2.019E-01, 8.682E+00, 8.725E+00, 9.099E-05, 1.196E+00
 4.000E-01, 2.478E+01, 2.523E+01, 3.461E-03, 1.196E+00
 6.004E-01, 4.012E+01, 4.118E+01, 2.259E-02, 1.196E+00
 8.002E-01, 5.441E+01, 5.886E+01, 4.015E-02, 1.196E+00
 1.000E+00, 6.742E+01, 7.516E+01, 4.315E-02, 1.196E+00
 1.200E+00, 7.907E+01, 8.973E+01, 4.839E-02, 1.196E+00
 1.400E+00, 8.932E+01, 9.998E+01, 6.282E-02, 1.196E+00
 1.600E+00, 9.818E+01, 1.108E+02, 6.288E-02, 1.196E+00
 1.800E+00, 1.058E+02, 1.211E+02, 7.632E-02, 1.196E+00
 2.000E+00, 1.122E+02, 1.259E+02, 7.388E-02, 1.196E+00
 2.200E+00, 1.175E+02, 1.338E+02, 7.408E-02, 1.196E+00
 2.400E+00, 1.221E+02, 1.365E+02, 7.750E-02, 1.196E+00
 2.600E+00, 1.257E+02, 1.422E+02, 8.288E-02, 1.196E+00
 2.800E+00, 1.287E+02, 1.434E+02, 9.121E-02, 1.196E+00
 3.000E+00, 1.311E+02, 1.479E+02, 8.745E-02, 1.196E+00
 3.200E+00, 1.330E+02, 1.502E+02, 8.595E-02, 1.196E+00
 3.400E+00, 1.346E+02, 1.524E+02, 9.102E-02, 1.196E+00
 3.600E+00, 1.359E+02, 1.550E+02, 8.862E-02, 1.196E+00
 3.800E+00, 1.370E+02, 1.539E+02, 8.113E-02, 1.196E+00
 4.000E+00, 1.378E+02, 1.555E+02, 8.393E-02, 1.196E+00
 4.200E+00, 1.384E+02, 1.568E+02, 1.024E-01, 1.196E+00
 4.400E+00, 1.389E+02, 1.582E+02, 9.141E-02, 1.196E+00
 4.600E+00, 1.395E+02, 1.606E+02, 9.509E-02, 1.196E+00
 4.800E+00, 1.399E+02, 1.565E+02, 7.830E-02, 1.196E+00
 5.000E+00, 1.402E+02, 1.566E+02, 8.835E-02, 1.196E+00
 5.200E+00, 1.405E+02, 1.622E+02, 8.398E-02, 1.196E+00
 5.400E+00, 1.408E+02, 1.593E+02, 9.088E-02, 1.196E+00
 5.600E+00, 1.409E+02, 1.566E+02, 8.889E-02, 1.196E+00
 5.800E+00, 1.410E+02, 1.597E+02, 9.356E-02, 1.196E+00
 6.000E+00, 1.411E+02, 1.624E+02, 9.049E-02, 1.196E+00
 6.200E+00, 1.412E+02, 1.562E+02, 9.266E-02, 1.196E+00
 6.400E+00, 1.412E+02, 1.586E+02, 8.217E-02, 1.196E+00
 6.600E+00, 1.413E+02, 1.596E+02, 9.095E-02, 1.196E+00
 6.800E+00, 1.413E+02, 1.609E+02, 9.341E-02, 1.196E+00
 7.000E+00, 1.413E+02, 1.606E+02, 1.010E-01, 1.196E+00
