s,m/s,kg/m3,kg/m/s,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa
Time,"UBAR","RHO","MU","P10","P20","P30","P40","P50","P60","P70","P80","P90","P100","P200","P300","P400","P500","P600","P700","P800","P900","P1000","P1100","P1200","P1300","P1400","P1500","P1600"
 0.0000000E+000, 0.0000000E+000, 1.1951288E+000, 1.7964058E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 8.0046723E+002, 1.9989706E+000, 1.1951291E+000, 1.7964058E-005, 9.1541311E+000, 9.0917367E+000, 9.0301019E+000, 8.9686092E+000, 8.9069825E+000, 8.8457909E+000, 8.7850145E+000, 8.7245328E+000, 8.6639934E+000, 8.6038053E+000, 8.0169852E+000, 7.4450271E+000, 6.8738081E+000, 6.3011409E+000, 5.7291927E+000, 5.1587333E+000, 4.5862970E+000, 4.0137365E+000, 3.4408244E+000, 2.8666268E+000, 2.2926583E+000, 1.7181480E+000, 1.1439478E+000, 5.7155116E-001, 3.2883041E-003
 1.6000000E+003, 2.0000012E+000, 1.1951291E+000, 1.7964058E-005, 4.5138432E+000, 4.4813281E+000, 4.4494020E+000, 4.4175652E+000, 4.3861247E+000, 4.3547946E+000, 4.3238931E+000, 4.2930587E+000, 4.2624967E+000, 4.2321367E+000, 3.9395390E+000, 3.6591959E+000, 3.3812609E+000, 3.1014050E+000, 2.8204511E+000, 2.5386024E+000, 2.2568565E+000, 1.9737898E+000, 1.6903743E+000, 1.4078599E+000, 1.1251112E+000, 8.4241358E-001, 5.6052833E-001, 2.7766018E-001, 2.3638756E-003
