s,m/s,m/s,kg/m/s,kg/m3
Time,"null","null","null","null"
 0.000E+00,-5.082E-21,-4.227E-04, 1.796E-05, 1.196E+00
 1.055E+00, 4.764E-01, 4.810E-01, 5.044E-05, 1.196E+00
 2.010E+00, 1.274E+00, 1.300E+00, 1.076E-04, 1.196E+00
 3.001E+00, 2.013E+00, 2.105E+00, 1.985E-04, 1.196E+00
 4.009E+00, 2.730E+00, 2.911E+00, 1.010E-03, 1.196E+00
 5.008E+00, 3.405E+00, 3.865E+00, 3.145E-03, 1.196E+00
 6.001E+00, 4.012E+00, 4.617E+00, 3.529E-03, 1.196E+00
 7.005E+00, 4.520E+00, 5.594E+00, 3.836E-03, 1.196E+00
 8.005E+00, 4.925E+00, 6.357E+00, 4.706E-03, 1.196E+00
 9.004E+00, 5.260E+00, 6.650E+00, 4.063E-03, 1.196E+00
 1.000E+01, 5.534E+00, 7.095E+00, 4.998E-03, 1.196E+00
 1.100E+01, 5.749E+00, 7.373E+00, 3.861E-03, 1.196E+00
 1.200E+01, 5.925E+00, 7.400E+00, 3.928E-03, 1.196E+00
 1.300E+01, 6.063E+00, 7.545E+00, 4.615E-03, 1.196E+00
 1.400E+01, 6.170E+00, 7.815E+00, 3.917E-03, 1.196E+00
 1.500E+01, 6.257E+00, 7.828E+00, 4.247E-03, 1.196E+00
 1.600E+01, 6.323E+00, 7.887E+00, 4.083E-03, 1.196E+00
 1.700E+01, 6.371E+00, 7.962E+00, 4.215E-03, 1.196E+00
 1.800E+01, 6.410E+00, 8.108E+00, 5.173E-03, 1.196E+00
 1.900E+01, 6.449E+00, 8.175E+00, 4.784E-03, 1.196E+00
 2.001E+01, 6.484E+00, 8.088E+00, 3.830E-03, 1.196E+00
 2.100E+01, 6.510E+00, 8.299E+00, 3.971E-03, 1.196E+00
 2.200E+01, 6.524E+00, 8.252E+00, 4.084E-03, 1.196E+00
 2.300E+01, 6.535E+00, 8.341E+00, 4.455E-03, 1.196E+00
 2.400E+01, 6.540E+00, 8.143E+00, 4.398E-03, 1.196E+00
 2.500E+01, 6.536E+00, 8.289E+00, 3.762E-03, 1.196E+00
 2.600E+01, 6.546E+00, 8.231E+00, 4.937E-03, 1.196E+00
 2.700E+01, 6.556E+00, 8.462E+00, 4.740E-03, 1.196E+00
 2.800E+01, 6.557E+00, 8.333E+00, 5.104E-03, 1.196E+00
 2.901E+01, 6.562E+00, 8.375E+00, 4.436E-03, 1.196E+00
 3.000E+01, 6.566E+00, 8.572E+00, 6.328E-03, 1.196E+00
 3.100E+01, 6.568E+00, 8.274E+00, 4.627E-03, 1.196E+00
 3.200E+01, 6.566E+00, 8.357E+00, 4.764E-03, 1.196E+00
 3.300E+01, 6.559E+00, 8.208E+00, 3.885E-03, 1.196E+00
 3.400E+01, 6.547E+00, 8.325E+00, 4.159E-03, 1.196E+00
 3.500E+01, 6.540E+00, 8.463E+00, 5.236E-03, 1.196E+00
