s,status,status,status,status
Time,"Act1","Act2","Act3","Act4"
 0.000E+00,-1,-1,-1,-1
 1.000E-01,-1,-1,-1,-1
 2.000E-01,-1,-1,-1,-1
 3.000E-01,-1,-1,-1,-1
 4.000E-01,-1,-1,-1,-1
 5.000E-01,-1,-1,-1,-1
 6.000E-01,-1,-1,-1,-1
 7.000E-01,-1,-1,-1,-1
 8.000E-01,-1,-1,-1,-1
 9.000E-01,-1,-1,-1,-1
 1.000E+00,-1,-1,-1,-1
 1.100E+00,-1,-1,-1,-1
 1.200E+00,-1,-1,-1,-1
 1.300E+00,-1,-1,-1,-1
 1.428E+00,-1,-1,-1,-1
 1.531E+00,-1,-1,-1,-1
 1.624E+00,-1,-1,-1,-1
 1.717E+00,-1,-1,-1,-1
 1.802E+00,-1,-1,-1,-1
 1.908E+00,-1,-1,-1,-1
 2.024E+00,-1,-1,-1,-1
 2.121E+00,-1,-1,-1,-1
 2.217E+00,-1,-1,-1,-1
 2.310E+00,-1,-1,-1,-1
 2.408E+00,-1,-1,-1,-1
 2.514E+00,-1,-1,-1,-1
 2.608E+00,-1,-1,-1,-1
 2.710E+00,-1,-1,-1,-1
 2.805E+00,-1,-1,-1,-1
 2.918E+00,-1,-1,-1,-1
 3.013E+00,-1,-1,-1,-1
 3.108E+00,-1,-1,-1,-1
 3.202E+00,-1,-1,-1,-1
 3.306E+00,-1,-1,-1,-1
 3.412E+00,-1,-1,-1,-1
 3.507E+00,-1,-1,-1,-1
 3.601E+00,-1,-1,-1,-1
 3.701E+00,-1,-1,-1,-1
 3.811E+00,-1,-1,-1,-1
 3.909E+00,-1,-1,-1,-1
 4.006E+00,-1,-1,-1,-1
 4.103E+00,-1,-1,-1,-1
 4.200E+00,-1,-1,-1,-1
 4.313E+00,-1,-1,-1,-1
 4.410E+00,-1,-1,-1,-1
 4.512E+00,-1,-1,-1,-1
 4.614E+00,-1,-1,-1,-1
 4.702E+00,-1,-1,-1,-1
 4.804E+00,-1,-1,-1,-1
 4.910E+00,-1,-1,-1,-1
 5.012E+00,-1,-1,-1,-1
 5.107E+00,-1,-1,-1,-1
 5.202E+00,-1,-1,-1,-1
 5.302E+00,-1,-1,-1,-1
