s,status,status,status,status
Time,"Act1","Act2","Act3","Act4"
 0.000E+00,-1,-1,-1,-1
 1.000E-01,-1,-1,-1,-1
 2.000E-01,-1,-1,-1,-1
 3.000E-01,-1,-1,-1,-1
 4.000E-01,-1,-1,-1,-1
 5.000E-01,-1,-1,-1,-1
 7.000E-01,-1,-1,-1,-1
 8.000E-01,-1,-1,-1,-1
 9.000E-01,-1,-1,-1,-1
 1.000E+00,-1,-1,-1,-1
 1.100E+00,-1,-1,-1,-1
 1.200E+00,-1,-1,-1,-1
 1.275E+00,-1,-1,-1,-1
 1.336E+00,-1,-1,-1,-1
 1.446E+00,-1,-1,-1,-1
 1.501E+00,-1,-1,-1,-1
 1.642E+00,-1,-1,-1,-1
 1.724E+00,-1,-1,-1,-1
 1.801E+00,-1,-1,-1,-1
 1.905E+00,-1,-1,-1,-1
 2.029E+00,-1,-1,-1,-1
 2.117E+00,-1,-1,-1,-1
 2.224E+00,-1,-1,-1,-1
 2.320E+00,-1,-1,-1,-1
 2.402E+00,-1,-1,-1,-1
 2.515E+00,-1,-1,-1,-1
 2.605E+00,-1,-1,-1,-1
 2.712E+00,-1,-1,-1,-1
 2.805E+00,-1,-1,-1,-1
 2.901E+00,-1,-1,-1,-1
 3.004E+00,-1,-1,-1,-1
 3.108E+00,-1,-1,-1,-1
 3.214E+00,-1,-1,-1,-1
 3.309E+00,-1,-1,-1,-1
 3.404E+00,-1,-1,-1,-1
 3.515E+00,-1,-1,-1,-1
 3.610E+00,-1,-1,-1,-1
 3.705E+00,-1,-1,-1,-1
 3.817E+00,-1,-1,-1,-1
 3.909E+00,-1,-1,-1,-1
 4.005E+00,-1,-1,-1,-1
 4.107E+00,-1,-1,-1,-1
 4.210E+00,-1,-1,-1,-1
 4.312E+00,-1,-1,-1,-1
 4.404E+00,-1,-1,-1,-1
 4.511E+00,-1,-1,-1,-1
 4.610E+00,-1,-1,-1,-1
 4.711E+00,-1,-1,-1,-1
 4.800E+00,-1,-1,-1,-1
 4.909E+00,-1,-1,-1,-1
 5.006E+00,-1,-1,-1,-1
 5.105E+00,-1,-1,-1,-1
 5.204E+00,-1,-1,-1,-1
 5.308E+00,-1,-1,-1,-1
