s,status,status,status,status
Time,"Act1","Act2","Act3","Act4"
 0.000E+00,-1,-1,-1,-1
 1.879E-01,-1,-1,-1,-1
 2.819E-01,-1,-1,-1,-1
 3.759E-01,-1,-1,-1,-1
 4.699E-01,-1,-1,-1,-1
 5.638E-01,-1,-1,-1,-1
 6.578E-01,-1,-1,-1,-1
 7.518E-01,-1,-1,-1,-1
 8.458E-01,-1,-1,-1,-1
 9.397E-01,-1,-1,-1,-1
 1.034E+00,-1,-1,-1,-1
 1.128E+00,-1,-1,-1,-1
 1.222E+00,-1,-1,-1,-1
 1.316E+00,-1,-1,-1,-1
 1.410E+00,-1,-1,-1,-1
 1.565E+00,-1,-1,-1,-1
 1.624E+00,-1,-1,-1,-1
 1.731E+00,-1,-1,-1,-1
 1.827E+00,-1,-1,-1,-1
 1.909E+00,-1,-1,-1,-1
 2.013E+00,-1,-1,-1,-1
 2.102E+00,-1,-1,-1,-1
 2.205E+00,-1,-1,-1,-1
 2.319E+00,-1,-1,-1,-1
 2.401E+00,-1,-1,-1,-1
 2.506E+00,-1,-1,-1,-1
 2.600E+00,-1,-1,-1,-1
 2.717E+00,-1,-1,-1,-1
 2.810E+00,-1,-1,-1,-1
 2.903E+00,-1,-1,-1,-1
 3.012E+00,-1,-1,-1,-1
 3.110E+00,-1,-1,-1,-1
 3.206E+00,-1,-1,-1,-1
 3.302E+00,-1,-1,-1,-1
 3.411E+00,-1,-1,-1,-1
 3.507E+00,-1,-1,-1,-1
 3.610E+00,-1,-1,-1,-1
 3.703E+00,-1,-1,-1,-1
 3.801E+00,-1,-1,-1,-1
 3.910E+00,-1,-1,-1,-1
 4.002E+00,-1,-1,-1,-1
 4.102E+00,-1,-1,-1,-1
 4.205E+00,-1,-1,-1,-1
 4.301E+00,-1,-1,-1,-1
 4.402E+00,-1,-1,-1,-1
 4.510E+00,-1,-1,-1,-1
 4.613E+00,-1,-1,-1,-1
 4.703E+00,-1,-1,-1,-1
 4.809E+00,-1,-1,-1,-1
 4.901E+00,-1,-1,-1,-1
 5.005E+00,-1,-1,-1,-1
 5.108E+00,-1,-1,-1,-1
 5.205E+00,-1,-1,-1,-1
 5.301E+00,-1,-1,-1,-1
