s,status,status,status,status
Time,"Act1","Act2","Act3","Act4"
 0.000E+00,-1,-1,-1,-1
 1.000E-01,-1,-1,-1,-1
 2.000E-01,-1,-1,-1,-1
 3.000E-01,-1,-1,-1,-1
 4.000E-01,-1,-1,-1,-1
 5.000E-01,-1,-1,-1,-1
 7.000E-01,-1,-1,-1,-1
 8.000E-01,-1,-1,-1,-1
 9.000E-01,-1,-1,-1,-1
 1.000E+00,-1,-1,-1,-1
 1.100E+00,-1,-1,-1,-1
 1.200E+00,-1,-1,-1,-1
 1.300E+00,-1,-1,-1,-1
 1.371E+00,-1,-1,-1,-1
 1.443E+00,-1,-1,-1,-1
 1.551E+00,-1,-1,-1,-1
 1.605E+00,-1,-1,-1,-1
 1.741E+00,-1,-1,-1,-1
 1.824E+00,-1,-1,-1,-1
 1.929E+00,-1,-1,-1,-1
 2.034E+00,-1,-1,-1,-1
 2.131E+00,-1,-1,-1,-1
 2.215E+00,-1,-1,-1,-1
 2.319E+00,-1,-1,-1,-1
 2.408E+00,-1,-1,-1,-1
 2.504E+00,-1,-1,-1,-1
 2.602E+00,-1,-1,-1,-1
 2.709E+00,-1,-1,-1,-1
 2.810E+00,-1,-1,-1,-1
 2.901E+00,-1,-1,-1,-1
 3.005E+00,-1,-1,-1,-1
 3.109E+00,-1,-1,-1,-1
 3.213E+00,-1,-1,-1,-1
 3.304E+00,-1,-1,-1,-1
 3.408E+00,-1,-1,-1,-1
 3.511E+00,-1,-1,-1,-1
 3.602E+00,-1,-1,-1,-1
 3.706E+00,-1,-1,-1,-1
 3.810E+00,-1,-1,-1,-1
 3.901E+00,-1,-1,-1,-1
 4.005E+00,-1,-1,-1,-1
 4.109E+00,-1,-1,-1,-1
 4.213E+00,-1,-1,-1,-1
 4.304E+00,-1,-1,-1,-1
 4.411E+00,-1,-1,-1,-1
 4.505E+00,-1,-1,-1,-1
 4.610E+00,-1,-1,-1,-1
 4.703E+00,-1,-1,-1,-1
 4.807E+00,-1,-1,-1,-1
 4.905E+00,-1,-1,-1,-1
 5.007E+00,-1,-1,-1,-1
 5.102E+00,-1,-1,-1,-1
 5.211E+00,-1,-1,-1,-1
 5.308E+00,-1,-1,-1,-1
