s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,
Time,SPRINKLER 1,SPRINKLER 2,SPRINKLER 3,SPRINKLER 4,TC_1_01,TC_1_02,TC_1_03,TC_1_04,TC_1_05,TC_1_06,TC_1_07,TC_1_08,TC_1_09,TC_1_10,TC_1_11,TC_1_12,TC_2_01,TC_2_02,TC_2_03,TC_2_04,TC_2_05,TC_2_06,TC_2_07,TC_2_08,TC_2_09,TC_2_10,TC_2_11,TC_2_12,TC_3_01,TC_3_02,TC_3_03,TC_3_04,TC_3_05,TC_3_06,TC_3_07,TC_3_08,TC_3_09,TC_3_10,TC_3_11,TC_3_12,TC_4_01,TC_4_02,TC_4_03,TC_4_04,TC_4_05,TC_4_06,TC_4_07,TC_4_08,TC_4_09,TC_4_10,TC_4_11,TC_4_12,BDP_1_01,BDP_1_02,BDP_1_03,BDP_1_04,BDP_2_01,BDP_2_02,BDP_2_03,BDP_2_04,Acts
 3.601E+01, 2.175E+01, 2.000E+01, 2.004E+01, 2.265E+01, 3.210E+01, 3.390E+01, 3.390E+01, 3.390E+01, 3.390E+01, 3.157E+01, 3.157E+01, 2.901E+01, 2.611E+01, 2.401E+01, 2.304E+01, 2.041E+01, 2.004E+01, 2.008E+01, 2.008E+01, 2.008E+01, 2.008E+01, 2.009E+01, 2.009E+01, 2.010E+01, 2.012E+01, 2.013E+01, 2.014E+01, 2.013E+01, 2.016E+01, 2.057E+01, 2.057E+01, 2.057E+01, 2.057E+01, 2.058E+01, 2.058E+01, 2.041E+01, 2.025E+01, 2.015E+01, 2.009E+01, 2.005E+01, 3.651E+01, 3.777E+01, 3.777E+01, 3.777E+01, 3.777E+01, 3.807E+01, 3.807E+01, 3.734E+01, 3.307E+01, 2.637E+01, 2.308E+01, 2.097E+01, 3.358E-01, 3.358E-01, 2.066E-01, 2.418E-01, 5.105E-02, 5.105E-02, 5.541E-02, 5.834E-02, 0.000E+00
 4.000E+01, 2.246E+01, 2.001E+01, 2.021E+01, 2.376E+01, 3.558E+01, 3.721E+01, 3.721E+01, 3.721E+01, 3.721E+01, 3.432E+01, 3.432E+01, 3.118E+01, 2.820E+01, 2.654E+01, 2.567E+01, 2.101E+01, 2.010E+01, 2.028E+01, 2.028E+01, 2.028E+01, 2.028E+01, 2.053E+01, 2.053E+01, 2.053E+01, 2.043E+01, 2.035E+01, 2.028E+01, 2.018E+01, 2.138E+01, 2.266E+01, 2.266E+01, 2.266E+01, 2.266E+01, 2.314E+01, 2.314E+01, 2.304E+01, 2.256E+01, 2.196E+01, 2.136E+01, 2.007E+01, 4.100E+01, 4.249E+01, 4.249E+01, 4.249E+01, 4.249E+01, 4.290E+01, 4.290E+01, 4.169E+01, 3.695E+01, 2.919E+01, 2.458E+01, 2.074E+01, 2.460E-01, 2.460E-01, 2.566E-01, 1.795E-01, 1.901E-01, 1.901E-01, 2.493E-01, 2.816E-01, 0.000E+00
 4.400E+01, 2.337E+01, 2.020E+01, 2.050E+01, 2.505E+01, 3.907E+01, 4.117E+01, 4.117E+01, 4.117E+01, 4.117E+01, 3.854E+01, 3.854E+01, 3.374E+01, 3.048E+01, 2.871E+01, 2.778E+01, 2.147E+01, 2.153E+01, 2.247E+01, 2.247E+01, 2.247E+01, 2.247E+01, 2.325E+01, 2.325E+01, 2.323E+01, 2.290E+01, 2.267E+01, 2.227E+01, 2.129E+01, 2.347E+01, 2.489E+01, 2.489E+01, 2.489E+01, 2.489E+01, 2.559E+01, 2.559E+01, 2.528E+01, 2.469E+01, 2.393E+01, 2.281E+01, 2.009E+01, 4.546E+01, 4.715E+01, 4.715E+01, 4.715E+01, 4.715E+01, 4.709E+01, 4.709E+01, 4.525E+01, 3.960E+01, 3.135E+01, 2.570E+01, 2.064E+01, 4.283E-01, 4.283E-01, 3.086E-01, 1.759E-01, 4.136E-01, 4.136E-01, 4.760E-01, 4.417E-01, 0.000E+00
 4.800E+01, 2.432E+01, 2.054E+01, 2.090E+01, 2.707E+01, 4.169E+01, 4.426E+01, 4.426E+01, 4.426E+01, 4.426E+01, 4.257E+01, 4.257E+01, 3.675E+01, 3.284E+01, 3.069E+01, 2.956E+01, 2.127E+01, 2.383E+01, 2.524E+01, 2.524E+01, 2.524E+01, 2.524E+01, 2.607E+01, 2.607E+01, 2.573E+01, 2.522E+01, 2.463E+01, 2.398E+01, 2.279E+01, 2.605E+01, 2.762E+01, 2.762E+01, 2.762E+01, 2.762E+01, 2.897E+01, 2.897E+01, 2.778E+01, 2.583E+01, 2.440E+01, 2.318E+01, 2.011E+01, 5.076E+01, 5.246E+01, 5.246E+01, 5.246E+01, 5.246E+01, 5.122E+01, 5.122E+01, 4.774E+01, 4.048E+01, 3.273E+01, 2.764E+01, 2.062E+01, 2.797E-01, 2.797E-01, 3.289E-01, 2.018E-01, 3.528E-01, 3.528E-01, 3.911E-01, 4.226E-01, 0.000E+00
 5.200E+01, 2.560E+01, 2.080E+01, 2.150E+01, 2.925E+01, 4.532E+01, 4.860E+01, 4.860E+01, 4.860E+01, 4.860E+01, 4.786E+01, 4.786E+01, 4.170E+01, 3.637E+01, 3.335E+01, 3.120E+01, 2.121E+01, 2.574E+01, 2.691E+01, 2.691E+01, 2.691E+01, 2.691E+01, 2.780E+01, 2.780E+01, 2.795E+01, 2.764E+01, 2.685E+01, 2.584E+01, 2.292E+01, 2.977E+01, 3.178E+01, 3.178E+01, 3.178E+01, 3.178E+01, 3.378E+01, 3.378E+01, 3.193E+01, 2.933E+01, 2.686E+01, 2.468E+01, 2.021E+01, 5.467E+01, 5.714E+01, 5.714E+01, 5.714E+01, 5.714E+01, 5.584E+01, 5.584E+01, 5.283E+01, 4.457E+01, 3.452E+01, 2.847E+01, 2.065E+01, 4.186E-01, 4.186E-01, 3.595E-01, 1.896E-01, 1.596E-01, 1.596E-01, 2.937E-01, 3.198E-01, 0.000E+00
 5.600E+01, 2.689E+01, 2.121E+01, 2.240E+01, 3.083E+01, 4.967E+01, 5.287E+01, 5.287E+01, 5.287E+01, 5.287E+01, 5.162E+01, 5.162E+01, 4.605E+01, 4.077E+01, 3.625E+01, 3.243E+01, 2.131E+01, 2.776E+01, 2.924E+01, 2.924E+01, 2.924E+01, 2.924E+01, 3.075E+01, 3.075E+01, 3.060E+01, 3.000E+01, 2.899E+01, 2.720E+01, 2.326E+01, 3.363E+01, 3.602E+01, 3.602E+01, 3.602E+01, 3.602E+01, 3.858E+01, 3.858E+01, 3.630E+01, 3.251E+01, 2.922E+01, 2.643E+01, 2.053E+01, 5.682E+01, 5.997E+01, 5.997E+01, 5.997E+01, 5.997E+01, 6.005E+01, 6.005E+01, 5.881E+01, 5.317E+01, 4.300E+01, 3.192E+01, 2.071E+01, 3.524E-01, 3.524E-01, 2.892E-01, 2.596E-01, 3.486E-01, 3.486E-01, 4.400E-01, 4.502E-01, 0.000E+00
 6.000E+01, 2.825E+01, 2.166E+01, 2.331E+01, 3.254E+01, 5.254E+01, 5.555E+01, 5.555E+01, 5.555E+01, 5.555E+01, 5.397E+01, 5.397E+01, 4.967E+01, 4.445E+01, 3.937E+01, 3.451E+01, 2.134E+01, 3.032E+01, 3.173E+01, 3.173E+01, 3.173E+01, 3.173E+01, 3.349E+01, 3.349E+01, 3.311E+01, 3.217E+01, 3.125E+01, 2.925E+01, 2.321E+01, 3.677E+01, 3.894E+01, 3.894E+01, 3.894E+01, 3.894E+01, 4.186E+01, 4.186E+01, 3.996E+01, 3.583E+01, 3.205E+01, 2.886E+01, 2.170E+01, 6.037E+01, 6.315E+01, 6.315E+01, 6.315E+01, 6.315E+01, 6.400E+01, 6.400E+01, 6.359E+01, 5.800E+01, 4.590E+01, 3.422E+01, 2.083E+01, 4.256E-01, 4.256E-01, 2.708E-01, 2.071E-01, 2.832E-01, 2.832E-01, 4.129E-01, 3.976E-01, 0.000E+00
 6.400E+01, 2.984E+01, 2.236E+01, 2.432E+01, 3.489E+01, 5.636E+01, 5.933E+01, 5.933E+01, 5.933E+01, 5.933E+01, 5.833E+01, 5.833E+01, 5.422E+01, 4.856E+01, 4.287E+01, 3.718E+01, 2.136E+01, 3.306E+01, 3.545E+01, 3.545E+01, 3.545E+01, 3.545E+01, 3.719E+01, 3.719E+01, 3.655E+01, 3.525E+01, 3.381E+01, 3.167E+01, 2.314E+01, 3.999E+01, 4.233E+01, 4.233E+01, 4.233E+01, 4.233E+01, 4.509E+01, 4.509E+01, 4.242E+01, 3.807E+01, 3.440E+01, 3.103E+01, 2.338E+01, 6.582E+01, 6.776E+01, 6.776E+01, 6.776E+01, 6.776E+01, 6.659E+01, 6.659E+01, 6.527E+01, 5.990E+01, 4.925E+01, 3.652E+01, 2.112E+01, 4.085E-01, 4.085E-01, 3.434E-01, 2.234E-01, 3.191E-01, 3.191E-01, 3.936E-01, 3.516E-01, 0.000E+00
 6.800E+01, 3.128E+01, 2.311E+01, 2.546E+01, 3.746E+01, 5.930E+01, 6.238E+01, 6.238E+01, 6.238E+01, 6.238E+01, 6.127E+01, 6.127E+01, 5.687E+01, 5.197E+01, 4.701E+01, 4.059E+01, 2.146E+01, 3.592E+01, 3.814E+01, 3.814E+01, 3.814E+01, 3.814E+01, 4.030E+01, 4.030E+01, 4.000E+01, 3.849E+01, 3.633E+01, 3.359E+01, 2.421E+01, 4.277E+01, 4.507E+01, 4.507E+01, 4.507E+01, 4.507E+01, 4.757E+01, 4.757E+01, 4.530E+01, 4.114E+01, 3.729E+01, 3.335E+01, 2.441E+01, 6.970E+01, 7.222E+01, 7.222E+01, 7.222E+01, 7.222E+01, 6.996E+01, 6.996E+01, 6.742E+01, 6.142E+01, 5.199E+01, 3.984E+01, 2.135E+01, 2.983E-01, 2.983E-01, 2.521E-01, 1.861E-01, 3.188E-01, 3.188E-01, 3.989E-01, 4.382E-01, 0.000E+00
 7.200E+01, 3.286E+01, 2.396E+01, 2.662E+01, 3.988E+01, 6.229E+01, 6.544E+01, 6.544E+01, 6.544E+01, 6.544E+01, 6.432E+01, 6.432E+01, 6.044E+01, 5.551E+01, 5.056E+01, 4.260E+01, 2.178E+01, 3.921E+01, 4.108E+01, 4.108E+01, 4.108E+01, 4.108E+01, 4.303E+01, 4.303E+01, 4.290E+01, 4.187E+01, 3.970E+01, 3.673E+01, 2.623E+01, 4.537E+01, 4.772E+01, 4.772E+01, 4.772E+01, 4.772E+01, 5.012E+01, 5.012E+01, 4.780E+01, 4.391E+01, 3.974E+01, 3.516E+01, 2.554E+01, 7.294E+01, 7.592E+01, 7.592E+01, 7.592E+01, 7.592E+01, 7.482E+01, 7.482E+01, 7.380E+01, 6.796E+01, 5.582E+01, 4.245E+01, 2.178E+01, 4.249E-01, 4.249E-01, 2.281E-01, 2.049E-01, 3.353E-01, 3.353E-01, 4.267E-01, 3.979E-01, 0.000E+00
