s,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2
Time,R1-1,R2-1,R3-1,R4-1,R5-1,R6-1,R7-1,R8-1,R9-1,R10-1,R11-1,R12-1,R13-1,R14-1,R15-1,R16-1,R17-1,R18-1,R19-1,R20-1,R21-1,R22-1,R23-1,R24-1,R25-1,R26-1,R27-1,R28-1,R29-1,R30-1,R31-1,R32-1,R33-1,R34-1,R35-1,R36-1,R37-1,R38-1,R39-1,R40-1,R1-2,R2-2,R3-2,R4-2,R5-2,R6-2,R7-2,R8-2,R9-2,R10-2,R11-2,R12-2,R13-2,R14-2,R15-2,R16-2,R17-2,R18-2,R19-2,R20-2,R21-2,R22-2,R23-2,R24-2,R25-2,R26-2,R27-2,R28-2,R29-2,R30-2,R31-2,R32-2,R33-2,R34-2,R35-2,R36-2,R37-2,R38-2,R39-2,R40-2
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.0048272E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0000588E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.5000841E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.0000334E+001, 9.7102534E-001, 1.4801329E+000, 2.8986683E+000, 4.2754603E+000, 6.0474358E+000, 1.2689696E+000, 1.2177075E+000, 2.0274215E+000, 2.7560948E+000, 4.3477397E+000, 6.5807025E-001, 1.1787982E+000, 2.2926105E+000, 3.3600373E+000, 4.7787989E+000, 7.9037383E-001, 1.2236074E+000, 1.9988418E+000, 2.7059250E+000, 4.4072233E+000, 1.3792425E+000, 1.9172647E+000, 2.7025972E+000, 3.7793061E+000, 5.2333979E+000, 1.1817412E+000, 1.8491276E+000, 3.0974532E+000, 3.8456665E+000, 6.2641819E+000, 1.2642013E+000, 2.3036201E+000, 4.0011333E+000, 5.4192007E+000, 7.6098621E+000, 9.8450573E-001, 1.6623347E+000, 2.9653409E+000, 4.2251406E+000, 6.4950182E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.5002014E+001, 9.5382405E-001, 1.3577239E+000, 2.5140980E+000, 3.7129703E+000, 5.3276689E+000, 1.2214865E+000, 1.2191972E+000, 1.9904264E+000, 2.7201519E+000, 3.9325203E+000, 5.8136878E-001, 1.0701079E+000, 2.1061403E+000, 3.0894128E+000, 4.3840811E+000, 8.1210255E-001, 1.2967796E+000, 2.0794440E+000, 2.7939547E+000, 3.9003147E+000, 1.3077994E+000, 1.8267643E+000, 2.5093121E+000, 3.4008313E+000, 4.6484853E+000, 1.1229624E+000, 1.7491500E+000, 2.9510988E+000, 3.6205108E+000, 5.4655020E+000, 1.0818936E+000, 1.9910941E+000, 3.4962379E+000, 4.7645275E+000, 6.6759368E+000, 9.3818844E-001, 1.5519024E+000, 2.7207709E+000, 3.8726723E+000, 5.4337085E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.0005009E+001, 9.6322402E-001, 1.3557418E+000, 2.5199982E+000, 3.7450712E+000, 5.4013027E+000, 1.2356615E+000, 1.2280018E+000, 2.0101521E+000, 2.7518157E+000, 3.9921026E+000, 6.3021205E-001, 1.1353058E+000, 2.1915320E+000, 3.1851202E+000, 4.4900353E+000, 8.2076971E-001, 1.3134872E+000, 2.1105438E+000, 2.8402192E+000, 3.9898529E+000, 1.3445778E+000, 1.8786067E+000, 2.5653426E+000, 3.4697871E+000, 4.7404030E+000, 1.1355680E+000, 1.7734059E+000, 3.0008367E+000, 3.6886761E+000, 5.5969750E+000, 1.1436803E+000, 2.0665832E+000, 3.5781644E+000, 4.8483945E+000, 6.7738229E+000, 9.4324080E-001, 1.5638406E+000, 2.7560078E+000, 3.9305760E+000, 5.5179377E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.5000578E+001, 9.8259171E-001, 1.3793006E+000, 2.5600563E+000, 3.8040356E+000, 5.4884336E+000, 1.2502565E+000, 1.2420637E+000, 2.0344805E+000, 2.7872267E+000, 4.0480614E+000, 6.5128053E-001, 1.1583222E+000, 2.2165670E+000, 3.2118407E+000, 4.5203719E+000, 8.2067173E-001, 1.3128584E+000, 2.1131500E+000, 2.8453670E+000, 3.9970796E+000, 1.3461656E+000, 1.8843302E+000, 2.5654889E+000, 3.4652257E+000, 4.7318939E+000, 1.1358273E+000, 1.7756035E+000, 3.0049067E+000, 3.6889108E+000, 5.5977117E+000, 1.1657185E+000, 2.0912960E+000, 3.6002499E+000, 4.8632434E+000, 6.7905903E+000, 9.5005294E-001, 1.5767623E+000, 2.7859913E+000, 3.9816548E+000, 5.6072724E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.0003173E+001, 9.7729494E-001, 1.3736658E+000, 2.5463461E+000, 3.7779491E+000, 5.4446353E+000, 1.2429901E+000, 1.2356347E+000, 2.0220592E+000, 2.7689020E+000, 4.0252305E+000, 6.5953517E-001, 1.1712387E+000, 2.2362944E+000, 3.2347574E+000, 4.5443806E+000, 8.3046756E-001, 1.3258221E+000, 2.1309464E+000, 2.8687927E+000, 4.0375685E+000, 1.3466883E+000, 1.8953007E+000, 2.6048319E+000, 3.5265095E+000, 4.8134533E+000, 1.1474734E+000, 1.7939278E+000, 3.0383462E+000, 3.7396613E+000, 5.6896339E+000, 1.1863237E+000, 2.1206905E+000, 3.6349351E+000, 4.9013273E+000, 6.8245864E+000, 9.5087885E-001, 1.5736515E+000, 2.7742081E+000, 3.9591204E+000, 5.5775950E+000, 7.5674247E-001, 1.4183856E+000, 2.7165622E+000, 3.8894702E+000, 5.4221272E+000, 1.3225548E+000, 1.2132538E+000, 2.0712040E+000, 2.8646428E+000, 3.9608982E+000, 7.5765190E-001, 1.4329049E+000, 2.7017991E+000, 3.7684028E+000, 5.0531849E+000, 8.7993671E-001, 1.4979942E+000, 2.3885925E+000, 3.1425910E+000, 4.2080798E+000, 1.2577349E+000, 1.8815756E+000, 2.8109420E+000, 3.8568475E+000, 5.2327130E+000, 1.3708697E+000, 2.0879290E+000, 3.3839590E+000, 4.1981670E+000, 5.6420813E+000, 1.5791928E+000, 2.6027874E+000, 4.0366748E+000, 5.2302700E+000, 6.9355900E+000, 9.7137742E-001, 1.6655359E+000, 2.9148703E+000, 4.0371570E+000, 5.2937269E+000
