s,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2
Time,R1-1,R2-1,R3-1,R4-1,R5-1,R6-1,R7-1,R8-1,R9-1,R10-1,R11-1,R12-1,R13-1,R14-1,R15-1,R16-1,R17-1,R18-1,R19-1,R20-1,R21-1,R22-1,R23-1,R24-1,R25-1,R26-1,R27-1,R28-1,R29-1,R30-1,R31-1,R32-1,R33-1,R34-1,R35-1,R36-1,R37-1,R38-1,R39-1,R40-1,R1-2,R2-2,R3-2,R4-2,R5-2,R6-2,R7-2,R8-2,R9-2,R10-2,R11-2,R12-2,R13-2,R14-2,R15-2,R16-2,R17-2,R18-2,R19-2,R20-2,R21-2,R22-2,R23-2,R24-2,R25-2,R26-2,R27-2,R28-2,R29-2,R30-2,R31-2,R32-2,R33-2,R34-2,R35-2,R36-2,R37-2,R38-2,R39-2,R40-2
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.0010167E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0002933E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.5000559E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.0002151E+001, 3.4813007E+000, 5.1532769E+000, 7.9015593E+000, 1.0326311E+001, 1.3262382E+001, 4.0920744E+000, 5.5796290E+000, 7.9489723E+000, 9.8319930E+000, 1.2637995E+001, 4.6440333E+000, 6.5500206E+000, 9.6302095E+000, 1.1958171E+001, 1.4624351E+001, 4.1853821E+000, 5.9458211E+000, 8.5032146E+000, 1.0393135E+001, 1.2932536E+001, 4.1338302E+000, 6.0083223E+000, 8.7687836E+000, 1.0975140E+001, 1.3366643E+001, 3.6502098E+000, 5.0236738E+000, 7.3279425E+000, 9.0090576E+000, 1.1644479E+001, 3.6108431E+000, 5.3131230E+000, 7.7453624E+000, 9.8941482E+000, 1.2058922E+001, 3.3001958E+000, 4.8660628E+000, 6.7542058E+000, 8.5041290E+000, 1.1413606E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.5000687E+001, 3.4445086E+000, 5.3128945E+000, 8.4822052E+000, 1.1100496E+001, 1.4200284E+001, 4.1339296E+000, 5.6910584E+000, 8.3725531E+000, 1.0512937E+001, 1.3750985E+001, 4.4615623E+000, 6.4615394E+000, 9.7586282E+000, 1.2359472E+001, 1.5364028E+001, 3.8789721E+000, 5.6876620E+000, 8.2836443E+000, 1.0325196E+001, 1.3571624E+001, 3.9729003E+000, 5.7990107E+000, 8.5384522E+000, 1.0786070E+001, 1.3347364E+001, 3.5519847E+000, 4.9542128E+000, 7.2482148E+000, 9.0134348E+000, 1.1644192E+001, 3.6026286E+000, 5.3894647E+000, 7.8181528E+000, 1.0076245E+001, 1.2430457E+001, 3.4909100E+000, 5.0953458E+000, 7.3069557E+000, 9.3536814E+000, 1.1955908E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.0000994E+001, 3.5288225E+000, 5.4222171E+000, 8.6395514E+000, 1.1296709E+001, 1.4438148E+001, 4.2205466E+000, 5.8056466E+000, 8.5561719E+000, 1.0747500E+001, 1.4066054E+001, 4.4206142E+000, 6.4521009E+000, 9.8593887E+000, 1.2562192E+001, 1.5665945E+001, 3.9166926E+000, 5.7621400E+000, 8.4189330E+000, 1.0508882E+001, 1.3858978E+001, 3.9532232E+000, 5.7929591E+000, 8.5733296E+000, 1.0867328E+001, 1.3487145E+001, 3.5539556E+000, 4.9674586E+000, 7.2806748E+000, 9.0607985E+000, 1.1758880E+001, 3.5428913E+000, 5.3238108E+000, 7.7626533E+000, 1.0043789E+001, 1.2439534E+001, 3.5220520E+000, 5.1483862E+000, 7.3877786E+000, 9.4565974E+000, 1.2101568E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.5001038E+001, 3.4467170E+000, 5.3062074E+000, 8.4804726E+000, 1.1100435E+001, 1.4187869E+001, 4.1979180E+000, 5.7744973E+000, 8.4859260E+000, 1.0634829E+001, 1.3877466E+001, 4.4075756E+000, 6.4205370E+000, 9.7905487E+000, 1.2465669E+001, 1.5539221E+001, 3.9236770E+000, 5.7726213E+000, 8.4293813E+000, 1.0519364E+001, 1.3863185E+001, 3.9614682E+000, 5.8012080E+000, 8.5968511E+000, 1.0900451E+001, 1.3531903E+001, 3.5715023E+000, 4.9879529E+000, 7.3056575E+000, 9.0912878E+000, 1.1774571E+001, 3.5205627E+000, 5.2813732E+000, 7.6935173E+000, 9.9520281E+000, 1.2322136E+001, 3.4903698E+000, 5.0992775E+000, 7.3065812E+000, 9.3403174E+000, 1.1921991E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.0001491E+001, 3.4839092E+000, 5.3151150E+000, 8.4469409E+000, 1.1035703E+001, 1.4089758E+001, 4.2313464E+000, 5.8097910E+000, 8.5371736E+000, 1.0685645E+001, 1.3924061E+001, 4.5467194E+000, 6.5473387E+000, 9.9304521E+000, 1.2639980E+001, 1.5755951E+001, 4.0101411E+000, 5.9153726E+000, 8.6537113E+000, 1.0806030E+001, 1.4239083E+001, 4.0847927E+000, 5.9422576E+000, 8.7902531E+000, 1.1145879E+001, 1.3837862E+001, 3.6245802E+000, 5.0652361E+000, 7.4204472E+000, 9.2297163E+000, 1.1949482E+001, 3.6125367E+000, 5.3456176E+000, 7.7244640E+000, 9.9594837E+000, 1.2325078E+001, 3.4632594E+000, 5.0578424E+000, 7.2492716E+000, 9.2667312E+000, 1.1825367E+001, 3.6002331E+000, 5.2117867E+000, 8.2204359E+000, 1.0665108E+001, 1.3402805E+001, 4.4042017E+000, 5.7021562E+000, 8.3285622E+000, 1.0325090E+001, 1.2801288E+001, 5.1410876E+000, 6.9521823E+000, 9.8848135E+000, 1.2178693E+001, 1.4831229E+001, 4.4012674E+000, 6.3978652E+000, 9.1456836E+000, 1.1245942E+001, 1.3981016E+001, 4.4513194E+000, 6.2676246E+000, 8.9282390E+000, 1.1086849E+001, 1.3507427E+001, 3.8708609E+000, 5.4555658E+000, 7.9549665E+000, 9.7634568E+000, 1.2067232E+001, 4.2757103E+000, 6.0159525E+000, 8.3356515E+000, 1.0396804E+001, 1.2602390E+001, 3.4668493E+000, 4.8470512E+000, 7.0087696E+000, 8.9490394E+000, 1.1079491E+001
