s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,
Time,"SPK_1","TC_1_1","TC_1_2","TC_1_3","TC_1_4","TC_1_5","SPK_2","TC_2_1","TC_2_2","TC_2_3","TC_2_4","TC_2_5","SPK_3","TC_3_1","TC_3_2","TC_3_3","TC_3_4","TC_3_5","SPK_4","TC_4_1","TC_4_2","TC_4_3","TC_4_4","TC_4_5","Acts"
 0.000E+00, 2.800E+01, 2.800E+01, 2.800E+01, 2.800E+01, 2.800E+01, 2.800E+01, 2.800E+01, 2.800E+01, 2.800E+01, 2.800E+01, 2.800E+01, 2.800E+01, 2.800E+01, 2.800E+01, 2.800E+01, 2.800E+01, 2.800E+01, 2.800E+01, 2.800E+01, 2.800E+01, 2.800E+01, 2.800E+01, 2.800E+01, 2.800E+01, 0.000E+00
 4.007E+00, 2.800E+01, 2.800E+01, 2.800E+01, 2.800E+01, 2.800E+01, 2.800E+01, 2.800E+01, 2.800E+01, 2.800E+01, 2.800E+01, 2.800E+01, 2.800E+01, 2.800E+01, 2.800E+01, 2.800E+01, 2.800E+01, 2.800E+01, 2.800E+01, 2.800E+01, 2.800E+01, 2.800E+01, 2.800E+01, 2.800E+01, 2.800E+01, 0.000E+00
 8.005E+00, 2.800E+01, 2.802E+01, 2.802E+01, 2.820E+01, 2.924E+01, 2.803E+01, 2.800E+01, 2.802E+01, 2.802E+01, 2.803E+01, 2.951E+01, 2.803E+01, 2.800E+01, 2.802E+01, 2.802E+01, 2.802E+01, 2.803E+01, 2.804E+01, 2.800E+01, 2.802E+01, 2.802E+01, 2.802E+01, 2.803E+01, 2.804E+01, 0.000E+00
 1.200E+01, 2.808E+01, 3.350E+01, 3.460E+01, 3.527E+01, 3.392E+01, 2.806E+01, 2.815E+01, 3.675E+01, 3.510E+01, 3.284E+01, 3.438E+01, 2.806E+01, 2.800E+01, 2.805E+01, 2.805E+01, 2.805E+01, 2.807E+01, 2.810E+01, 2.800E+01, 2.805E+01, 2.805E+01, 2.805E+01, 2.807E+01, 2.810E+01, 0.000E+00
 1.600E+01, 2.865E+01, 4.710E+01, 4.685E+01, 4.560E+01, 3.705E+01, 2.811E+01, 2.885E+01, 4.559E+01, 4.421E+01, 4.134E+01, 3.714E+01, 2.811E+01, 2.800E+01, 2.812E+01, 2.809E+01, 2.809E+01, 2.813E+01, 2.817E+01, 2.800E+01, 2.809E+01, 2.809E+01, 2.810E+01, 2.812E+01, 2.817E+01, 0.000E+00
 2.000E+01, 2.979E+01, 4.993E+01, 5.050E+01, 5.172E+01, 5.147E+01, 2.820E+01, 2.972E+01, 4.961E+01, 5.121E+01, 4.895E+01, 4.272E+01, 2.820E+01, 2.800E+01, 2.828E+01, 2.847E+01, 2.837E+01, 2.825E+01, 2.824E+01, 2.801E+01, 2.944E+01, 2.940E+01, 2.935E+01, 2.854E+01, 2.824E+01, 0.000E+00
 2.400E+01, 3.082E+01, 5.726E+01, 5.712E+01, 5.724E+01, 5.495E+01, 2.833E+01, 3.074E+01, 5.388E+01, 5.431E+01, 5.267E+01, 5.057E+01, 2.832E+01, 2.820E+01, 3.847E+01, 4.064E+01, 4.008E+01, 3.773E+01, 2.833E+01, 2.828E+01, 3.695E+01, 3.700E+01, 3.669E+01, 3.612E+01, 2.833E+01, 0.000E+00
 2.800E+01, 3.197E+01, 6.504E+01, 6.439E+01, 6.491E+01, 6.099E+01, 2.854E+01, 3.211E+01, 6.115E+01, 5.821E+01, 5.078E+01, 4.868E+01, 2.852E+01, 2.883E+01, 4.377E+01, 4.637E+01, 4.561E+01, 3.884E+01, 2.946E+01, 2.882E+01, 4.204E+01, 4.294E+01, 4.203E+01, 4.007E+01, 3.040E+01, 0.000E+00
 3.201E+01, 3.384E+01, 7.047E+01, 7.189E+01, 7.324E+01, 6.566E+01, 2.881E+01, 3.371E+01, 6.568E+01, 6.421E+01, 5.692E+01, 5.753E+01, 2.878E+01, 2.947E+01, 4.795E+01, 5.040E+01, 4.992E+01, 4.643E+01, 3.339E+01, 2.948E+01, 4.572E+01, 4.872E+01, 4.849E+01, 4.676E+01, 3.394E+01, 0.000E+00
 3.600E+01, 3.588E+01, 7.563E+01, 7.733E+01, 7.373E+01, 6.799E+01, 3.075E+01, 3.548E+01, 7.794E+01, 7.973E+01, 7.837E+01, 7.393E+01, 2.960E+01, 3.032E+01, 5.296E+01, 5.663E+01, 5.669E+01, 5.256E+01, 3.224E+01, 3.022E+01, 5.181E+01, 5.500E+01, 5.428E+01, 5.394E+01, 3.584E+01, 0.000E+00
 4.000E+01, 3.785E+01, 8.208E+01, 8.168E+01, 7.640E+01, 7.343E+01, 3.307E+01, 3.797E+01, 8.684E+01, 8.723E+01, 8.071E+01, 7.303E+01, 3.274E+01, 3.147E+01, 5.961E+01, 6.371E+01, 6.291E+01, 5.716E+01, 3.526E+01, 3.120E+01, 5.573E+01, 6.391E+01, 6.426E+01, 5.733E+01, 3.285E+01, 0.000E+00
 4.400E+01, 4.015E+01, 8.669E+01, 8.616E+01, 8.234E+01, 8.165E+01, 3.580E+01, 4.067E+01, 9.233E+01, 9.367E+01, 9.292E+01, 8.774E+01, 3.622E+01, 3.292E+01, 6.357E+01, 6.721E+01, 6.672E+01, 6.006E+01, 3.630E+01, 3.217E+01, 6.214E+01, 6.820E+01, 6.834E+01, 6.709E+01, 3.476E+01, 0.000E+00
 4.801E+01, 4.318E+01, 9.835E+01, 9.812E+01, 9.874E+01, 9.158E+01, 3.874E+01, 4.311E+01, 9.686E+01, 9.848E+01, 9.505E+01, 9.665E+01, 3.878E+01, 3.429E+01, 6.711E+01, 7.398E+01, 7.396E+01, 6.973E+01, 3.669E+01, 3.366E+01, 6.797E+01, 7.454E+01, 7.434E+01, 7.183E+01, 4.089E+01, 0.000E+00
 5.201E+01, 4.610E+01, 1.053E+02, 1.062E+02, 1.050E+02, 1.034E+02, 4.182E+01, 4.619E+01, 1.027E+02, 1.040E+02, 1.080E+02, 1.066E+02, 3.893E+01, 3.569E+01, 6.857E+01, 7.975E+01, 8.013E+01, 7.524E+01, 4.308E+01, 3.496E+01, 6.623E+01, 7.906E+01, 7.955E+01, 7.513E+01, 4.333E+01, 0.000E+00
 5.601E+01, 4.976E+01, 1.140E+02, 1.138E+02, 1.113E+02, 1.093E+02, 4.623E+01, 4.996E+01, 1.161E+02, 1.165E+02, 1.144E+02, 1.100E+02, 4.645E+01, 3.696E+01, 7.154E+01, 8.255E+01, 8.281E+01, 8.094E+01, 5.228E+01, 3.664E+01, 7.519E+01, 8.624E+01, 8.590E+01, 8.122E+01, 4.723E+01, 0.000E+00
