s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,
Time,"SPK_1","TC_1_1","TC_1_2","TC_1_3","TC_1_4","TC_1_5","SPK_2","TC_2_1","TC_2_2","TC_2_3","TC_2_4","TC_2_5","SPK_3","TC_3_1","TC_3_2","TC_3_3","TC_3_4","TC_3_5","SPK_4","TC_4_1","TC_4_2","TC_4_3","TC_4_4","TC_4_5","Acts"
 0.000E+00, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 0.000E+00
 4.005E+00, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 0.000E+00
 8.013E+00, 2.017E+01, 2.795E+01, 2.474E+01, 2.015E+01, 2.002E+01, 2.002E+01, 2.023E+01, 3.111E+01, 2.479E+01, 2.010E+01, 2.002E+01, 2.002E+01, 2.040E+01, 3.457E+01, 2.779E+01, 2.012E+01, 2.003E+01, 2.003E+01, 2.032E+01, 3.369E+01, 2.661E+01, 2.013E+01, 2.003E+01, 2.003E+01, 0.000E+00
 1.201E+01, 2.128E+01, 4.138E+01, 3.151E+01, 2.029E+01, 2.005E+01, 2.006E+01, 2.169E+01, 4.586E+01, 3.266E+01, 2.028E+01, 2.005E+01, 2.006E+01, 2.197E+01, 4.280E+01, 2.983E+01, 2.023E+01, 2.007E+01, 2.008E+01, 2.197E+01, 4.549E+01, 3.226E+01, 2.033E+01, 2.007E+01, 2.007E+01, 0.000E+00
 1.600E+01, 2.308E+01, 4.837E+01, 3.692E+01, 2.464E+01, 2.105E+01, 2.011E+01, 2.378E+01, 4.995E+01, 3.930E+01, 2.632E+01, 2.273E+01, 2.012E+01, 2.404E+01, 5.238E+01, 4.146E+01, 2.890E+01, 2.317E+01, 2.023E+01, 2.418E+01, 5.311E+01, 4.124E+01, 2.656E+01, 2.243E+01, 2.026E+01, 0.000E+00
 2.001E+01, 2.539E+01, 5.618E+01, 4.713E+01, 3.548E+01, 2.839E+01, 2.570E+01, 2.631E+01, 5.804E+01, 4.834E+01, 3.347E+01, 2.872E+01, 2.079E+01, 2.673E+01, 6.655E+01, 5.419E+01, 3.514E+01, 2.778E+01, 2.170E+01, 2.719E+01, 6.635E+01, 5.484E+01, 3.423E+01, 2.717E+01, 2.380E+01, 0.000E+00
 2.401E+01, 2.796E+01, 6.677E+01, 5.762E+01, 4.534E+01, 3.603E+01, 2.628E+01, 2.935E+01, 6.904E+01, 6.059E+01, 4.249E+01, 3.246E+01, 2.468E+01, 3.025E+01, 7.371E+01, 6.241E+01, 4.825E+01, 3.437E+01, 2.242E+01, 3.086E+01, 7.468E+01, 6.556E+01, 4.593E+01, 3.251E+01, 2.145E+01, 0.000E+00
 2.801E+01, 3.179E+01, 7.683E+01, 6.267E+01, 4.748E+01, 4.060E+01, 3.174E+01, 3.258E+01, 7.059E+01, 6.224E+01, 4.694E+01, 4.073E+01, 3.598E+01, 3.470E+01, 8.663E+01, 7.757E+01, 6.036E+01, 4.309E+01, 2.494E+01, 3.496E+01, 8.442E+01, 7.482E+01, 5.552E+01, 3.893E+01, 2.558E+01, 0.000E+00
 3.201E+01, 3.574E+01, 8.460E+01, 7.583E+01, 5.875E+01, 5.163E+01, 4.221E+01, 3.607E+01, 7.955E+01, 7.036E+01, 5.843E+01, 5.118E+01, 4.188E+01, 3.987E+01, 9.332E+01, 8.690E+01, 6.296E+01, 4.611E+01, 2.878E+01, 3.938E+01, 9.389E+01, 8.274E+01, 6.260E+01, 4.389E+01, 3.049E+01, 0.000E+00
