s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,
Time,"SPK_1","TC_1_1","TC_1_2","TC_1_3","TC_1_4","TC_1_5","SPK_2","TC_2_1","TC_2_2","TC_2_3","TC_2_4","TC_2_5","SPK_3","TC_3_1","TC_3_2","TC_3_3","TC_3_4","TC_3_5","SPK_4","TC_4_1","TC_4_2","TC_4_3","TC_4_4","TC_4_5","Acts"
 5.602E+01, 3.328E+01, 4.929E+01, 4.925E+01, 4.640E+01, 4.258E+01, 2.718E+01, 3.750E+01, 5.510E+01, 5.429E+01, 5.331E+01, 4.059E+01, 2.730E+01, 2.794E+01, 3.614E+01, 3.600E+01, 3.290E+01, 3.007E+01, 2.893E+01, 2.880E+01, 3.777E+01, 3.898E+01, 3.787E+01, 3.328E+01, 2.711E+01, 0.000E+00
 6.001E+01, 3.436E+01, 5.086E+01, 5.058E+01, 4.917E+01, 4.710E+01, 2.720E+01, 3.893E+01, 5.746E+01, 5.709E+01, 5.483E+01, 4.452E+01, 2.736E+01, 2.833E+01, 3.671E+01, 3.713E+01, 3.497E+01, 3.020E+01, 2.927E+01, 2.920E+01, 4.128E+01, 4.155E+01, 3.841E+01, 3.430E+01, 2.711E+01, 0.000E+00
 6.400E+01, 3.541E+01, 5.369E+01, 5.354E+01, 5.240E+01, 4.602E+01, 2.722E+01, 4.027E+01, 5.674E+01, 5.606E+01, 5.382E+01, 4.236E+01, 2.780E+01, 2.872E+01, 3.794E+01, 3.864E+01, 3.772E+01, 3.440E+01, 2.883E+01, 2.962E+01, 4.034E+01, 4.124E+01, 4.015E+01, 3.443E+01, 2.712E+01, 0.000E+00
 6.802E+01, 3.654E+01, 5.263E+01, 5.272E+01, 5.188E+01, 4.829E+01, 2.726E+01, 4.179E+01, 6.221E+01, 6.178E+01, 5.981E+01, 4.567E+01, 3.009E+01, 2.906E+01, 3.663E+01, 3.845E+01, 3.845E+01, 3.531E+01, 3.085E+01, 3.000E+01, 4.200E+01, 4.374E+01, 4.346E+01, 4.047E+01, 2.717E+01, 0.000E+00
 7.202E+01, 3.764E+01, 5.787E+01, 5.741E+01, 5.623E+01, 5.013E+01, 2.737E+01, 4.365E+01, 6.619E+01, 6.535E+01, 6.156E+01, 4.611E+01, 3.092E+01, 2.934E+01, 3.800E+01, 3.932E+01, 3.973E+01, 3.547E+01, 3.034E+01, 3.055E+01, 4.245E+01, 4.212E+01, 3.995E+01, 3.937E+01, 2.717E+01, 0.000E+00
 7.602E+01, 3.890E+01, 5.845E+01, 5.849E+01, 5.649E+01, 5.244E+01, 2.739E+01, 4.535E+01, 6.574E+01, 6.558E+01, 6.431E+01, 5.331E+01, 3.023E+01, 2.976E+01, 4.099E+01, 4.156E+01, 4.040E+01, 3.620E+01, 2.936E+01, 3.120E+01, 4.794E+01, 4.862E+01, 4.639E+01, 4.142E+01, 2.724E+01, 0.000E+00
 8.001E+01, 4.013E+01, 5.997E+01, 6.019E+01, 5.921E+01, 5.464E+01, 2.740E+01, 4.715E+01, 6.713E+01, 6.540E+01, 6.295E+01, 4.988E+01, 3.094E+01, 3.034E+01, 4.273E+01, 4.340E+01, 4.234E+01, 3.662E+01, 2.910E+01, 3.178E+01, 4.749E+01, 4.892E+01, 4.860E+01, 4.438E+01, 2.734E+01, 0.000E+00
 8.401E+01, 4.159E+01, 6.368E+01, 6.284E+01, 6.059E+01, 5.566E+01, 2.874E+01, 4.890E+01, 7.293E+01, 7.222E+01, 6.851E+01, 5.229E+01, 3.385E+01, 3.095E+01, 4.463E+01, 4.546E+01, 4.321E+01, 3.808E+01, 2.917E+01, 3.247E+01, 4.921E+01, 5.125E+01, 4.989E+01, 4.580E+01, 2.841E+01, 0.000E+00
 8.801E+01, 4.326E+01, 6.764E+01, 6.728E+01, 6.474E+01, 5.820E+01, 3.166E+01, 5.101E+01, 7.380E+01, 7.323E+01, 7.117E+01, 5.325E+01, 3.331E+01, 3.162E+01, 4.562E+01, 4.731E+01, 4.581E+01, 4.269E+01, 3.366E+01, 3.319E+01, 4.888E+01, 4.963E+01, 4.802E+01, 4.722E+01, 3.061E+01, 0.000E+00
 9.200E+01, 4.492E+01, 6.775E+01, 6.722E+01, 6.629E+01, 6.157E+01, 3.084E+01, 5.298E+01, 7.688E+01, 7.569E+01, 7.092E+01, 5.428E+01, 3.482E+01, 3.232E+01, 4.708E+01, 4.959E+01, 4.830E+01, 4.465E+01, 3.351E+01, 3.404E+01, 5.414E+01, 5.491E+01, 5.347E+01, 4.775E+01, 3.095E+01, 0.000E+00
 9.602E+01, 4.663E+01, 7.292E+01, 7.201E+01, 6.945E+01, 6.254E+01, 3.314E+01, 5.512E+01, 8.126E+01, 7.973E+01, 7.539E+01, 5.711E+01, 3.646E+01, 3.299E+01, 4.848E+01, 5.009E+01, 4.938E+01, 4.572E+01, 3.430E+01, 3.517E+01, 5.602E+01, 5.567E+01, 5.299E+01, 4.826E+01, 3.127E+01, 0.000E+00
 1.000E+02, 4.850E+01, 7.214E+01, 7.290E+01, 7.185E+01, 6.593E+01, 3.294E+01, 5.714E+01, 7.881E+01, 7.806E+01, 7.543E+01, 5.843E+01, 3.679E+01, 3.383E+01, 5.071E+01, 5.282E+01, 5.053E+01, 4.770E+01, 3.808E+01, 3.617E+01, 5.677E+01, 5.973E+01, 5.966E+01, 5.207E+01, 3.298E+01, 0.000E+00
 1.040E+02, 5.016E+01, 7.432E+01, 7.354E+01, 7.142E+01, 6.708E+01, 3.343E+01, 5.886E+01, 7.985E+01, 7.916E+01, 7.726E+01, 6.682E+01, 3.576E+01, 3.452E+01, 5.122E+01, 5.378E+01, 5.284E+01, 4.942E+01, 3.640E+01, 3.705E+01, 6.130E+01, 6.330E+01, 6.007E+01, 5.306E+01, 3.400E+01, 0.000E+00
 1.080E+02, 5.186E+01, 7.850E+01, 7.823E+01, 7.657E+01, 6.956E+01, 3.525E+01, 6.094E+01, 8.844E+01, 8.669E+01, 8.567E+01, 6.488E+01, 3.778E+01, 3.523E+01, 5.456E+01, 5.671E+01, 5.670E+01, 5.212E+01, 3.298E+01, 3.807E+01, 6.195E+01, 6.291E+01, 5.811E+01, 5.524E+01, 3.575E+01, 0.000E+00
 1.120E+02, 5.381E+01, 7.828E+01, 7.904E+01, 7.772E+01, 7.258E+01, 3.709E+01, 6.322E+01, 8.825E+01, 8.612E+01, 8.466E+01, 6.884E+01, 3.897E+01, 3.613E+01, 5.614E+01, 5.939E+01, 5.787E+01, 5.372E+01, 3.411E+01, 3.917E+01, 6.232E+01, 6.432E+01, 6.360E+01, 5.701E+01, 3.630E+01, 0.000E+00
 1.160E+02, 5.557E+01, 7.943E+01, 8.020E+01, 7.890E+01, 7.462E+01, 3.693E+01, 6.560E+01, 9.538E+01, 9.515E+01, 9.208E+01, 7.239E+01, 3.995E+01, 3.708E+01, 5.687E+01, 5.932E+01, 5.852E+01, 5.445E+01, 4.257E+01, 4.038E+01, 6.425E+01, 6.448E+01, 6.147E+01, 5.809E+01, 3.636E+01, 0.000E+00
 1.200E+02, 5.727E+01, 8.277E+01, 8.088E+01, 7.971E+01, 7.675E+01, 3.833E+01, 6.784E+01, 9.123E+01, 9.052E+01, 8.766E+01, 7.071E+01, 4.217E+01, 3.799E+01, 5.961E+01, 6.226E+01, 6.108E+01, 5.606E+01, 4.259E+01, 4.166E+01, 6.746E+01, 6.940E+01, 6.756E+01, 6.116E+01, 3.786E+01, 0.000E+00
 1.240E+02, 5.916E+01, 8.775E+01, 8.779E+01, 8.571E+01, 7.690E+01, 3.867E+01, 7.003E+01, 9.621E+01, 9.619E+01, 9.385E+01, 7.575E+01, 4.562E+01, 3.915E+01, 6.153E+01, 6.352E+01, 6.191E+01, 5.638E+01, 4.289E+01, 4.286E+01, 6.866E+01, 6.930E+01, 6.789E+01, 6.093E+01, 3.619E+01, 0.000E+00
