s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,
Time,"SPK_1","TC_1_1","TC_1_2","TC_1_3","TC_1_4","TC_1_5","SPK_2","TC_2_1","TC_2_2","TC_2_3","TC_2_4","TC_2_5","SPK_3","TC_3_1","TC_3_2","TC_3_3","TC_3_4","TC_3_5","SPK_4","TC_4_1","TC_4_2","TC_4_3","TC_4_4","TC_4_5","Acts"
 5.600E+01, 6.450E+01, 1.288E+02, 1.262E+02, 1.137E+02, 9.363E+01, 7.626E+01, 1.121E+02, 2.127E+02, 1.809E+02, 1.170E+02, 7.798E+01, 6.301E+01, 7.252E+01, 1.437E+02, 1.369E+02, 1.129E+02, 7.899E+01, 6.317E+01, 5.449E+01, 1.229E+02, 1.217E+02, 1.058E+02, 9.189E+01, 8.706E+01, 0.000E+00
 6.001E+01, 7.074E+01, 1.469E+02, 1.406E+02, 1.142E+02, 9.903E+01, 8.504E+01, 1.253E+02, 2.400E+02, 1.944E+02, 1.134E+02, 8.326E+01, 7.280E+01, 7.937E+01, 1.581E+02, 1.461E+02, 1.241E+02, 8.395E+01, 6.902E+01, 5.967E+01, 1.243E+02, 1.229E+02, 1.080E+02, 1.004E+02, 9.003E+01, 0.000E+00
 6.401E+01, 7.720E+01, 1.543E+02, 1.463E+02, 1.181E+02, 1.105E+02, 9.270E+01, 1.405E+02, 2.513E+02, 2.091E+02, 1.316E+02, 9.699E+01, 8.424E+01, 8.792E+01, 1.819E+02, 1.734E+02, 1.393E+02, 9.636E+01, 7.565E+01, 6.454E+01, 1.313E+02, 1.303E+02, 1.187E+02, 1.056E+02, 9.912E+01, 0.000E+00
 6.800E+01, 8.422E+01, 1.662E+02, 1.610E+02, 1.453E+02, 1.238E+02, 1.093E+02, 1.580E+02, 2.989E+02, 2.398E+02, 1.623E+02, 1.006E+02, 9.192E+01, 9.862E+01, 2.035E+02, 1.918E+02, 1.518E+02, 1.032E+02, 8.009E+01, 7.110E+01, 1.606E+02, 1.563E+02, 1.333E+02, 1.144E+02, 1.075E+02, 0.000E+00
 7.200E+01, 9.224E+01, 1.812E+02, 1.794E+02, 1.556E+02, 1.329E+02, 1.098E+02, 1.793E+02, 3.378E+02, 2.619E+02, 1.596E+02, 1.103E+02, 9.537E+01, 1.093E+02, 2.235E+02, 2.097E+02, 1.733E+02, 1.120E+02, 8.883E+01, 7.899E+01, 1.694E+02, 1.659E+02, 1.550E+02, 1.285E+02, 1.243E+02, 0.000E+00
 7.601E+01, 1.012E+02, 2.000E+02, 1.983E+02, 1.694E+02, 1.450E+02, 1.182E+02, 2.006E+02, 3.565E+02, 2.945E+02, 1.810E+02, 1.237E+02, 1.115E+02, 1.224E+02, 2.497E+02, 2.381E+02, 1.829E+02, 1.228E+02, 9.920E+01, 8.687E+01, 1.885E+02, 1.879E+02, 1.684E+02, 1.377E+02, 1.300E+02, 0.000E+00
 8.000E+01, 1.110E+02, 2.090E+02, 2.026E+02, 1.829E+02, 1.588E+02, 1.155E+02, 2.249E+02, 3.884E+02, 3.287E+02, 2.003E+02, 1.383E+02, 1.195E+02, 1.372E+02, 2.675E+02, 2.487E+02, 1.874E+02, 1.283E+02, 1.077E+02, 9.605E+01, 1.958E+02, 1.934E+02, 1.659E+02, 1.510E+02, 1.434E+02, 0.000E+00
 8.400E+01, 1.210E+02, 2.419E+02, 2.346E+02, 2.077E+02, 1.703E+02, 1.464E+02, 2.495E+02, 4.252E+02, 3.455E+02, 1.950E+02, 1.454E+02, 1.249E+02, 1.516E+02, 2.686E+02, 2.541E+02, 2.186E+02, 1.413E+02, 1.122E+02, 1.047E+02, 2.104E+02, 2.100E+02, 1.896E+02, 1.727E+02, 1.532E+02, 0.000E+00
 8.801E+01, 1.332E+02, 2.390E+02, 2.357E+02, 2.079E+02, 1.810E+02, 1.554E+02, 2.734E+02, 4.391E+02, 3.431E+02, 2.223E+02, 1.573E+02, 1.347E+02, 1.655E+02, 2.985E+02, 2.771E+02, 2.293E+02, 1.480E+02, 1.158E+02, 1.136E+02, 2.209E+02, 2.199E+02, 2.060E+02, 1.792E+02, 1.570E+02, 0.000E+00
 9.200E+01, 1.442E+02, 2.670E+02, 2.535E+02, 2.235E+02, 1.944E+02, 1.723E+02, 3.024E+02, 4.937E+02, 4.035E+02, 2.544E+02, 1.627E+02, 1.373E+02, 1.807E+02, 3.156E+02, 2.995E+02, 2.333E+02, 1.639E+02, 1.362E+02, 1.234E+02, 2.373E+02, 2.289E+02, 2.097E+02, 1.881E+02, 1.660E+02, 0.000E+00
 9.601E+01, 1.574E+02, 2.861E+02, 2.825E+02, 2.441E+02, 2.011E+02, 1.781E+02, 3.341E+02, 5.567E+02, 4.622E+02, 2.784E+02, 1.755E+02, 1.467E+02, 1.962E+02, 3.165E+02, 3.032E+02, 2.476E+02, 1.674E+02, 1.395E+02, 1.342E+02, 2.571E+02, 2.506E+02, 2.127E+02, 1.991E+02, 1.771E+02, 0.000E+00
 1.000E+02, 1.710E+02, 2.924E+02, 2.849E+02, 2.496E+02, 2.166E+02, 1.806E+02, 3.714E+02, 5.956E+02, 4.628E+02, 2.736E+02, 1.896E+02, 1.562E+02, 2.111E+02, 3.472E+02, 3.190E+02, 2.614E+02, 1.785E+02, 1.467E+02, 1.452E+02, 2.524E+02, 2.483E+02, 2.350E+02, 2.138E+02, 1.977E+02, 0.000E+00
 1.040E+02, 1.835E+02, 3.047E+02, 2.877E+02, 2.449E+02, 2.162E+02, 1.992E+02, 4.031E+02, 6.021E+02, 4.913E+02, 2.753E+02, 1.975E+02, 1.602E+02, 2.294E+02, 3.873E+02, 3.703E+02, 2.962E+02, 1.896E+02, 1.516E+02, 1.542E+02, 2.614E+02, 2.613E+02, 2.502E+02, 2.145E+02, 1.939E+02, 0.000E+00
 1.080E+02, 1.963E+02, 3.131E+02, 2.952E+02, 2.576E+02, 2.249E+02, 1.926E+02, 4.348E+02, 6.088E+02, 4.924E+02, 2.753E+02, 2.029E+02, 1.724E+02, 2.478E+02, 3.912E+02, 3.570E+02, 2.608E+02, 1.899E+02, 1.641E+02, 1.668E+02, 3.009E+02, 3.006E+02, 2.683E+02, 2.326E+02, 2.015E+02, 0.000E+00
 1.120E+02, 2.079E+02, 3.099E+02, 2.990E+02, 2.586E+02, 2.259E+02, 2.050E+02, 4.602E+02, 6.184E+02, 5.168E+02, 2.989E+02, 2.137E+02, 1.807E+02, 2.642E+02, 3.919E+02, 3.601E+02, 2.738E+02, 1.796E+02, 1.649E+02, 1.777E+02, 2.928E+02, 2.995E+02, 2.634E+02, 2.395E+02, 2.194E+02, 0.000E+00
 1.160E+02, 2.190E+02, 3.268E+02, 3.130E+02, 2.724E+02, 2.315E+02, 2.022E+02, 4.837E+02, 6.269E+02, 5.420E+02, 2.871E+02, 2.104E+02, 1.713E+02, 2.786E+02, 3.718E+02, 3.296E+02, 2.904E+02, 2.006E+02, 1.645E+02, 1.875E+02, 2.793E+02, 2.763E+02, 2.564E+02, 2.258E+02, 2.084E+02, 0.000E+00
 1.200E+02, 2.287E+02, 3.082E+02, 3.062E+02, 2.568E+02, 2.341E+02, 1.974E+02, 4.996E+02, 5.591E+02, 4.688E+02, 3.042E+02, 2.110E+02, 1.753E+02, 2.908E+02, 3.974E+02, 3.673E+02, 2.905E+02, 2.191E+02, 1.705E+02, 1.952E+02, 2.785E+02, 2.804E+02, 2.589E+02, 2.287E+02, 2.062E+02, 0.000E+00
