s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,
Time,"SPK_1","TC_1_1","TC_1_2","TC_1_3","TC_1_4","TC_1_5","SPK_2","TC_2_1","TC_2_2","TC_2_3","TC_2_4","TC_2_5","SPK_3","TC_3_1","TC_3_2","TC_3_3","TC_3_4","TC_3_5","SPK_4","TC_4_1","TC_4_2","TC_4_3","TC_4_4","TC_4_5","Acts"
 0.000E+00, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 0.000E+00
 4.031E+00, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 0.000E+00
 8.027E+00, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 0.000E+00
 1.202E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.702E+01, 2.781E+01, 2.845E+01, 2.863E+01, 2.701E+01, 2.700E+01, 2.701E+01, 2.795E+01, 2.867E+01, 2.857E+01, 2.701E+01, 0.000E+00
 1.603E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.701E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.701E+01, 2.716E+01, 3.497E+01, 3.168E+01, 3.017E+01, 2.975E+01, 2.702E+01, 2.713E+01, 3.449E+01, 3.160E+01, 3.047E+01, 3.052E+01, 2.702E+01, 0.000E+00
 2.001E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.701E+01, 2.701E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.701E+01, 2.701E+01, 2.755E+01, 3.486E+01, 3.056E+01, 2.930E+01, 2.706E+01, 2.703E+01, 2.757E+01, 3.683E+01, 3.211E+01, 2.969E+01, 2.712E+01, 2.702E+01, 0.000E+00
 2.400E+01, 2.700E+01, 2.705E+01, 2.708E+01, 2.761E+01, 2.823E+01, 2.702E+01, 2.701E+01, 2.815E+01, 2.858E+01, 2.934E+01, 2.994E+01, 2.702E+01, 2.786E+01, 3.703E+01, 3.555E+01, 3.302E+01, 2.708E+01, 2.704E+01, 2.798E+01, 3.770E+01, 3.256E+01, 3.025E+01, 2.705E+01, 2.703E+01, 0.000E+00
 2.800E+01, 2.702E+01, 2.909E+01, 2.971E+01, 3.073E+01, 3.013E+01, 2.702E+01, 2.710E+01, 3.073E+01, 3.142E+01, 3.042E+01, 2.976E+01, 2.702E+01, 2.827E+01, 3.959E+01, 3.231E+01, 2.950E+01, 2.707E+01, 2.705E+01, 2.849E+01, 4.203E+01, 3.351E+01, 2.988E+01, 2.707E+01, 2.705E+01, 0.000E+00
 3.202E+01, 2.712E+01, 3.082E+01, 3.152E+01, 3.154E+01, 2.982E+01, 2.732E+01, 2.725E+01, 3.223E+01, 3.224E+01, 3.124E+01, 3.097E+01, 2.713E+01, 2.887E+01, 4.201E+01, 3.455E+01, 2.962E+01, 2.706E+01, 2.708E+01, 2.916E+01, 4.090E+01, 3.420E+01, 3.090E+01, 2.713E+01, 2.707E+01, 0.000E+00
