s,status,status,status,status
Time,"Act4","Act3","Act2","Act1"
 0.000E+00,-1,-1,-1,-1
 1.659E-01,-1,-1,-1,-1
 2.489E-01,-1,-1,-1,-1
 4.148E-01,-1,-1,-1,-1
 4.977E-01,-1,-1,-1,-1
 6.636E-01,-1,-1,-1,-1
 7.466E-01,-1,-1,-1,-1
 9.125E-01,-1,-1,-1,-1
 9.954E-01,-1,-1,-1,-1
 1.161E+00,-1,-1,-1,-1
 1.244E+00,-1,-1,-1,-1
 1.327E+00,-1,-1,-1,-1
 1.481E+00,-1,-1,-1,-1
 1.607E+00,-1,-1,-1,-1
 1.725E+00,-1,-1,-1,-1
 1.820E+00,-1,-1,-1,-1
 1.950E+00,-1,-1,-1,-1
 2.060E+00,-1,-1,-1,-1
 2.190E+00,-1,-1,-1,-1
 2.305E+00,-1,-1,-1,-1
 2.408E+00,-1,-1,-1,-1
 2.530E+00,-1,-1,-1,-1
 2.648E+00,-1,-1,-1,-1
 2.775E+00,-1,-1,-1,-1
 2.903E+00,-1,-1,-1,-1
 3.005E+00,-1,-1,-1,-1
 3.139E+00,-1,-1,-1,-1
 3.252E+00,-1,-1,-1,-1
 3.364E+00,-1,-1,-1,-1
 3.489E+00,-1,-1,-1,-1
 3.608E+00,-1,-1,-1,-1
 3.728E+00,-1,-1,-1,-1
 3.847E+00,-1,-1,-1,-1
 3.967E+00,-1,-1,-1,-1
 4.086E+00,-1,-1,-1,-1
 4.204E+00,-1,-1,-1,-1
 4.334E+00,-1,-1,-1,-1
 4.451E+00,-1,-1,-1,-1
 4.572E+00,-1,-1,-1,-1
 4.687E+00,-1,-1,-1,-1
 4.811E+00,-1,-1,-1,-1
 4.923E+00,-1,-1,-1,-1
 5.042E+00,-1,-1,-1,-1
 5.162E+00,-1,-1,-1,-1
 5.295E+00,-1,-1,-1,-1
 5.404E+00,-1,-1,-1,-1
 5.522E+00,-1,-1,-1,-1
 5.643E+00,-1,-1,-1,-1
