s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,
Time,"SPK_1","TC_1_1","TC_1_2","TC_1_3","TC_1_4","TC_1_5","SPK_2","TC_2_1","TC_2_2","TC_2_3","TC_2_4","TC_2_5","SPK_3","TC_3_1","TC_3_2","TC_3_3","TC_3_4","TC_3_5","SPK_4","TC_4_1","TC_4_2","TC_4_3","TC_4_4","TC_4_5","Acts"
 0.000E+00, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 0.000E+00
 4.016E+00, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.701E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 0.000E+00
 8.013E+00, 2.700E+01, 2.700E+01, 2.701E+01, 2.701E+01, 2.701E+01, 2.702E+01, 2.733E+01, 4.076E+01, 4.011E+01, 3.694E+01, 2.831E+01, 2.707E+01, 2.700E+01, 2.701E+01, 2.701E+01, 2.701E+01, 2.701E+01, 2.702E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.701E+01, 0.000E+00
 1.201E+01, 2.700E+01, 2.759E+01, 2.841E+01, 2.912E+01, 2.803E+01, 2.705E+01, 2.893E+01, 4.944E+01, 4.824E+01, 4.540E+01, 3.600E+01, 2.715E+01, 2.700E+01, 2.703E+01, 2.703E+01, 2.703E+01, 2.702E+01, 2.704E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.701E+01, 2.702E+01, 0.000E+00
 1.601E+01, 2.727E+01, 3.953E+01, 4.037E+01, 4.270E+01, 3.473E+01, 2.709E+01, 3.121E+01, 6.597E+01, 6.539E+01, 6.005E+01, 4.769E+01, 2.722E+01, 2.700E+01, 2.705E+01, 2.705E+01, 2.705E+01, 2.704E+01, 2.708E+01, 2.700E+01, 2.701E+01, 2.701E+01, 2.701E+01, 2.701E+01, 2.704E+01, 0.000E+00
 2.001E+01, 2.809E+01, 4.562E+01, 4.535E+01, 4.538E+01, 4.332E+01, 2.715E+01, 3.476E+01, 7.159E+01, 7.012E+01, 6.236E+01, 5.279E+01, 2.732E+01, 2.700E+01, 2.709E+01, 2.708E+01, 2.708E+01, 2.706E+01, 2.714E+01, 2.700E+01, 2.701E+01, 2.702E+01, 2.702E+01, 2.703E+01, 2.706E+01, 0.000E+00
 2.400E+01, 2.900E+01, 5.418E+01, 5.487E+01, 5.702E+01, 5.140E+01, 2.719E+01, 3.842E+01, 7.834E+01, 7.573E+01, 6.802E+01, 5.792E+01, 2.744E+01, 2.700E+01, 2.732E+01, 2.710E+01, 2.710E+01, 2.709E+01, 2.719E+01, 2.717E+01, 3.475E+01, 3.625E+01, 3.646E+01, 3.548E+01, 2.710E+01, 0.000E+00
 2.800E+01, 3.021E+01, 5.887E+01, 5.961E+01, 6.104E+01, 5.548E+01, 2.728E+01, 4.220E+01, 8.739E+01, 8.677E+01, 8.242E+01, 7.263E+01, 2.758E+01, 2.708E+01, 3.340E+01, 2.806E+01, 2.715E+01, 2.713E+01, 2.724E+01, 2.752E+01, 3.751E+01, 4.080E+01, 4.116E+01, 4.007E+01, 3.142E+01, 0.000E+00
 3.200E+01, 3.187E+01, 6.873E+01, 6.823E+01, 6.746E+01, 5.583E+01, 2.739E+01, 4.670E+01, 9.713E+01, 9.636E+01, 9.345E+01, 8.162E+01, 2.774E+01, 2.740E+01, 4.240E+01, 3.806E+01, 3.477E+01, 3.325E+01, 2.723E+01, 2.796E+01, 4.121E+01, 4.593E+01, 4.542E+01, 4.289E+01, 3.206E+01, 0.000E+00
