s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,
Time,"SPK_1","TC_1_1","TC_1_2","TC_1_3","TC_1_4","TC_1_5","SPK_2","TC_2_1","TC_2_2","TC_2_3","TC_2_4","TC_2_5","SPK_3","TC_3_1","TC_3_2","TC_3_3","TC_3_4","TC_3_5","SPK_4","TC_4_1","TC_4_2","TC_4_3","TC_4_4","TC_4_5","Acts"
 5.601E+01, 3.862E+01, 1.008E+02, 1.017E+02, 9.836E+01, 7.420E+01, 6.067E+01, 3.870E+01, 9.216E+01, 9.583E+01, 9.984E+01, 6.500E+01, 6.076E+01, 4.099E+01, 1.063E+02, 9.694E+01, 8.337E+01, 6.953E+01, 6.648E+01, 4.179E+01, 1.174E+02, 1.062E+02, 8.512E+01, 7.586E+01, 6.079E+01, 0.000E+00
 6.000E+01, 4.209E+01, 1.110E+02, 1.105E+02, 1.069E+02, 8.592E+01, 6.945E+01, 4.133E+01, 1.037E+02, 1.045E+02, 1.033E+02, 8.912E+01, 6.796E+01, 4.417E+01, 1.064E+02, 1.020E+02, 9.165E+01, 7.671E+01, 6.594E+01, 4.488E+01, 9.540E+01, 8.967E+01, 8.054E+01, 7.351E+01, 6.964E+01, 0.000E+00
 6.401E+01, 4.521E+01, 1.164E+02, 1.157E+02, 1.211E+02, 9.369E+01, 7.718E+01, 4.425E+01, 1.138E+02, 1.216E+02, 1.196E+02, 9.539E+01, 7.004E+01, 5.076E+01, 1.475E+02, 1.304E+02, 1.012E+02, 8.606E+01, 7.349E+01, 4.988E+01, 1.335E+02, 1.192E+02, 9.762E+01, 8.717E+01, 6.921E+01, 0.000E+00
 6.801E+01, 4.867E+01, 1.299E+02, 1.319E+02, 1.228E+02, 9.104E+01, 7.654E+01, 4.894E+01, 1.410E+02, 1.380E+02, 1.333E+02, 9.849E+01, 7.817E+01, 5.563E+01, 1.218E+02, 1.251E+02, 1.100E+02, 9.474E+01, 7.926E+01, 5.511E+01, 1.579E+02, 1.405E+02, 1.247E+02, 9.069E+01, 8.342E+01, 0.000E+00
 7.200E+01, 5.415E+01, 1.550E+02, 1.555E+02, 1.418E+02, 1.149E+02, 8.963E+01, 5.364E+01, 1.420E+02, 1.405E+02, 1.203E+02, 9.141E+01, 8.671E+01, 6.111E+01, 1.755E+02, 1.520E+02, 1.254E+02, 1.018E+02, 8.515E+01, 6.315E+01, 1.766E+02, 1.447E+02, 1.125E+02, 9.954E+01, 9.045E+01, 0.000E+00
 7.600E+01, 5.851E+01, 1.505E+02, 1.561E+02, 1.514E+02, 1.308E+02, 1.070E+02, 5.911E+01, 1.507E+02, 1.649E+02, 1.490E+02, 1.139E+02, 9.345E+01, 6.700E+01, 1.591E+02, 1.399E+02, 1.232E+02, 1.098E+02, 9.878E+01, 7.224E+01, 1.915E+02, 1.693E+02, 1.467E+02, 1.142E+02, 9.692E+01, 0.000E+00
 8.001E+01, 6.271E+01, 1.550E+02, 1.607E+02, 1.613E+02, 1.416E+02, 1.043E+02, 6.401E+01, 1.591E+02, 1.664E+02, 1.619E+02, 1.257E+02, 1.066E+02, 7.627E+01, 1.966E+02, 1.876E+02, 1.556E+02, 1.221E+02, 1.060E+02, 8.045E+01, 2.005E+02, 1.842E+02, 1.426E+02, 1.242E+02, 1.074E+02, 0.000E+00
 8.400E+01, 6.633E+01, 1.579E+02, 1.838E+02, 1.808E+02, 1.473E+02, 1.247E+02, 6.940E+01, 1.879E+02, 1.839E+02, 1.784E+02, 1.515E+02, 1.267E+02, 8.374E+01, 2.115E+02, 1.899E+02, 1.535E+02, 1.340E+02, 1.079E+02, 8.760E+01, 2.152E+02, 1.972E+02, 1.741E+02, 1.374E+02, 1.183E+02, 0.000E+00
 8.801E+01, 7.112E+01, 1.658E+02, 1.784E+02, 1.720E+02, 1.540E+02, 1.327E+02, 7.584E+01, 1.915E+02, 1.975E+02, 1.666E+02, 1.440E+02, 1.270E+02, 9.166E+01, 2.119E+02, 1.983E+02, 1.675E+02, 1.497E+02, 1.231E+02, 9.921E+01, 2.751E+02, 2.512E+02, 2.042E+02, 1.442E+02, 1.233E+02, 0.000E+00
 9.200E+01, 7.659E+01, 1.909E+02, 1.970E+02, 2.040E+02, 1.768E+02, 1.473E+02, 8.278E+01, 1.962E+02, 1.963E+02, 1.815E+02, 1.588E+02, 1.404E+02, 1.041E+02, 2.808E+02, 2.390E+02, 1.976E+02, 1.576E+02, 1.299E+02, 1.110E+02, 2.782E+02, 2.573E+02, 2.201E+02, 1.704E+02, 1.388E+02, 0.000E+00
 9.600E+01, 8.100E+01, 1.879E+02, 2.061E+02, 2.147E+02, 1.794E+02, 1.513E+02, 8.846E+01, 1.890E+02, 2.157E+02, 2.151E+02, 1.758E+02, 1.544E+02, 1.187E+02, 3.125E+02, 2.852E+02, 2.314E+02, 1.700E+02, 1.498E+02, 1.228E+02, 2.972E+02, 2.636E+02, 2.184E+02, 1.763E+02, 1.399E+02, 0.000E+00
 1.000E+02, 8.706E+01, 2.163E+02, 2.255E+02, 2.277E+02, 1.933E+02, 1.755E+02, 9.462E+01, 1.900E+02, 2.154E+02, 2.168E+02, 1.935E+02, 1.577E+02, 1.353E+02, 3.483E+02, 2.848E+02, 2.341E+02, 1.820E+02, 1.329E+02, 1.371E+02, 3.464E+02, 3.404E+02, 2.659E+02, 1.991E+02, 1.503E+02, 0.000E+00
 1.040E+02, 9.502E+01, 2.328E+02, 2.534E+02, 2.496E+02, 2.089E+02, 1.635E+02, 9.998E+01, 2.092E+02, 2.238E+02, 2.250E+02, 2.105E+02, 1.779E+02, 1.528E+02, 3.455E+02, 3.090E+02, 2.530E+02, 1.963E+02, 1.654E+02, 1.562E+02, 3.875E+02, 3.594E+02, 2.762E+02, 1.984E+02, 1.532E+02, 0.000E+00
 1.080E+02, 1.023E+02, 2.456E+02, 2.579E+02, 2.613E+02, 2.322E+02, 1.827E+02, 1.077E+02, 2.456E+02, 2.480E+02, 2.362E+02, 2.054E+02, 1.728E+02, 1.694E+02, 3.768E+02, 3.211E+02, 2.709E+02, 2.112E+02, 1.638E+02, 1.710E+02, 3.716E+02, 3.528E+02, 2.847E+02, 2.251E+02, 1.641E+02, 0.000E+00
 1.120E+02, 1.093E+02, 2.272E+02, 2.408E+02, 2.478E+02, 2.354E+02, 2.026E+02, 1.151E+02, 2.268E+02, 2.454E+02, 2.383E+02, 2.115E+02, 1.945E+02, 1.878E+02, 4.086E+02, 3.465E+02, 2.802E+02, 2.114E+02, 1.654E+02, 1.864E+02, 3.604E+02, 3.327E+02, 2.821E+02, 2.227E+02, 1.699E+02, 0.000E+00
 1.160E+02, 1.165E+02, 2.478E+02, 2.574E+02, 2.541E+02, 2.219E+02, 1.935E+02, 1.226E+02, 2.320E+02, 2.379E+02, 2.374E+02, 2.214E+02, 1.955E+02, 2.031E+02, 3.570E+02, 3.249E+02, 2.673E+02, 2.210E+02, 1.781E+02, 2.012E+02, 4.101E+02, 3.608E+02, 3.007E+02, 2.222E+02, 1.841E+02, 0.000E+00
 1.200E+02, 1.237E+02, 2.579E+02, 2.688E+02, 2.454E+02, 2.249E+02, 1.939E+02, 1.297E+02, 2.636E+02, 2.794E+02, 2.777E+02, 2.442E+02, 2.098E+02, 2.189E+02, 4.327E+02, 3.627E+02, 2.806E+02, 2.184E+02, 1.767E+02, 2.147E+02, 3.613E+02, 3.486E+02, 2.638E+02, 2.173E+02, 1.712E+02, 0.000E+00
