s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,
Time,"SPK_1","TC_1_1","TC_1_2","TC_1_3","TC_1_4","TC_1_5","SPK_2","TC_2_1","TC_2_2","TC_2_3","TC_2_4","TC_2_5","SPK_3","TC_3_1","TC_3_2","TC_3_3","TC_3_4","TC_3_5","SPK_4","TC_4_1","TC_4_2","TC_4_3","TC_4_4","TC_4_5","Acts"
 5.600E+01, 3.700E+01, 9.796E+01, 9.594E+01, 8.312E+01, 7.429E+01, 6.933E+01, 1.169E+02, 2.232E+02, 1.969E+02, 1.542E+02, 8.840E+01, 6.014E+01, 7.534E+01, 1.581E+02, 1.521E+02, 1.408E+02, 1.175E+02, 8.770E+01, 3.426E+01, 8.969E+01, 9.213E+01, 9.745E+01, 8.886E+01, 7.457E+01, 0.000E+00
 6.001E+01, 4.017E+01, 1.043E+02, 1.051E+02, 9.202E+01, 7.750E+01, 7.454E+01, 1.316E+02, 2.483E+02, 2.232E+02, 1.680E+02, 1.062E+02, 7.486E+01, 8.279E+01, 1.735E+02, 1.655E+02, 1.467E+02, 1.279E+02, 8.910E+01, 3.682E+01, 9.806E+01, 1.005E+02, 1.011E+02, 1.095E+02, 9.180E+01, 0.000E+00
 6.400E+01, 4.338E+01, 1.142E+02, 1.065E+02, 9.225E+01, 8.148E+01, 7.997E+01, 1.496E+02, 3.054E+02, 2.667E+02, 1.843E+02, 1.096E+02, 8.501E+01, 9.180E+01, 1.994E+02, 1.957E+02, 1.608E+02, 1.323E+02, 9.835E+01, 4.003E+01, 1.105E+02, 1.100E+02, 1.121E+02, 1.222E+02, 9.841E+01, 0.000E+00
 6.801E+01, 4.751E+01, 1.230E+02, 1.195E+02, 1.013E+02, 9.085E+01, 8.908E+01, 1.708E+02, 3.299E+02, 2.973E+02, 2.231E+02, 1.196E+02, 9.405E+01, 1.024E+02, 2.242E+02, 2.158E+02, 1.842E+02, 1.414E+02, 1.073E+02, 4.371E+01, 1.187E+02, 1.161E+02, 1.269E+02, 1.330E+02, 9.878E+01, 0.000E+00
 7.200E+01, 5.147E+01, 1.373E+02, 1.390E+02, 1.253E+02, 1.016E+02, 9.539E+01, 1.922E+02, 3.432E+02, 3.029E+02, 2.263E+02, 1.274E+02, 1.025E+02, 1.143E+02, 2.446E+02, 2.367E+02, 2.063E+02, 1.566E+02, 1.327E+02, 4.770E+01, 1.364E+02, 1.378E+02, 1.451E+02, 1.399E+02, 1.016E+02, 0.000E+00
 7.600E+01, 5.681E+01, 1.560E+02, 1.478E+02, 1.242E+02, 1.076E+02, 1.068E+02, 2.174E+02, 4.048E+02, 3.483E+02, 2.521E+02, 1.440E+02, 1.048E+02, 1.272E+02, 2.633E+02, 2.627E+02, 2.265E+02, 1.740E+02, 1.373E+02, 5.235E+01, 1.504E+02, 1.508E+02, 1.650E+02, 1.502E+02, 1.191E+02, 0.000E+00
 8.000E+01, 6.190E+01, 1.609E+02, 1.609E+02, 1.417E+02, 1.295E+02, 1.197E+02, 2.412E+02, 4.224E+02, 3.646E+02, 2.793E+02, 1.733E+02, 1.136E+02, 1.411E+02, 2.847E+02, 2.778E+02, 2.493E+02, 1.965E+02, 1.586E+02, 5.789E+01, 1.719E+02, 1.760E+02, 1.810E+02, 1.541E+02, 1.395E+02, 0.000E+00
 8.401E+01, 6.767E+01, 1.766E+02, 1.732E+02, 1.428E+02, 1.272E+02, 1.234E+02, 2.685E+02, 4.620E+02, 4.277E+02, 3.258E+02, 1.622E+02, 1.265E+02, 1.551E+02, 2.997E+02, 2.954E+02, 2.592E+02, 2.061E+02, 1.874E+02, 6.376E+01, 1.752E+02, 1.786E+02, 1.877E+02, 1.699E+02, 1.423E+02, 0.000E+00
 8.801E+01, 7.420E+01, 1.860E+02, 1.848E+02, 1.588E+02, 1.391E+02, 1.344E+02, 3.000E+02, 5.096E+02, 4.512E+02, 3.170E+02, 1.868E+02, 1.462E+02, 1.726E+02, 3.376E+02, 3.307E+02, 2.836E+02, 2.188E+02, 1.816E+02, 6.962E+01, 1.850E+02, 1.894E+02, 2.063E+02, 1.938E+02, 1.607E+02, 0.000E+00
 9.200E+01, 8.010E+01, 1.946E+02, 1.928E+02, 1.674E+02, 1.539E+02, 1.458E+02, 3.296E+02, 5.307E+02, 4.520E+02, 3.329E+02, 2.036E+02, 1.542E+02, 1.887E+02, 3.317E+02, 3.288E+02, 2.986E+02, 2.388E+02, 1.979E+02, 7.607E+01, 1.970E+02, 1.975E+02, 2.098E+02, 2.180E+02, 1.667E+02, 0.000E+00
 9.600E+01, 8.686E+01, 1.979E+02, 1.912E+02, 1.733E+02, 1.560E+02, 1.499E+02, 3.624E+02, 5.708E+02, 5.107E+02, 3.328E+02, 2.199E+02, 1.755E+02, 2.046E+02, 3.686E+02, 3.516E+02, 2.922E+02, 2.289E+02, 2.081E+02, 8.282E+01, 1.958E+02, 1.954E+02, 1.961E+02, 2.351E+02, 1.846E+02, 0.000E+00
 1.000E+02, 9.326E+01, 2.052E+02, 1.992E+02, 1.859E+02, 1.690E+02, 1.633E+02, 3.949E+02, 6.212E+02, 5.723E+02, 3.812E+02, 2.264E+02, 1.570E+02, 2.213E+02, 3.714E+02, 3.716E+02, 3.011E+02, 2.537E+02, 1.990E+02, 8.953E+01, 2.039E+02, 2.046E+02, 2.139E+02, 2.356E+02, 1.924E+02, 0.000E+00
 1.040E+02, 1.003E+02, 2.170E+02, 2.100E+02, 1.884E+02, 1.755E+02, 1.687E+02, 4.344E+02, 6.987E+02, 6.241E+02, 4.374E+02, 2.667E+02, 1.983E+02, 2.380E+02, 3.884E+02, 3.747E+02, 3.130E+02, 2.561E+02, 2.210E+02, 9.683E+01, 2.146E+02, 2.143E+02, 2.286E+02, 2.407E+02, 2.096E+02, 0.000E+00
 1.080E+02, 1.064E+02, 2.019E+02, 2.025E+02, 1.903E+02, 1.754E+02, 1.710E+02, 4.688E+02, 6.388E+02, 5.637E+02, 3.917E+02, 2.632E+02, 1.965E+02, 2.544E+02, 3.950E+02, 3.891E+02, 3.452E+02, 2.582E+02, 2.052E+02, 1.029E+02, 2.220E+02, 2.299E+02, 2.489E+02, 2.490E+02, 2.031E+02, 0.000E+00
 1.120E+02, 1.124E+02, 2.276E+02, 2.218E+02, 2.094E+02, 1.957E+02, 1.836E+02, 4.968E+02, 6.926E+02, 6.209E+02, 4.123E+02, 2.825E+02, 2.051E+02, 2.705E+02, 4.034E+02, 3.765E+02, 3.274E+02, 2.448E+02, 2.220E+02, 1.101E+02, 2.329E+02, 2.361E+02, 2.465E+02, 2.594E+02, 2.050E+02, 0.000E+00
 1.160E+02, 1.182E+02, 2.258E+02, 2.294E+02, 2.234E+02, 2.088E+02, 1.846E+02, 5.236E+02, 6.568E+02, 5.672E+02, 3.754E+02, 2.666E+02, 1.880E+02, 2.843E+02, 4.201E+02, 3.990E+02, 3.290E+02, 2.588E+02, 2.143E+02, 1.171E+02, 2.352E+02, 2.355E+02, 2.488E+02, 2.598E+02, 2.109E+02, 0.000E+00
 1.200E+02, 1.236E+02, 2.244E+02, 2.220E+02, 2.088E+02, 1.926E+02, 1.853E+02, 5.416E+02, 6.748E+02, 5.761E+02, 4.060E+02, 2.723E+02, 2.101E+02, 3.006E+02, 4.215E+02, 3.854E+02, 3.082E+02, 2.545E+02, 2.266E+02, 1.243E+02, 2.297E+02, 2.308E+02, 2.360E+02, 2.575E+02, 2.203E+02, 0.000E+00
