s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,Pa,Pa
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,ZONE_1,ZONE_2
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.8968903E+000, 8.5931388E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.8968817E+000, 0.0000000E+000,-1.6731059E+000,-1.6731059E+000
 3.0004368E+001, 0.0000000E+000, 0.0000000E+000,-1.8726546E-002, 1.2480981E-003,-1.9417168E-002, 0.0000000E+000, 1.7061059E-006, 0.0000000E+000,-3.7797317E-002,-3.6893910E-002, 4.0027443E-002,-1.6811395E+000,-1.5695201E+000
 6.0000481E+001, 0.0000000E+000, 0.0000000E+000, 8.5236785E-003,-6.8404141E-001,-7.5145775E-002, 0.0000000E+000, 1.1613201E-006, 0.0000000E+000,-7.4607544E-001,-7.5066235E-001, 1.0502750E-006,-1.6801520E+000,-1.5132067E+000
 9.0002258E+001, 0.0000000E+000, 0.0000000E+000, 4.8369647E-002,-1.3081458E+000,-5.3756990E-002, 0.0000000E+000, 5.5531818E-007, 0.0000000E+000,-1.3300003E+000,-1.3135325E+000, 2.2671046E-006,-1.6792963E+000,-1.4863841E+000
 1.2000403E+002, 0.0000000E+000, 0.0000000E+000, 9.4481089E-002,-1.6718078E+000, 1.6862019E-001, 0.0000000E+000, 4.6443087E-007, 0.0000000E+000,-1.3785571E+000,-1.4087061E+000, 3.0451552E-007,-1.6785583E+000,-1.4639565E+000
 1.5000014E+002, 0.0000000E+000, 0.0000000E+000, 1.4418632E-001,-2.0188703E+000, 3.4213491E-001, 0.0000000E+000, 1.8909260E-007, 0.0000000E+000,-1.5234910E+000,-1.5325488E+000, 1.0356140E-007,-1.6779233E+000,-1.4549224E+000
 1.8000192E+002, 0.0000000E+000, 0.0000000E+000, 1.8848212E-001,-1.9431090E+000, 4.7268499E-001, 0.0000000E+000, 8.1182819E-008, 0.0000000E+000,-1.2863650E+000,-1.2819418E+000, 2.9839736E-007,-1.6773765E+000,-1.4511233E+000
 2.1000369E+002, 0.0000000E+000, 0.0000000E+000, 2.2729769E-001,-1.8466364E+000, 5.3466238E-001, 0.0000000E+000,-6.4776181E-008, 0.0000000E+000,-1.0653637E+000,-1.0846764E+000,-6.4318265E-007,-1.6769066E+000,-1.4544143E+000
 2.4000546E+002, 0.0000000E+000, 0.0000000E+000, 2.5910101E-001,-1.7600179E+000, 6.0726109E-001, 0.0000000E+000,-9.9979977E-008, 0.0000000E+000,-9.0862837E-001,-8.9365592E-001,-1.3533054E-006,-1.6765025E+000,-1.4594028E+000
 2.7000159E+002, 0.0000000E+000, 0.0000000E+000, 2.8613680E-001,-1.8084168E+000, 6.7165880E-001, 0.0000000E+000, 1.4935462E-009, 0.0000000E+000,-8.3901688E-001,-8.5062122E-001, 4.6346292E-007,-1.6761548E+000,-1.4594292E+000
 3.0000336E+002, 0.0000000E+000, 0.0000000E+000, 3.1217917E-001,-1.7528838E+000, 6.8883791E-001, 0.0000000E+000,-8.9345385E-009, 0.0000000E+000,-7.4565823E-001,-7.5186668E-001,-1.9188143E-006,-1.6758557E+000,-1.4599488E+000
 3.3000314E+002, 0.0000000E+000, 0.0000000E+000, 3.3475738E-001,-2.0047626E+000, 8.1569233E-001, 0.0000000E+000, 2.8830343E-007, 0.0000000E+000,-8.1387909E-001,-8.5431261E-001, 9.6681780E-003,-1.6755990E+000,-1.4459731E+000
 3.6000317E+002, 0.0000000E+000, 0.0000000E+000, 3.6441356E-001,-2.3610012E+000, 9.4739365E-001, 0.0000000E+000, 5.2664007E-007, 0.0000000E+000,-1.0156543E+000,-1.0491935E+000,-2.7026101E-008,-1.6753767E+000,-1.4203688E+000
 3.9000256E+002, 0.0000000E+000, 0.0000000E+000, 3.9504750E-001,-2.4217684E+000, 1.0714585E+000, 0.0000000E+000, 3.6581434E-007, 0.0000000E+000,-9.4960281E-001,-9.5526199E-001, 1.1673809E-006,-1.6751846E+000,-1.4025964E+000
 4.2000195E+002, 0.0000000E+000, 0.0000000E+000, 4.2317645E-001,-2.4540107E+000, 1.1470327E+000, 0.0000000E+000, 3.6676626E-007, 0.0000000E+000,-8.4947442E-001,-8.8380116E-001, 2.3432762E-006,-1.6750191E+000,-1.3847670E+000
 4.5000131E+002, 0.0000000E+000, 0.0000000E+000, 4.4519760E-001,-2.4368938E+000, 1.2666084E+000, 0.0000000E+000, 4.3150449E-007, 0.0000000E+000,-6.8696282E-001,-7.2508738E-001,-2.7092898E-007,-1.6748762E+000,-1.3637791E+000
 4.8000110E+002, 0.0000000E+000, 0.0000000E+000, 4.6144253E-001,-2.2277049E+000, 1.2720631E+000, 0.0000000E+000, 2.5067503E-007, 0.0000000E+000,-4.4768092E-001,-4.9419899E-001,-2.2875890E-007,-1.6747528E+000,-1.3515977E+000
 5.1000204E+002, 0.0000000E+000, 0.0000000E+000, 4.7061816E-001,-2.0333294E+000, 1.3117343E+000, 0.0000000E+000, 2.0571463E-007, 0.0000000E+000,-2.4958938E-001,-2.5097672E-001, 4.2269804E-007,-1.6746457E+000,-1.3416018E+000
 5.4000299E+002, 0.0000000E+000, 0.0000000E+000, 4.7504829E-001,-2.0024789E+000, 1.3255137E+000, 0.0000000E+000, 1.1548243E-007, 0.0000000E+000,-1.9581967E-001,-2.0191683E-001, 5.4784424E-007,-1.6745544E+000,-1.3359961E+000
 5.7000397E+002, 0.0000000E+000, 0.0000000E+000, 4.7880206E-001,-1.9920918E+000, 1.3189167E+000, 0.0000000E+000, 1.2867074E-007, 0.0000000E+000,-1.7968141E-001,-1.9437291E-001,-4.5647136E-008,-1.6744745E+000,-1.3297492E+000
