s,kg/m2/s
Time,"MLR"
 0.0000000E+000, 0.0000000E+000
 1.0100000E+001, 2.6373924E-004
 2.0000000E+001, 1.6741508E-002
 3.0000000E+001, 2.1585238E-002
 4.0000000E+001, 2.0249350E-002
 5.0000000E+001, 2.0135355E-002
 6.0000000E+001, 1.9677463E-002
 7.0000000E+001, 1.9684660E-002
 8.0100000E+001, 1.9652874E-002
 9.0100000E+001, 1.9535469E-002
 1.0010000E+002, 1.9379347E-002
 1.1010000E+002, 1.9225410E-002
 1.2010000E+002, 1.9293792E-002
 1.3010000E+002, 1.9271281E-002
 1.4010000E+002, 1.9259366E-002
 1.5010000E+002, 1.9272443E-002
 1.6010000E+002, 1.9321470E-002
 1.7010000E+002, 1.9408923E-002
 1.8010000E+002, 1.9538515E-002
 1.9010000E+002, 1.9700633E-002
 2.0010000E+002, 1.9887984E-002
 2.1010000E+002, 2.0067639E-002
 2.2010000E+002, 2.0161764E-002
 2.3010000E+002, 2.0236195E-002
 2.4010000E+002, 2.0267869E-002
 2.5010000E+002, 2.0169155E-002
 2.6010000E+002, 1.9865901E-002
 2.7010000E+002, 1.9323437E-002
 2.8010000E+002, 1.8578835E-002
 2.9010000E+002, 1.7692078E-002
 3.0010000E+002, 1.6715242E-002
 3.1000000E+002, 1.5693422E-002
 3.2000000E+002, 1.4621000E-002
 3.3000000E+002, 1.3456501E-002
 3.4000000E+002, 1.2146887E-002
 3.5000000E+002, 1.0627898E-002
 3.6000000E+002, 8.9009319E-003
 3.7000000E+002, 7.2328805E-003
 3.8000000E+002, 6.1437306E-003
 3.9000000E+002, 5.5798696E-003
 4.0000000E+002, 5.0428219E-003
 4.1000000E+002, 4.4333409E-003
 4.2000000E+002, 3.8303314E-003
 4.3000000E+002, 3.2828993E-003
 4.4000000E+002, 2.8080326E-003
 4.5000000E+002, 2.4074298E-003
 4.6000000E+002, 2.0745333E-003
 4.7000000E+002, 1.7999379E-003
 4.8000000E+002, 1.5738870E-003
 4.9000000E+002, 1.3873163E-003
 5.0000000E+002, 1.2325387E-003
 5.1000000E+002, 1.1032040E-003
 5.2000000E+002, 9.9430823E-004
 5.3000000E+002, 9.0173951E-004
 5.4000000E+002, 8.2257291E-004
 5.5000000E+002, 7.5409057E-004
 5.6000000E+002, 6.9456852E-004
 5.7000000E+002, 6.4244941E-004
 5.8000000E+002, 5.9645258E-004
 5.9000000E+002, 5.5561727E-004
 6.0000000E+002, 5.1918519E-004
 6.1000000E+002, 4.8648025E-004
 6.2000000E+002, 4.5694007E-004
 6.3000000E+002, 4.3028920E-004
 6.4000000E+002, 4.0599205E-004
 6.5000000E+002, 3.8385091E-004
 6.6000000E+002, 3.6355682E-004
 6.7000000E+002, 3.4491306E-004
 6.8000000E+002, 3.2772889E-004
 6.9000000E+002, 3.1183984E-004
 7.0000000E+002, 2.9711663E-004
