m,kg/m3,C,Pa,m/s,m/s,m/s,m/s*m/s,m/s*m/s,m/s*m/s,m/s*m/s,m/s*m/s,m/s*m/s
 1.1437500E+003, 1.0303006E+000, 1.5000000E+001, 9.4096527E-001, 1.0573703E+001, 9.9826356E-001, 6.1228905E-003, 1.5442834E-001, 1.4439047E-001, 9.3370053E-002,-2.7244010E-002, 3.2253570E-002,-4.2461022E-002
 1.1812500E+003, 1.0303006E+000, 1.5000000E+001, 9.8721573E-001, 1.0604944E+001, 9.8407619E-001, 1.1124297E-002, 1.3154001E-001, 1.3152616E-001, 9.2616928E-002,-2.3553786E-002, 2.7226869E-002,-3.5350286E-002
 1.2187500E+003, 1.0303006E+000, 1.5000000E+001, 1.0339615E+000, 1.0623844E+001, 9.7797428E-001, 1.1451361E-002, 1.2667915E-001, 1.2609659E-001, 8.8531396E-002,-1.9119979E-002, 2.3772557E-002,-3.0512699E-002
 1.2562500E+003, 1.0303006E+000, 1.5000000E+001, 1.0825199E+000, 1.0634292E+001, 9.6466491E-001, 7.7858140E-003, 1.2358227E-001, 1.1706997E-001, 7.8246388E-002,-1.6100332E-002, 2.1208197E-002,-2.5138499E-002
 1.2937500E+003, 1.0303006E+000, 1.5000000E+001, 1.1332566E+000, 1.0653961E+001, 9.5255277E-001, 6.9693152E-003, 1.1211533E-001, 1.0746157E-001, 6.6021755E-002,-1.2324198E-002, 1.7255628E-002,-1.8511755E-002
 1.3312500E+003, 1.0303006E+000, 1.5000000E+001, 1.1839146E+000, 1.0675020E+001, 9.3915206E-001, 7.2318510E-003, 9.2100631E-002, 9.0640931E-002, 5.4337436E-002,-5.1203526E-003, 1.4161362E-002,-1.1819653E-002
 1.3687500E+003, 1.0303006E+000, 1.5000000E+001, 1.2365300E+000, 1.0691814E+001, 9.2554970E-001, 7.0060321E-003, 8.0004209E-002, 8.1145559E-002, 4.0152849E-002,-4.4058940E-003, 1.3741242E-002,-5.6978344E-003
 1.4062500E+003, 1.0303006E+000, 1.5000000E+001, 1.2926573E+000, 1.0709764E+001, 9.1521127E-001, 5.2345067E-003, 7.9835815E-002, 8.1573203E-002, 2.5961346E-002,-5.8104850E-003, 1.0479743E-002,-1.7044840E-003
 1.4437500E+003, 1.0303006E+000, 1.5000000E+001, 1.3510550E+000, 1.0715956E+001, 9.0935236E-001, 3.4512595E-003, 8.4227682E-002, 9.2643629E-002, 1.0935821E-002,-2.6475391E-003, 6.5016715E-003,-7.6315124E-004
 1.4812500E+003, 1.0303006E+000, 1.5000000E+001, 1.4115171E+000, 1.0745215E+001, 9.0287338E-001, 0.0000000E+000, 9.1600938E-002, 1.1517087E-001, 0.0000000E+000, 7.4116558E-004, 0.0000000E+000, 0.0000000E+000
