m,kg/m3,C,Pa,m/s,m/s,m/s,m/s*m/s,m/s*m/s,m/s*m/s,m/s*m/s,m/s*m/s,m/s*m/s
 1.7846154E+002, 1.0339482E+000, 1.2728044E+001,-3.7495150E+002, 7.5342060E+000, 1.2166802E+000, 1.5042689E-003, 1.8220934E-002, 2.6669302E-002, 3.9851453E-003,-1.0071818E-002, 2.1239270E-003,-2.9400936E-005
 1.9717949E+002, 1.0335849E+000, 1.2828539E+001,-3.7557595E+002, 7.6802443E+000, 8.8586121E-001, 2.5413328E-003, 8.7286602E-003, 2.1996117E-002, 3.5773753E-003,-4.7451460E-003, 1.1338311E-003,-1.2989807E-004
 2.1589744E+002, 1.0331686E+000, 1.2943770E+001,-3.7612758E+002, 7.7025587E+000, 5.1688783E-001, 2.2272112E-003, 4.6428326E-003, 1.7303150E-002, 3.5383010E-003,-1.0729444E-003, 7.6640106E-004,-2.2042313E-004
 2.3461538E+002, 1.0326971E+000, 1.3074389E+001,-3.7659748E+002, 7.6033840E+000, 1.8927730E-001, 1.7267498E-003, 3.4048194E-003, 1.3095458E-002, 4.0341838E-003, 5.6288945E-004, 6.9590401E-004,-1.7778128E-004
 2.5333333E+002, 1.0321676E+000, 1.3221226E+001,-3.7697594E+002, 7.4268121E+000,-3.6694080E-002, 2.0145416E-003, 3.7511692E-003, 1.0007548E-002, 5.5933353E-003, 1.8860671E-003, 9.4238642E-004, 2.1612365E-004
 2.7205128E+002, 1.0316005E+000, 1.3378655E+001,-3.7725503E+002, 7.2349060E+000,-1.4868216E-001, 1.6983794E-003, 3.5558821E-003, 1.1177014E-002, 8.2332031E-003, 4.4275580E-004, 1.4873294E-003, 2.0849244E-004
 2.9076923E+002, 1.0310147E+000, 1.3541462E+001,-3.7742955E+002, 7.0769609E+000,-1.7744565E-001, 1.3645141E-003, 3.2040237E-003, 1.0355731E-002, 1.1542582E-002,-6.7973903E-004, 1.5424029E-003,-2.8718191E-005
 3.0948718E+002, 1.0304291E+000, 1.3704408E+001,-3.7749700E+002, 6.9800039E+000,-1.4511443E-001, 1.5438615E-003, 1.8363373E-003, 7.4719050E-003, 1.4523740E-002,-3.8847174E-004, 1.4476241E-003,-5.8747449E-005
 3.2820513E+002, 1.0298483E+000, 1.3866164E+001,-3.7745631E+002, 6.9474956E+000,-8.2622210E-002, 1.3437244E-003, 1.1662343E-003, 4.8759024E-003, 1.5842262E-002, 4.5409622E-004, 1.1610849E-003, 9.5117513E-005
 3.4692308E+002, 1.0292925E+000, 1.4021146E+001,-3.7730897E+002, 6.9462684E+000,-2.7068826E-002, 1.2620138E-003, 1.2084378E-003, 3.1140491E-003, 1.5001936E-002, 8.7324277E-004, 3.6842207E-004,-1.9029699E-005
 3.6564103E+002, 1.0287813E+000, 1.4163832E+001,-3.7706153E+002, 6.9534163E+000, 8.5048697E-003, 9.4169631E-004, 1.0051264E-003, 2.8083959E-003, 1.2685553E-002, 7.9235591E-004,-3.2194036E-004,-1.8365008E-004
 3.8435897E+002, 1.0283350E+000, 1.4288519E+001,-3.7672480E+002, 6.9650417E+000, 2.6126826E-002, 9.4169631E-004, 9.7629584E-004, 3.5023755E-003, 1.2685553E-002, 7.1536856E-004,-8.6631304E-004,-3.4757832E-004
 4.0307692E+002, 1.0279724E+000, 1.4389918E+001,-3.7631329E+002, 6.9738389E+000, 2.6060121E-002, 1.7430321E-003, 1.1822318E-003, 5.0468375E-003, 9.7345621E-003, 7.9070349E-004,-9.8481374E-004,-3.4259762E-004
 4.2179487E+002, 1.0276977E+000, 1.4466761E+001,-3.7584340E+002, 6.9756522E+000, 2.0081768E-002, 1.2770224E-003, 1.5759522E-003, 4.9373059E-003, 6.8463744E-003, 7.9618639E-004,-7.5945202E-004,-3.7851629E-004
 4.4051282E+002, 1.0275104E+000, 1.4519204E+001,-3.7533170E+002, 6.9697874E+000, 1.2963049E-002, 3.8821850E-004, 2.0228286E-003, 3.6065008E-003, 4.5391255E-003, 7.1721375E-004,-4.8099610E-004,-2.7292600E-004
 4.5923077E+002, 1.0273965E+000, 1.4551082E+001,-3.7479335E+002, 6.9658873E+000, 3.1264691E-003, 4.2855039E-004, 2.0993529E-003, 2.4695996E-003, 2.9991009E-003, 5.8715856E-004,-2.7336921E-004, 1.3634325E-004
 4.7794872E+002, 1.0273310E+000, 1.4569422E+001,-3.7423928E+002, 6.9648545E+000, 8.2650875E-003,-8.3722802E-004, 1.6104348E-003, 2.0819338E-003, 2.3337670E-003, 6.4235425E-004,-6.2198483E-005, 4.2352870E-004
 4.9666667E+002, 1.0272864E+000, 1.4581934E+001,-3.7367496E+002, 6.9533717E+000, 1.0840963E-002, 5.8817732E-004, 1.4556884E-003, 2.6312619E-003, 1.7675351E-003, 1.3732131E-004,-8.0533301E-005, 3.3624073E-004
 5.1538462E+002, 1.0272493E+000, 1.4592309E+001,-3.7310334E+002, 6.9500242E+000, 4.9123341E-003, 1.4467896E-004, 1.9098732E-003, 3.0585249E-003, 1.1476831E-003, 9.4945026E-005, 1.4440552E-004, 3.3541884E-004
 5.3410256E+002, 1.0272173E+000, 1.4601287E+001,-3.7252583E+002, 6.9570242E+000, 2.3473461E-003,-3.8444516E-004, 2.2529673E-003, 3.5345691E-003, 1.1786445E-003, 2.7268208E-004, 4.7417256E-004, 4.9472171E-004
 5.5282051E+002, 1.0271904E+000, 1.4608814E+001,-3.7194318E+002, 6.9613642E+000, 2.4361814E-003, 2.7982356E-004, 2.3948903E-003, 4.3839669E-003, 1.6825905E-003, 2.3441809E-005, 5.5180538E-004, 7.4907534E-004
 5.7153846E+002, 1.0271682E+000, 1.4615038E+001,-3.7135599E+002, 6.9655813E+000, 6.5613777E-003, 4.5113594E-004, 2.6219647E-003, 5.1935949E-003, 2.2637169E-003,-1.7089133E-005, 1.6994928E-004, 1.0940483E-003
 5.9025641E+002, 1.0271500E+000, 1.4620135E+001,-3.7076481E+002, 6.9722272E+000, 9.8059400E-003, 3.3418604E-004, 3.0304366E-003, 5.0408385E-003, 2.5247463E-003, 5.0607784E-005,-4.0621120E-004, 1.3475974E-003
 6.0897436E+002, 1.0271353E+000, 1.4624252E+001,-3.7017027E+002, 6.9787813E+000, 7.9095903E-003, 2.5555803E-004, 3.9766388E-003, 4.2661518E-003, 2.3447196E-003,-4.9811875E-005,-6.7335928E-004, 1.4174870E-003
 6.2769231E+002, 1.0271238E+000, 1.4627468E+001,-3.6957405E+002, 6.9829230E+000, 4.3173457E-003, 3.2310102E-004, 4.5109312E-003, 3.5300040E-003, 2.0046827E-003, 1.9089173E-004,-5.2858171E-004, 1.4768354E-003
 6.4641026E+002, 1.0271151E+000, 1.4629904E+001,-3.6897704E+002, 6.9843074E+000, 8.4583861E-004, 6.7055124E-004, 3.6486312E-003, 3.2522740E-003, 2.4454321E-003, 6.1269185E-004,-1.2252223E-004, 1.3405548E-003
 6.6512821E+002, 1.0271087E+000, 1.4631704E+001,-3.6837817E+002, 6.9863996E+000,-1.4215479E-003, 5.8992467E-004, 3.4674689E-003, 3.5103489E-003, 3.0259116E-003, 6.1528307E-004, 9.3508343E-005, 8.6569079E-004
 6.8384615E+002, 1.0271042E+000, 1.4632963E+001,-3.6777786E+002, 6.9864743E+000,-9.1569847E-004,-8.1902516E-005, 3.2730061E-003, 3.7055502E-003, 3.1363003E-003, 3.2354769E-004,-1.8688653E-004, 4.9907689E-004
 7.0256410E+002, 1.0271012E+000, 1.4633799E+001,-3.6717642E+002, 6.9851143E+000,-8.0774072E-004,-3.0515474E-004, 2.6588960E-003, 3.5123523E-003, 3.3067432E-003, 2.1719914E-004,-7.6627865E-004, 1.8751854E-005
 7.2128205E+002, 1.0270994E+000, 1.4634299E+001,-3.6657318E+002, 6.9809117E+000,-1.5742556E-003,-7.5832481E-004, 2.4194308E-003, 3.5769622E-003, 2.9975965E-003, 2.9556469E-004,-1.1822028E-003,-7.9495626E-004
 7.4000000E+002, 1.0270987E+000, 1.4634503E+001,-3.6596822E+002, 6.9818717E+000,-9.3732963E-003,-7.5971786E-004, 4.9586521E-003, 4.4044545E-003, 1.4996848E-003,-1.0107810E-004,-1.0631448E-003,-1.1655856E-003
