m,kW/m2,m,kW/m2
r,HF_radi,z,HF_vert
 5.0477718E-001, 1.4276659E+000,-1.9000000E-001, 4.0064926E-001
 5.7236304E-001, 1.0348538E+000,-1.3510204E-001, 5.6855630E-001
 6.3994892E-001, 7.9165694E-001,-8.0204082E-002, 8.2462894E-001
 7.0753483E-001, 6.9212886E-001,-2.5306122E-002, 1.2354792E+000
 7.7512076E-001, 5.5415191E-001, 2.9591837E-002, 2.6471689E+000
 8.4270669E-001, 4.0564382E-001, 8.4489796E-002, 3.0170445E+000
 9.1029264E-001, 3.3790572E-001, 1.3938776E-001, 3.2342224E+000
 9.7787859E-001, 3.0632972E-001, 1.9428571E-001, 3.3523581E+000
 1.0454645E+000, 2.5931413E-001, 2.4918367E-001, 3.4122920E+000
 1.1130505E+000, 2.2122473E-001, 3.0408163E-001, 3.3917207E+000
 1.1806365E+000, 1.9006966E-001, 3.5897959E-001, 3.3200018E+000
 1.2482224E+000, 1.7524543E-001, 4.1387755E-001, 3.2187115E+000
 1.3158084E+000, 1.5213687E-001, 4.6877551E-001, 3.0973463E+000
 1.3833944E+000, 1.2345066E-001, 5.2367347E-001, 2.9628522E+000
 1.4509804E+000, 1.0869757E-001, 5.7857143E-001, 2.8211213E+000
 1.5185664E+000, 1.0138072E-001, 6.3346939E-001, 2.6760463E+000
 1.5861523E+000, 8.9937284E-002, 6.8836735E-001, 2.5302422E+000
 1.6537383E+000, 8.0145696E-002, 7.4326531E-001, 2.3864182E+000
 1.7213243E+000, 7.1728649E-002, 7.9816327E-001, 2.2460827E+000
 1.7889103E+000, 6.7401414E-002, 8.5306122E-001, 1.9798822E+000
NaN,NaN, 9.0795918E-001, 1.8548900E+000
NaN,NaN, 9.6285714E-001, 1.7355807E+000
NaN,NaN, 1.0177551E+000, 1.6223767E+000
NaN,NaN, 1.0726531E+000, 1.5154690E+000
NaN,NaN, 1.1275510E+000, 1.4148046E+000
NaN,NaN, 1.1824490E+000, 1.3203561E+000
NaN,NaN, 1.2373469E+000, 1.2319172E+000
NaN,NaN, 1.2922449E+000, 1.1491456E+000
NaN,NaN, 1.3471429E+000, 1.0720507E+000
NaN,NaN, 1.4020408E+000, 9.3406792E-001
NaN,NaN, 1.4569388E+000, 8.7227894E-001
NaN,NaN, 1.5118367E+000, 8.1484694E-001
NaN,NaN, 1.5667347E+000, 7.6157091E-001
NaN,NaN, 1.6216327E+000, 7.1212380E-001
NaN,NaN, 1.6765306E+000, 6.6614808E-001
NaN,NaN, 1.7314286E+000, 6.2341772E-001
NaN,NaN, 1.7863265E+000, 5.8375801E-001
NaN,NaN, 1.8412245E+000, 5.4697988E-001
NaN,NaN, 1.8961224E+000, 5.1284416E-001
NaN,NaN, 1.9510204E+000, 4.5179364E-001
NaN,NaN, 2.0059184E+000, 4.2450650E-001
NaN,NaN, 2.0608163E+000, 3.9917366E-001
NaN,NaN, 2.1157143E+000, 3.7564688E-001
NaN,NaN, 2.1706122E+000, 3.5378042E-001
NaN,NaN, 2.2255102E+000, 3.3340895E-001
NaN,NaN, 2.2804082E+000, 3.1439089E-001
NaN,NaN, 2.3353061E+000, 2.9661352E-001
NaN,NaN, 2.3902041E+000, 2.7996714E-001
NaN,NaN, 2.4451020E+000, 2.6435493E-001
NaN,NaN, 2.5000000E+000, 2.3590860E-001
