m,kW/m2,m,kW/m2
r,HF_radi,z,HF_vert
 2.0396078E-001, 1.1611130E+001, 0.0000000E+000, 3.2606492E+000
 2.3245767E-001, 9.8473445E+000, 7.5510204E-002, 3.6642040E+000
 2.6095458E-001, 7.7499276E+000, 1.5102041E-001, 3.8217705E+000
 2.8945151E-001, 6.7923738E+000, 2.2653061E-001, 4.0186518E+000
 3.1794844E-001, 6.0008873E+000, 3.0204082E-001, 4.1301199E+000
 3.4644539E-001, 5.3365391E+000, 3.7755102E-001, 4.1004187E+000
 3.7494234E-001, 4.7720987E+000, 4.5306122E-001, 4.0090601E+000
 4.0343930E-001, 3.9714387E+000, 5.2857143E-001, 3.8598384E+000
 4.3193626E-001, 3.5982317E+000, 6.0408163E-001, 3.6475343E+000
 4.6043322E-001, 2.9828401E+000, 6.7959184E-001, 3.3753603E+000
 4.8893019E-001, 2.7276785E+000, 7.5510204E-001, 3.0652892E+000
 5.1742716E-001, 2.3622622E+000, 8.3061224E-001, 2.7447845E+000
 5.4592413E-001, 2.1744475E+000, 9.0612245E-001, 2.4426724E+000
 5.7442110E-001, 2.0057545E+000, 9.8163265E-001, 2.1620751E+000
 6.0291807E-001, 1.8538090E+000, 1.0571429E+000, 1.8912149E+000
 6.3141505E-001, 1.7165889E+000, 1.1326531E+000, 1.6369650E+000
 6.5991203E-001, 1.5193450E+000, 1.2081633E+000, 1.4125065E+000
 6.8840900E-001, 1.3132055E+000, 1.2836735E+000, 1.2232285E+000
 7.1690598E-001, 1.2234988E+000, 1.3591837E+000, 1.0630384E+000
 7.4540296E-001, 1.1415027E+000, 1.4346939E+000, 9.2410492E-001
 7.7389994E-001, 1.0268563E+000, 1.5102041E+000, 8.0334050E-001
 8.0239692E-001, 9.5982406E-001, 1.5857143E+000, 6.9994053E-001
 8.3089390E-001, 8.9820662E-001, 1.6612245E+000, 6.1179341E-001
 8.5939088E-001, 8.4151090E-001, 1.7367347E+000, 5.3677304E-001
 8.8788786E-001, 7.8929227E-001, 1.8122449E+000, 4.7263326E-001
 9.1638484E-001, 7.2192411E-001, 1.8877551E+000, 4.1742593E-001
 9.4488183E-001, 6.3762927E-001, 1.9632653E+000, 3.6981258E-001
 9.7337881E-001, 6.0007439E-001, 2.0387755E+000, 3.2850126E-001
 1.0018758E+000, 5.6524133E-001, 2.1142857E+000, 2.9234718E-001
 1.0303728E+000, 5.3290496E-001, 2.1897959E+000, 2.6088855E-001
 1.0588698E+000, 4.9594651E-001, 2.2653061E+000, 2.3358176E-001
 1.0873667E+000, 4.6820113E-001, 2.3408163E+000, 2.0986510E-001
 1.1158637E+000, 4.4230981E-001, 2.4163265E+000, 1.8923379E-001
 1.1443607E+000, 4.1813157E-001, 2.4918367E+000, 1.7136899E-001
 1.1728577E+000, 3.7390332E-001, 2.5673469E+000, 1.5598326E-001
 1.2013547E+000, 3.5426125E-001, 2.6428571E+000, 1.4275815E-001
 1.2298517E+000, 3.3581190E-001, 2.7183673E+000, 1.3133081E-001
 1.2583486E+000, 3.1847161E-001, 2.7938776E+000, 1.2144449E-001
 1.2868456E+000, 3.0216390E-001, 2.8693878E+000, 1.1279701E-001
 1.3153426E+000, 2.8939107E-001, 2.9448980E+000, 1.0504590E-001
 1.3438396E+000, 2.7509385E-001, 3.0204082E+000, 9.8014378E-002
 1.3723366E+000, 2.6157961E-001, 3.0959184E+000, 9.1537542E-002
 1.4008336E+000, 2.4879667E-001, 3.1714286E+000, 8.5397178E-002
 1.4293306E+000, 2.2896077E-001, 3.2469388E+000, 7.9476052E-002
 1.4578275E+000, 2.1830400E-001, 3.3224490E+000, 7.3716599E-002
 1.4863245E+000, 2.0816954E-001, 3.3979592E+000, 6.8031117E-002
 1.5148215E+000, 1.9852732E-001, 3.4734694E+000, 6.2415633E-002
NaN,NaN, 3.5489796E+000, 5.6902068E-002
NaN,NaN, 3.6244898E+000, 5.1491776E-002
NaN,NaN, 3.7000000E+000, 4.4467660E-002
