m,kW/m2,m,kW/m2
r,HF_radi,z,HF_vert
NaN,NaN, 8.7514793E-001, 3.1220879E-001
NaN,NaN, 8.8520710E-001, 3.0044379E-001
NaN,NaN, 8.9526627E-001, 2.8922848E-001
NaN,NaN, 9.0532544E-001, 2.7853975E-001
NaN,NaN, 9.1538462E-001, 2.6835459E-001
NaN,NaN, 9.2544379E-001, 2.5865283E-001
NaN,NaN, 9.3550296E-001, 2.4941688E-001
NaN,NaN, 9.4556213E-001, 2.4062307E-001
NaN,NaN, 9.5562130E-001, 2.3224543E-001
NaN,NaN, 9.6568047E-001, 2.2426240E-001
NaN,NaN, 9.7573964E-001, 2.1665282E-001
NaN,NaN, 9.8579882E-001, 2.0939767E-001
NaN,NaN, 9.9585799E-001, 2.0247811E-001
NaN,NaN, 1.0059172E+000, 1.9587755E-001
NaN,NaN, 1.0159763E+000, 1.8958258E-001
NaN,NaN, 1.0260355E+000, 1.8358054E-001
NaN,NaN, 1.0360947E+000, 1.7785932E-001
NaN,NaN, 1.0461538E+000, 1.7240625E-001
NaN,NaN, 1.0562130E+000, 1.6721094E-001
NaN,NaN, 1.0662722E+000, 1.6226062E-001
NaN,NaN, 1.0763314E+000, 1.5754334E-001
NaN,NaN, 1.0863905E+000, 1.5304661E-001
NaN,NaN, 1.0964497E+000, 1.4875761E-001
NaN,NaN, 1.1065089E+000, 1.4466610E-001
NaN,NaN, 1.1165680E+000, 1.4076166E-001
NaN,NaN, 1.1266272E+000, 1.3703367E-001
NaN,NaN, 1.1366864E+000, 1.3347647E-001
NaN,NaN, 1.1467456E+000, 1.3008286E-001
NaN,NaN, 1.1568047E+000, 1.2684439E-001
NaN,NaN, 1.1668639E+000, 1.2375193E-001
NaN,NaN, 1.1769231E+000, 1.2079672E-001
NaN,NaN, 1.1869822E+000, 1.1797076E-001
NaN,NaN, 1.1970414E+000, 1.1526511E-001
NaN,NaN, 1.2071006E+000, 1.1266905E-001
NaN,NaN, 1.2171598E+000, 1.1017497E-001
NaN,NaN, 1.2272189E+000, 1.0777629E-001
NaN,NaN, 1.2372781E+000, 1.0546752E-001
NaN,NaN, 1.2473373E+000, 1.0324394E-001
NaN,NaN, 1.2573964E+000, 1.0109861E-001
NaN,NaN, 1.2674556E+000, 9.9024480E-002
NaN,NaN, 1.2775148E+000, 9.7016717E-002
NaN,NaN, 1.2875740E+000, 9.5068943E-002
NaN,NaN, 1.2976331E+000, 9.3172910E-002
NaN,NaN, 1.3076923E+000, 9.1322033E-002
NaN,NaN, 1.3177515E+000, 8.9509078E-002
NaN,NaN, 1.3278107E+000, 8.7727336E-002
NaN,NaN, 1.3378698E+000, 8.5976747E-002
NaN,NaN, 1.3479290E+000, 8.4259520E-002
NaN,NaN, 1.3579882E+000, 8.2575082E-002
NaN,NaN, 1.3680473E+000, 8.0920178E-002
NaN,NaN, 1.3781065E+000, 7.9293022E-002
NaN,NaN, 1.3881657E+000, 7.7690931E-002
NaN,NaN, 1.3982249E+000, 7.6110180E-002
NaN,NaN, 1.4082840E+000, 7.4547139E-002
NaN,NaN, 1.4183432E+000, 7.2999654E-002
NaN,NaN, 1.4284024E+000, 7.1465803E-002
NaN,NaN, 1.4384615E+000, 6.9942423E-002
