m,kW/m2,m,kW/m2
r,HF_radi,z,HF_vert
 5.2392748E-002, 6.9016658E-001, 0.0000000E+000, 6.1162599E-001
 6.4459234E-002, 8.7644176E-001, 6.6101695E-003, 8.0697463E-001
 7.6526347E-002, 7.4447894E-001, 1.3220339E-002, 8.5592702E-001
 8.8593831E-002, 5.2589974E-001, 1.9830508E-002, 8.8497664E-001
 1.0066155E-001, 4.3740733E-001, 2.6440678E-002, 9.0398527E-001
 1.1272943E-001, 3.4848129E-001, 3.3050847E-002, 9.2217431E-001
 1.2479743E-001, 2.6166588E-001, 3.9661017E-002, 9.3950047E-001
 1.3686551E-001, 2.2503813E-001, 4.6271186E-002, 9.5890256E-001
 1.4893365E-001, 1.8849782E-001, 5.2881356E-002, 9.5947494E-001
 1.6100185E-001, 1.5392970E-001, 5.9491525E-002, 9.5625232E-001
 1.7307008E-001, 1.3224953E-001, 6.6101695E-002, 9.5120876E-001
 1.8513834E-001, 1.1700353E-001, 7.2711864E-002, 9.4487030E-001
 1.9720663E-001, 9.6587626E-002, 7.9322034E-002, 9.3649068E-001
 2.0927494E-001, 8.5324569E-002, 8.5932203E-002, 9.1031554E-001
 2.2134327E-001, 7.6630261E-002, 9.2542373E-002, 8.9219885E-001
 2.3341161E-001, 6.5012245E-002, 9.9152542E-002, 8.7151454E-001
 2.4547997E-001, 5.8360385E-002, 1.0576271E-001, 8.4915358E-001
 2.5754834E-001, 5.3045792E-002, 1.1237288E-001, 8.2553822E-001
 2.6961671E-001, 4.5810222E-002, 1.1898305E-001, 7.7467696E-001
 2.8168510E-001, 4.1921157E-002, 1.2559322E-001, 7.4802253E-001
 2.9375349E-001, 3.8128930E-002, 1.3220339E-001, 7.2121988E-001
 3.0582189E-001, 3.3321184E-002, 1.3881356E-001, 6.9484897E-001
 3.1789029E-001, 3.0798164E-002, 1.4542373E-001, 6.6905098E-001
 3.2995870E-001, 2.8148378E-002, 1.5203390E-001, 6.4364892E-001
 3.4202711E-001, 2.5212423E-002, 1.5864407E-001, 5.9372928E-001
 3.5409553E-001, 2.3137742E-002, 1.6525424E-001, 5.6940687E-001
 3.6616395E-001, 2.1223155E-002, 1.7186441E-001, 5.4555688E-001
 3.7823238E-001, 1.9244010E-002, 1.7847458E-001, 5.2223092E-001
 3.9030080E-001, 1.7713010E-002, 1.8508475E-001, 4.9948373E-001
 4.0236923E-001, 1.6183311E-002, 1.9169492E-001, 4.7728084E-001
NaN,NaN, 1.9830508E-001, 4.3455092E-001
NaN,NaN, 2.0491525E-001, 4.1423971E-001
NaN,NaN, 2.1152542E-001, 3.9478546E-001
NaN,NaN, 2.1813559E-001, 3.7618414E-001
NaN,NaN, 2.2474576E-001, 3.5837385E-001
NaN,NaN, 2.3135593E-001, 3.2506241E-001
NaN,NaN, 2.3796610E-001, 3.0958366E-001
NaN,NaN, 2.4457627E-001, 2.9490315E-001
NaN,NaN, 2.5118644E-001, 2.8101007E-001
NaN,NaN, 2.5779661E-001, 2.6787368E-001
NaN,NaN, 2.6440678E-001, 2.5543797E-001
NaN,NaN, 2.7101695E-001, 2.3247406E-001
NaN,NaN, 2.7762712E-001, 2.2187079E-001
NaN,NaN, 2.8423729E-001, 2.1179632E-001
NaN,NaN, 2.9084746E-001, 2.0220174E-001
NaN,NaN, 2.9745763E-001, 1.9304656E-001
NaN,NaN, 3.0406780E-001, 1.8431079E-001
NaN,NaN, 3.1067797E-001, 1.6807283E-001
NaN,NaN, 3.1728814E-001, 1.6055676E-001
NaN,NaN, 3.2389831E-001, 1.5342749E-001
NaN,NaN, 3.3050847E-001, 1.4666568E-001
NaN,NaN, 3.3711864E-001, 1.4025065E-001
NaN,NaN, 3.4372881E-001, 1.3416484E-001
NaN,NaN, 3.5033898E-001, 1.2291092E-001
NaN,NaN, 3.5694915E-001, 1.1770363E-001
NaN,NaN, 3.6355932E-001, 1.1275089E-001
NaN,NaN, 3.7016949E-001, 1.0803621E-001
NaN,NaN, 3.7677966E-001, 1.0354377E-001
NaN,NaN, 3.8338983E-001, 9.5141773E-002
NaN,NaN, 3.9000000E-001, 9.1196462E-002
