m,kW/m2,m,kW/m2
r,HF_radi,z,HF_vert
 2.0396078E-001, 4.1377791E+000, 0.0000000E+000, 6.2939732E-001
 2.3029688E-001, 3.4530086E+000, 3.7373737E-002, 6.3777966E-001
 2.5663377E-001, 2.9268894E+000, 7.4747475E-002, 6.6778859E-001
 2.8297123E-001, 2.2854451E+000, 1.1212121E-001, 7.1164782E-001
 3.0930913E-001, 1.9885801E+000, 1.4949495E-001, 7.1380927E-001
 3.3564735E-001, 1.7430017E+000, 1.8686869E-001, 7.1004781E-001
 3.6198582E-001, 1.5374196E+000, 2.2424242E-001, 7.1307957E-001
 3.8832450E-001, 1.3636112E+000, 2.6161616E-001, 7.2692409E-001
 4.1466334E-001, 1.1209561E+000, 2.9898990E-001, 7.3335428E-001
 4.4100232E-001, 1.0076427E+000, 3.3636364E-001, 7.3727331E-001
 4.6734141E-001, 9.0908645E-001, 3.7373737E-001, 7.3337894E-001
 4.9368060E-001, 8.2294103E-001, 4.1111111E-001, 7.1619954E-001
 5.2001986E-001, 7.4730661E-001, 4.4848485E-001, 7.0466908E-001
 5.4635920E-001, 6.4169927E-001, 4.8585859E-001, 6.7818448E-001
 5.7269859E-001, 5.8667566E-001, 5.2323232E-001, 6.6410510E-001
 5.9903803E-001, 5.3767203E-001, 5.6060606E-001, 6.3617618E-001
 6.2537752E-001, 4.9390837E-001, 5.9797980E-001, 6.2217506E-001
 6.5171705E-001, 4.5472190E-001, 6.3535354E-001, 5.9331689E-001
 6.7805661E-001, 4.1954660E-001, 6.7272727E-001, 5.7847165E-001
 7.0439620E-001, 3.6920081E-001, 7.1010101E-001, 5.4899366E-001
 7.3073582E-001, 3.4172165E-001, 7.4747475E-001, 5.3456076E-001
 7.5707547E-001, 3.1683764E-001, 7.8484848E-001, 5.0556277E-001
 7.8341514E-001, 2.9426162E-001, 8.2222222E-001, 4.9054302E-001
 8.0975482E-001, 2.7374235E-001, 8.5959596E-001, 4.5982930E-001
 8.3609453E-001, 2.4502946E-001, 8.9696970E-001, 4.4444846E-001
 8.6243425E-001, 2.2830909E-001, 9.3434343E-001, 4.1380378E-001
 8.8877399E-001, 2.1300139E-001, 9.7171717E-001, 3.9861641E-001
 9.1511374E-001, 1.9896855E-001, 1.0090909E+000, 3.6896001E-001
 9.4145350E-001, 1.7425408E-001, 1.0464646E+000, 3.5466660E-001
 9.6779328E-001, 1.5867963E-001, 1.0838384E+000, 3.2760978E-001
 9.9413306E-001, 1.4870439E-001, 1.1212121E+000, 3.1498230E-001
 1.0204729E+000, 1.3948550E-001, 1.1585859E+000, 2.9153011E-001
 1.0468127E+000, 1.3095934E-001, 1.1959596E+000, 2.8061748E-001
 1.0731525E+000, 1.2306830E-001, 1.2333333E+000, 2.6018658E-001
 1.0994923E+000, 1.1576045E-001, 1.2707071E+000, 2.5060369E-001
 1.1258321E+000, 1.0731669E-001, 1.3080808E+000, 2.3257808E-001
 1.1521720E+000, 1.0102439E-001, 1.3454545E+000, 2.2409575E-001
 1.1785118E+000, 9.5167258E-002, 1.3828283E+000, 2.0812137E-001
 1.2048516E+000, 8.9712496E-002, 1.4202020E+000, 2.0061165E-001
 1.2311915E+000, 8.4630395E-002, 1.4575758E+000, 1.8651160E-001
 1.2575313E+000, 7.9880301E-002, 1.4949495E+000, 1.7990346E-001
 1.2838712E+000, 7.5461397E-002, 1.5323232E+000, 1.6752856E-001
 1.3102111E+000, 7.1321554E-002, 1.5696970E+000, 1.6174799E-001
 1.3365509E+000, 6.7441726E-002, 1.6070707E+000, 1.5096511E-001
 1.3628908E+000, 6.3804563E-002, 1.6444444E+000, 1.4594961E-001
