m,kW/m2,m,kW/m2
r,HF_radi,z,HF_vert
 2.0396078E-001, 1.0045231E+001, 0.0000000E+000, 2.7854659E+000
 2.2829520E-001, 1.0045231E+001, 7.5510204E-002, 3.1228078E+000
 2.5262965E-001, 8.4429542E+000, 1.5102041E-001, 3.2375651E+000
 2.7696412E-001, 6.6062306E+000, 2.2653061E-001, 3.3643540E+000
 3.0129859E-001, 5.7497281E+000, 3.0204082E-001, 3.4124395E+000
 3.2563308E-001, 5.0483060E+000, 3.7755102E-001, 3.3575303E+000
 3.4996757E-001, 4.4640717E+000, 4.5306122E-001, 3.2450720E+000
 3.7430207E-001, 3.9709862E+000, 5.2857143E-001, 3.0915293E+000
 3.9863658E-001, 3.2659880E+000, 6.0408163E-001, 2.8646205E+000
 4.2297109E-001, 2.9468169E+000, 6.7959184E-001, 2.5939853E+000
 4.4730560E-001, 2.6681421E+000, 7.5510204E-001, 2.3258671E+000
 4.7164012E-001, 2.4235112E+000, 8.3061224E-001, 2.0681408E+000
 4.9597463E-001, 2.2077486E+000, 9.0612245E-001, 1.8217337E+000
 5.2030915E-001, 1.8962920E+000, 9.8163265E-001, 1.5885654E+000
 5.4464368E-001, 1.7390340E+000, 1.0571429E+000, 1.3796076E+000
 5.6897820E-001, 1.5983983E+000, 1.1326531E+000, 1.1965840E+000
 5.9331273E-001, 1.4722762E+000, 1.2081633E+000, 1.0364658E+000
 6.1764725E-001, 1.3588741E+000, 1.2836735E+000, 8.9735821E-001
 6.4198178E-001, 1.2566577E+000, 1.3591837E+000, 7.7885112E-001
 6.6631631E-001, 1.1052096E+000, 1.4346939E+000, 6.7848470E-001
 6.9065084E-001, 1.0254121E+000, 1.5102041E+000, 5.9345263E-001
 7.1498537E-001, 9.5289258E-001, 1.5857143E+000, 5.2106149E-001
 7.3931990E-001, 8.8687088E-001, 1.6612245E+000, 4.5900852E-001
 7.6365444E-001, 8.8687088E-001, 1.7367347E+000, 4.0567796E-001
 7.8798897E-001, 7.9394294E-001, 1.8122449E+000, 3.5990821E-001
 8.1232350E-001, 7.4042973E-001, 1.8877551E+000, 3.2022429E-001
 8.3665804E-001, 6.9138856E-001, 1.9632653E+000, 2.8551971E-001
 8.6099257E-001, 6.4639073E-001, 2.0387755E+000, 2.5498000E-001
 8.8532710E-001, 6.0505438E-001, 2.1142857E+000, 2.2810914E-001
 9.0966164E-001, 5.5232890E-001, 2.1897959E+000, 2.0448314E-001
 9.3399617E-001, 5.1781046E-001, 2.2653061E+000, 1.8368936E-001
 9.5833071E-001, 4.8591787E-001, 2.3408163E+000, 1.6543894E-001
 9.8266525E-001, 4.5642387E-001, 2.4163265E+000, 1.4963891E-001
 1.0069998E+000, 4.2912383E-001, 2.4918367E+000, 1.3601671E-001
 1.0313343E+000, 4.0383324E-001, 2.5673469E+000, 1.2425097E-001
 1.0556689E+000, 3.7579708E-001, 2.6428571E+000, 1.1412206E-001
 1.0800034E+000, 3.5413382E-001, 2.7183673E+000, 1.0538387E-001
 1.1043379E+000, 3.3395346E-001, 2.7938776E+000, 9.7774216E-002
 1.1286725E+000, 3.1514115E-001, 2.8693878E+000, 9.1067314E-002
 1.1530070E+000, 2.9759245E-001, 2.9448980E+000, 8.5060330E-002
 1.1773415E+000, 2.8155269E-001, 3.0204082E+000, 7.9546090E-002
 1.2016761E+000, 2.6631708E-001, 3.0959184E+000, 7.4377078E-002
 1.2260106E+000, 2.5202671E-001, 3.1714286E+000, 6.9401352E-002
 1.2503452E+000, 2.3861443E-001, 3.2469388E+000, 6.4531014E-002
 1.2746797E+000, 2.2601863E-001, 3.3224490E+000, 5.9704784E-002
 1.2990142E+000, 2.2838446E-001, 3.3979592E+000, 5.4887175E-002
 1.3233488E+000, 2.1670318E-001, 3.4734694E+000, 5.0118319E-002
 1.3476833E+000, 2.0568331E-001, 3.5489796E+000, 4.5416768E-002
 1.3720179E+000, 1.9528012E-001, 3.6244898E+000, 4.0826445E-002
 1.3963524E+000, 1.8545264E-001, 3.7000000E+000, 3.4969272E-002
